Match Number,Round Number,Date,Home Team,Away Team,Home Score,Away Score,Winner
1,1,03-12-2021 08:30,Tasmania JackJumpers,Brisbane Bullets,83,74,Tasmania JackJumpers
2,1,03-12-2021 10:30,Perth Wildcats,Adelaide 36ers,85,73,Perth Wildcats
3,1,04-12-2021 09:00,South East Melbourne Phoenix,New Zealand Breakers,89,65,South East Melbourne Phoenix
7,1,05-12-2021 02:00,Adelaide 36ers,Illawarra Hawks,71,81,Illawarra Hawks
9,1,05-12-2021 04:00,Sydney Kings,Melbourne United,79,74,Sydney Kings
5,1,05-12-2021 06:30,Perth Wildcats,Cairns Taipans,90,67,Perth Wildcats
11,2,09-12-2021 08:30,Tasmania JackJumpers,Adelaide 36ers,80,83,Adelaide 36ers
13,2,10-12-2021 08:30,South East Melbourne Phoenix,New Zealand Breakers,95,88,South East Melbourne Phoenix
4,2,11-12-2021 06:30,Sydney Kings,Illawarra Hawks,84,92,Illawarra Hawks
6,2,11-12-2021 09:00,Cairns Taipans,Tasmania JackJumpers,69,62,Cairns Taipans
8,2,12-12-2021 02:00,Melbourne United,South East Melbourne Phoenix,86,94,South East Melbourne Phoenix
10,2,12-12-2021 04:00,Adelaide 36ers,New Zealand Breakers,98,85,Adelaide 36ers
141,2,12-12-2021 06:30,Perth Wildcats,Brisbane Bullets,94,97,Brisbane Bullets
12,3,16-12-2021 08:30,Melbourne United,Sydney Kings,89,47,Melbourne United
14,3,17-12-2021 08:30,Illawarra Hawks,New Zealand Breakers,97,96,Illawarra Hawks
15,3,17-12-2021 10:30,Perth Wildcats,Brisbane Bullets,83,70,Perth Wildcats
16,3,18-12-2021 06:30,Sydney Kings,South East Melbourne Phoenix,84,73,Sydney Kings
17,3,18-12-2021 09:00,Cairns Taipans,Adelaide 36ers,93,67,Cairns Taipans
18,3,19-12-2021 02:00,Melbourne United,New Zealand Breakers,83,60,Melbourne United
19,3,19-12-2021 04:00,Brisbane Bullets,Illawarra Hawks,96,92,Brisbane Bullets
22,3,19-12-2021 06:30,Perth Wildcats,Tasmania JackJumpers,101,83,Perth Wildcats
20,3,22-12-2021 08:30,Sydney Kings,Tasmania JackJumpers,83,71,Sydney Kings
23,4,26-12-2021 02:00,Tasmania JackJumpers,New Zealand Breakers,84,75,Tasmania JackJumpers
24,4,26-12-2021 04:00,Sydney Kings,Melbourne United,68,82,Melbourne United
28,5,31-12-2021 09:00,Cairns Taipans,Perth Wildcats,78,84,Perth Wildcats
29,5,01-01-2022 06:30,Tasmania JackJumpers,Melbourne United,72,76,Melbourne United
37,6,09-01-2022 04:00,Brisbane Bullets,New Zealand Breakers,83,88,New Zealand Breakers
161,7,13-01-2022 08:30,Illawarra Hawks,Sydney Kings,97,89,Illawarra Hawks
142,7,14-01-2022 08:30,New Zealand Breakers,Melbourne United,78,89,Melbourne United
143,7,15-01-2022 06:30,Brisbane Bullets,South East Melbourne Phoenix,100,84,Brisbane Bullets
145,7,16-01-2022 02:00,Illawarra Hawks,Melbourne United,84,88,Melbourne United
146,7,16-01-2022 04:00,Sydney Kings,New Zealand Breakers,75,82,New Zealand Breakers
147,7,18-01-2022 08:30,Adelaide 36ers,Perth Wildcats,87,74,Adelaide 36ers
148,8,21-01-2022 08:30,Brisbane Bullets,Sydney Kings,96,87,Brisbane Bullets
149,8,22-01-2022 06:30,Adelaide 36ers,Melbourne United,78,97,Melbourne United
150,8,22-01-2022 09:00,Illawarra Hawks,Perth Wildcats,78,94,Perth Wildcats
151,8,23-01-2022 02:00,Sydney Kings,Brisbane Bullets,97,73,Sydney Kings
153,8,23-01-2022 04:00,Tasmania JackJumpers,South East Melbourne Phoenix,63,76,South East Melbourne Phoenix
162,8,24-01-2022 08:30,Illawarra Hawks,Adelaide 36ers,100,89,Illawarra Hawks
154,8,25-01-2022 08:30,South East Melbourne Phoenix,Cairns Taipans,87,77,South East Melbourne Phoenix
163,8,26-01-2022 04:00,Brisbane Bullets,Melbourne United,82,84,Melbourne United
164,9,27-01-2022 08:30,Illawarra Hawks,Perth Wildcats,80,94,Perth Wildcats
155,9,28-01-2022 08:30,Tasmania JackJumpers,Adelaide 36ers,76,71,Tasmania JackJumpers
156,9,29-01-2022 06:30,Cairns Taipans,Illawarra Hawks,75,94,Illawarra Hawks
157,9,29-01-2022 09:00,Brisbane Bullets,South East Melbourne Phoenix,73,88,South East Melbourne Phoenix
158,9,30-01-2022 02:00,Adelaide 36ers,Melbourne United,88,83,Adelaide 36ers
159,9,30-01-2022 04:00,Sydney Kings,Perth Wildcats,96,81,Sydney Kings
160,9,30-01-2022 06:30,New Zealand Breakers,Tasmania JackJumpers,59,83,Tasmania JackJumpers
165,10,02-02-2022 08:30,New Zealand Breakers,Illawarra Hawks,90,67,New Zealand Breakers
166,10,03-02-2022 08:30,Adelaide 36ers,Brisbane Bullets,,,Brisbane Bullets
167,10,04-02-2022 08:30,Tasmania JackJumpers,Sydney Kings,77,70,Tasmania JackJumpers
168,10,05-02-2022 06:30,Brisbane Bullets,Cairns Taipans,94,102,Cairns Taipans
169,10,05-02-2022 09:00,South East Melbourne Phoenix,Perth Wildcats,79,101,Perth Wildcats
170,10,06-02-2022 02:00,Sydney Kings,New Zealand Breakers,84,65,Sydney Kings
171,10,06-02-2022 04:00,Melbourne United,Tasmania JackJumpers,85,94,Tasmania JackJumpers
