Match Number,Round Number,Date,Home Team,Away Team,Home Score,Away Score,Winner
173,10,07-02-2022 08:30,Illawarra Hawks,South East Melbourne Phoenix,87,88,South East Melbourne Phoenix
174,11,10-02-2022 08:30,South East Melbourne Phoenix,Sydney Kings,87,92,Sydney Kings
176,11,11-02-2022 08:30,Brisbane Bullets,Adelaide 36ers,77,73,Brisbane Bullets
177,11,12-02-2022 06:30,Illawarra Hawks,Cairns Taipans,87,81,Illawarra Hawks
178,11,12-02-2022 09:00,Melbourne United,Perth Wildcats,93,87,Melbourne United
179,11,13-02-2022 02:00,South East Melbourne Phoenix,Tasmania JackJumpers,83,71,South East Melbourne Phoenix
180,11,13-02-2022 04:00,Sydney Kings,Brisbane Bullets,71,69,Sydney Kings
175,11,14-02-2022 08:30,Cairns Taipans,New Zealand Breakers,83,84,New Zealand Breakers
181,12,17-02-2022 08:30,Melbourne United,South East Melbourne Phoenix,94,87,Melbourne United
182,12,18-02-2022 08:30,Illawarra Hawks,Cairns Taipans,79,54,Illawarra Hawks
183,12,19-02-2022 06:30,South East Melbourne Phoenix,Brisbane Bullets,98,94,South East Melbourne Phoenix
184,12,19-02-2022 09:00,Sydney Kings,Perth Wildcats,98,95,Sydney Kings
185,12,20-02-2022 02:00,Adelaide 36ers,Cairns Taipans,82,71,Adelaide 36ers
186,12,20-02-2022 04:00,Melbourne United,New Zealand Breakers,108,73,Melbourne United
187,12,20-02-2022 06:30,Illawarra Hawks,Tasmania JackJumpers,86,96,Tasmania JackJumpers
188,13,24-02-2022 08:30,Cairns Taipans,Brisbane Bullets,73,69,Cairns Taipans
189,13,25-02-2022 08:30,Illawarra Hawks,Adelaide 36ers,87,71,Illawarra Hawks
190,13,26-02-2022 06:30,Brisbane Bullets,Tasmania JackJumpers,94,86,Brisbane Bullets
191,13,26-02-2022 09:00,South East Melbourne Phoenix,Perth Wildcats,86,80,South East Melbourne Phoenix
192,13,27-02-2022 02:00,Adelaide 36ers,Sydney Kings,90,93,Sydney Kings
193,13,27-02-2022 04:00,Cairns Taipans,Melbourne United,73,89,Melbourne United
194,13,28-02-2022 08:30,Tasmania JackJumpers,Perth Wildcats,78,89,Perth Wildcats
195,13,01-03-2022 09:00,New Zealand Breakers,Illawarra Hawks,87,102,Illawarra Hawks
204,14,04-03-2022 08:30,Adelaide 36ers,South East Melbourne Phoenix,76,83,South East Melbourne Phoenix
205,14,05-03-2022 06:30,Tasmania JackJumpers,New Zealand Breakers,66,62,Tasmania JackJumpers
206,14,05-03-2022 09:00,Melbourne United,Brisbane Bullets,95,83,Melbourne United
207,14,06-03-2022 02:00,Adelaide 36ers,Perth Wildcats,73,92,Perth Wildcats
208,14,06-03-2022 04:00,Sydney Kings,Cairns Taipans,98,88,Sydney Kings
209,14,06-03-2022 06:30,South East Melbourne Phoenix,Illawarra Hawks,77,83,Illawarra Hawks
210,14,07-03-2022 08:30,New Zealand Breakers,Brisbane Bullets,74,92,Brisbane Bullets
211,15,10-03-2022 08:30,Melbourne United,Perth Wildcats,87,97,Perth Wildcats
212,15,11-03-2022 08:30,Cairns Taipans,Tasmania JackJumpers,69,85,Tasmania JackJumpers
213,15,12-03-2022 06:30,Brisbane Bullets,Perth Wildcats,83,95,Perth Wildcats
214,15,12-03-2022 09:00,New Zealand Breakers,Adelaide 36ers,84,75,New Zealand Breakers
215,15,13-03-2022 02:00,Tasmania JackJumpers,Illawarra Hawks,81,77,Tasmania JackJumpers
216,15,13-03-2022 04:00,South East Melbourne Phoenix,Melbourne United,90,98,Melbourne United
217,15,13-03-2022 06:30,Cairns Taipans,Sydney Kings,77,86,Sydney Kings
218,15,14-03-2022 08:30,New Zealand Breakers,Perth Wildcats,102,104,Perth Wildcats
219,16,17-03-2022 08:30,Illawarra Hawks,South East Melbourne Phoenix,103,97,Illawarra Hawks
220,16,18-03-2022 08:30,Adelaide 36ers,Cairns Taipans,83,57,Adelaide 36ers
221,16,19-03-2022 06:30,Tasmania JackJumpers,Illawarra Hawks,65,91,Illawarra Hawks
222,16,19-03-2022 09:00,South East Melbourne Phoenix,Sydney Kings,89,91,Sydney Kings
223,16,20-03-2022 02:00,Melbourne United,Adelaide 36ers,101,74,Melbourne United
224,16,20-03-2022 04:00,Brisbane Bullets,Cairns Taipans,88,98,Cairns Taipans
225,16,20-03-2022 06:30,Perth Wildcats,New Zealand Breakers,95,85,Perth Wildcats
226,17,24-03-2022 08:30,New Zealand Breakers,Brisbane Bullets,100,101,Brisbane Bullets
227,17,24-03-2022 10:30,Perth Wildcats,Tasmania JackJumpers,83,85,Tasmania JackJumpers
228,17,25-03-2022 08:30,Cairns Taipans,South East Melbourne Phoenix,74,86,South East Melbourne Phoenix
229,17,26-03-2022 06:30,Brisbane Bullets,Tasmania JackJumpers,82,84,Tasmania JackJumpers
230,17,26-03-2022 09:00,Perth Wildcats,Sydney Kings,80,102,Sydney Kings
231,17,27-03-2022 02:00,Adelaide 36ers,South East Melbourne Phoenix,100,92,Adelaide 36ers
232,17,27-03-2022 04:00,Melbourne United,Illawarra Hawks,77,92,Illawarra Hawks
233,17,27-03-2022 06:30,New Zealand Breakers,Cairns Taipans,90,93,Cairns Taipans
236,18,31-03-2022 08:30,Illawarra Hawks,Brisbane Bullets,87,70,Illawarra Hawks
238,18,01-04-2022 08:30,Adelaide 36ers,Tasmania JackJumpers,72,80,Tasmania JackJumpers
240,18,02-04-2022 06:30,Melbourne United,Illawarra Hawks,90,96,Illawarra Hawks
242,18,02-04-2022 09:00,Cairns Taipans,South East Melbourne Phoenix,90,85,Cairns Taipans
244,18,03-04-2022 03:00,Tasmania JackJumpers,Sydney Kings,83,103,Sydney Kings
245,18,03-04-2022 05:00,Brisbane Bullets,Adelaide 36ers,92,91,Brisbane Bullets
247,18,04-04-2022 09:30,New Zealand Breakers,Cairns Taipans,77,87,Cairns Taipans
248,18,04-04-2022 11:30,Perth Wildcats,Melbourne United,75,84,Melbourne United
252,19,07-04-2022 09:30,South East Melbourne Phoenix,Melbourne United,88,90,Melbourne United
253,19,07-04-2022 11:30,Perth Wildcats,New Zealand Breakers,89,80,Perth Wildcats
255,19,08-04-2022 09:30,Tasmania JackJumpers,Cairns Taipans,87,80,Tasmania JackJumpers
257,19,09-04-2022 07:30,Brisbane Bullets,Illawarra Hawks,77,108,Illawarra Hawks
260,19,09-04-2022 10:00,Adelaide 36ers,Sydney Kings,77,84,Sydney Kings
263,19,10-04-2022 03:00,New Zealand Breakers,South East Melbourne Phoenix,89,99,South East Melbourne Phoenix
264,19,10-04-2022 05:00,Cairns Taipans,Melbourne United,63,92,Melbourne United
265,19,11-04-2022 09:30,Adelaide 36ers,Brisbane Bullets,85,93,Brisbane Bullets
266,19,12-04-2022 09:30,New Zealand Breakers,Sydney Kings,70,76,Sydney Kings
262,20,14-04-2022 09:30,Illawarra Hawks,Sydney Kings,102,107,Sydney Kings
261,20,14-04-2022 11:30,Perth Wildcats,Adelaide 36ers,70,82,Adelaide 36ers
259,20,15-04-2022 09:30,New Zealand Breakers,Tasmania JackJumpers,86,88,Tasmania JackJumpers
258,20,16-04-2022 07:30,Melbourne United,Brisbane Bullets,88,79,Melbourne United
256,20,16-04-2022 10:00,Perth Wildcats,Cairns Taipans,106,87,Perth Wildcats
254,20,17-04-2022 03:00,South East Melbourne Phoenix,Tasmania JackJumpers,80,84,Tasmania JackJumpers
251,20,17-04-2022 05:00,Sydney Kings,Adelaide 36ers,82,90,Adelaide 36ers
250,20,18-04-2022 09:30,Melbourne United,Cairns Taipans,92,80,Melbourne United
249,21,21-04-2022 09:30,Cairns Taipans,Sydney Kings,77,87,Sydney Kings
246,21,22-04-2022 09:30,South East Melbourne Phoenix,Adelaide 36ers,94,91,South East Melbourne Phoenix
243,21,22-04-2022 11:30,Perth Wildcats,Illawarra Hawks,77,82,Illawarra Hawks
241,21,23-04-2022 07:30,Tasmania JackJumpers,Melbourne United,83,61,Tasmania JackJumpers
239,21,23-04-2022 10:00,Cairns Taipans,Brisbane Bullets,112,98,Cairns Taipans
237,21,24-04-2022 03:00,New Zealand Breakers,Adelaide 36ers,60,93,Adelaide 36ers
235,21,24-04-2022 05:00,Sydney Kings,Illawarra Hawks,84,87,Illawarra Hawks
234,21,24-04-2022 07:30,Perth Wildcats,South East Melbourne Phoenix,100,102,South East Melbourne Phoenix
267,Semi Finals,28-04-2022 09:30,Melbourne United,Tasmania JackJumpers,74,63,Melbourne United
268,Semi Finals,29-04-2022 09:30,Illawarra Hawks,Sydney Kings,79,89,Sydney Kings
269,Semi Finals,30-04-2022 10:00,Tasmania JackJumpers,Melbourne United,79,72,Tasmania JackJumpers
270,Semi Finals,01-05-2022 05:00,Sydney Kings,Illawarra Hawks,99,87,Sydney Kings
271,Semi Finals,02-05-2022 09:30,Melbourne United,Tasmania JackJumpers,73,76,Tasmania JackJumpers
272,Grand Final,06-05-2022 09:30,Sydney Kings,Tasmania JackJumpers,95,78,Sydney Kings
273,Grand Final,08-05-2022 04:30,Tasmania JackJumpers,Sydney Kings,86,90,Sydney Kings
274,Grand Final,11-05-2022 09:30,Sydney Kings,Tasmania JackJumpers,97,88,Sydney Kings
