Match Number,Round Number,Date,Home Team,Away Team,Home Score,Away Score,Winner
1,1,15-01-2021 08:30,Adelaide 36ers,Melbourne United,65,89,Melbourne United
5,1,16-01-2021 06:30,Brisbane Bullets,Illawarra Hawks,84,90,Illawarra Hawks
3,1,16-01-2021 09:00,Cairns Taipans,Sydney Kings,87,86,Cairns Taipans
2,1,17-01-2021 04:00,Adelaide 36ers,South East Melbourne Phoenix,116,108,Adelaide 36ers
4,1,18-01-2021 08:30,Cairns Taipans,Illawarra Hawks,76,92,Illawarra Hawks
6,2,20-01-2021 08:30,Adelaide 36ers,South East Melbourne Phoenix,83,89,South East Melbourne Phoenix
7,2,21-01-2021 08:30,Brisbane Bullets,Illawarra Hawks,82,90,Illawarra Hawks
8,2,22-01-2021 08:30,Adelaide 36ers,New Zealand Breakers,93,91,Adelaide 36ers
9,2,23-01-2021 09:00,Cairns Taipans,Sydney Kings,91,99,Sydney Kings
10,2,24-01-2021 06:00,Perth Wildcats,South East Melbourne Phoenix,88,76,Perth Wildcats
11,2,25-01-2021 08:30,Cairns Taipans,Melbourne United,85,87,Melbourne United
12,3,26-01-2021 04:00,Brisbane Bullets,Sydney Kings,90,87,Brisbane Bullets
13,3,27-01-2021 08:30,Adelaide 36ers,New Zealand Breakers,88,78,Adelaide 36ers
15,3,28-01-2021 08:30,Cairns Taipans,Illawarra Hawks,70,90,Illawarra Hawks
14,3,29-01-2021 10:30,Perth Wildcats,South East Melbourne Phoenix,89,90,South East Melbourne Phoenix
16,3,30-01-2021 06:30,Brisbane Bullets,Cairns Taipans,108,103,Brisbane Bullets
17,3,30-01-2021 09:00,Adelaide 36ers,Sydney Kings,85,80,Adelaide 36ers
18,3,31-01-2021 04:00,Melbourne United,South East Melbourne Phoenix,96,90,Melbourne United
20,4,05-02-2021 08:30,Brisbane Bullets,Melbourne United,96,109,Melbourne United
22,4,06-02-2021 06:30,Cairns Taipans,New Zealand Breakers,79,85,New Zealand Breakers
23,4,06-02-2021 09:00,Adelaide 36ers,Sydney Kings,75,94,Sydney Kings
24,4,07-02-2021 04:00,South East Melbourne Phoenix,Illawarra Hawks,98,82,South East Melbourne Phoenix
25,4,07-02-2021 06:00,Melbourne United,Perth Wildcats,75,71,Melbourne United
26,4,08-02-2021 08:30,Cairns Taipans,New Zealand Breakers,84,69,Cairns Taipans
27,5,10-02-2021 08:30,Illawarra Hawks,Melbourne United,88,91,Melbourne United
28,5,11-02-2021 08:30,South East Melbourne Phoenix,Perth Wildcats,75,106,Perth Wildcats
29,5,12-02-2021 08:30,Sydney Kings,New Zealand Breakers,84,74,Sydney Kings
31,5,13-02-2021 09:00,Brisbane Bullets,Adelaide 36ers,70,85,Adelaide 36ers
32,5,14-02-2021 04:00,Sydney Kings,Illawarra Hawks,82,85,Illawarra Hawks
33,5,14-02-2021 06:00,South East Melbourne Phoenix,Perth Wildcats,96,71,South East Melbourne Phoenix
34,5,15-02-2021 08:30,Adelaide 36ers,Brisbane Bullets,74,93,Brisbane Bullets
35,6,20-02-2021 04:00,Cairns Taipans,Illawarra Hawks,101,95,Cairns Taipans
36,6,20-02-2021 06:30,Melbourne United,Perth Wildcats,85,89,Perth Wildcats
37,6,21-02-2021 04:00,South East Melbourne Phoenix,Brisbane Bullets,99,83,South East Melbourne Phoenix
38,6,21-02-2021 06:30,Sydney Kings,Adelaide 36ers,94,77,Sydney Kings
39,6,22-02-2021 06:00,Illawarra Hawks,New Zealand Breakers,102,88,Illawarra Hawks
40,6,22-02-2021 08:30,Melbourne United,Cairns Taipans,88,81,Melbourne United
41,6,23-02-2021 06:00,Sydney Kings,Perth Wildcats,106,113,Perth Wildcats
42,6,23-02-2021 08:30,Adelaide 36ers,South East Melbourne Phoenix,99,94,Adelaide 36ers
43,7,25-02-2021 06:00,Sydney Kings,New Zealand Breakers,96,78,Sydney Kings
44,7,25-02-2021 08:30,Adelaide 36ers,Melbourne United,93,82,Adelaide 36ers
45,7,26-02-2021 06:00,Brisbane Bullets,Illawarra Hawks,97,91,Brisbane Bullets
46,7,26-02-2021 08:30,Cairns Taipans,Perth Wildcats,69,89,Perth Wildcats
47,7,27-02-2021 06:30,Adelaide 36ers,New Zealand Breakers,62,106,New Zealand Breakers
48,7,27-02-2021 09:00,Melbourne United,Sydney Kings,83,80,Melbourne United
49,7,28-02-2021 03:00,South East Melbourne Phoenix,Illawarra Hawks,93,76,South East Melbourne Phoenix
50,7,28-02-2021 05:30,Brisbane Bullets,Cairns Taipans,115,95,Brisbane Bullets
51,8,03-03-2021 06:00,New Zealand Breakers,Brisbane Bullets,97,92,New Zealand Breakers
52,8,03-03-2021 08:30,Perth Wildcats,South East Melbourne Phoenix,93,92,Perth Wildcats
53,8,04-03-2021 06:00,Cairns Taipans,Sydney Kings,96,92,Cairns Taipans
54,8,04-03-2021 08:30,Illawarra Hawks,Adelaide 36ers,98,89,Illawarra Hawks
55,8,05-03-2021 06:00,Perth Wildcats,Brisbane Bullets,92,95,Brisbane Bullets
56,8,05-03-2021 08:30,New Zealand Breakers,Melbourne United,84,87,Melbourne United
57,8,06-03-2021 06:30,Adelaide 36ers,Cairns Taipans,81,71,Adelaide 36ers
58,8,06-03-2021 09:00,South East Melbourne Phoenix,Sydney Kings,85,91,Sydney Kings
59,8,07-03-2021 03:00,Melbourne United,Brisbane Bullets,88,96,Brisbane Bullets
60,8,07-03-2021 05:30,Illawarra Hawks,Perth Wildcats,70,87,Perth Wildcats
61,9,10-03-2021 06:00,New Zealand Breakers,Cairns Taipans,76,73,New Zealand Breakers
62,9,10-03-2021 08:30,South East Melbourne Phoenix,Melbourne United,97,92,South East Melbourne Phoenix
63,9,11-03-2021 06:00,Brisbane Bullets,Adelaide 36ers,109,104,Brisbane Bullets
64,9,11-03-2021 08:30,Sydney Kings,Illawarra Hawks,69,89,Illawarra Hawks
65,9,12-03-2021 06:00,Perth Wildcats,New Zealand Breakers,85,75,Perth Wildcats
