Match Number,Round Number,Date,Home Team,Away Team,Home Score,Away Score,Winner
1,1,05-10-2017 08:30,Adelaide 36ers,Melbourne United,97,99,Melbourne United
2,1,06-10-2017 08:30,Cairns Taipans,Illawarra Hawks,88,87,Cairns Taipans
3,1,07-10-2017 08:30,Sydney Kings,Adelaide 36ers,96,105,Adelaide 36ers
4,1,07-10-2017 09:30,Perth Wildcats,Brisbane Bullets,96,86,Perth Wildcats
5,1,08-10-2017 04:00,New Zealand Breakers,Cairns Taipans,71,82,Cairns Taipans
6,2,12-10-2017 08:30,Cairns Taipans,Adelaide 36ers,70,96,Adelaide 36ers
7,2,13-10-2017 06:30,New Zealand Breakers,Sydney Kings,87,85,New Zealand Breakers
8,2,13-10-2017 10:30,Perth Wildcats,Illawarra Hawks,74,64,Perth Wildcats
9,2,14-10-2017 06:30,Adelaide 36ers,Melbourne United,79,99,Melbourne United
11,2,15-10-2017 04:00,Sydney Kings,Illawarra Hawks,103,87,Sydney Kings
12,3,19-10-2017 06:30,New Zealand Breakers,Sydney Kings,90,73,New Zealand Breakers
13,3,20-10-2017 08:30,Brisbane Bullets,Cairns Taipans,83,78,Brisbane Bullets
14,3,20-10-2017 10:30,Perth Wildcats,Melbourne United,89,84,Perth Wildcats
15,3,21-10-2017 06:30,Adelaide 36ers,Sydney Kings,114,84,Adelaide 36ers
18,3,22-10-2017 04:00,Melbourne United,New Zealand Breakers,76,88,New Zealand Breakers
17,3,22-10-2017 06:00,Illawarra Hawks,Brisbane Bullets,105,96,Illawarra Hawks
16,3,22-10-2017 08:00,Cairns Taipans,Perth Wildcats,90,69,Cairns Taipans
19,4,26-10-2017 08:30,Brisbane Bullets,New Zealand Breakers,96,101,New Zealand Breakers
20,4,26-10-2017 10:30,Perth Wildcats,Illawarra Hawks,105,74,Perth Wildcats
21,4,27-10-2017 08:30,Cairns Taipans,Adelaide 36ers,80,84,Adelaide 36ers
22,4,28-10-2017 06:30,Brisbane Bullets,Melbourne United,87,85,Brisbane Bullets
23,4,29-10-2017 04:00,Illawarra Hawks,Sydney Kings,94,99,Sydney Kings
25,5,02-11-2017 06:30,New Zealand Breakers,Adelaide 36ers,92,88,New Zealand Breakers
24,5,02-11-2017 08:30,Melbourne United,Cairns Taipans,87,65,Melbourne United
26,5,03-11-2017 08:30,Brisbane Bullets,Illawarra Hawks,81,112,Illawarra Hawks
27,5,03-11-2017 10:30,Perth Wildcats,Sydney Kings,93,69,Perth Wildcats
29,5,04-11-2017 06:30,Melbourne United,Adelaide 36ers,101,84,Melbourne United
28,5,04-11-2017 08:30,Cairns Taipans,New Zealand Breakers,70,73,New Zealand Breakers
