Match Number,Round Number,Date,Home Team,Away Team,Result,,
66,10,01-12-2024 03:30,Melbourne United,Sydney Kings,101,98,Melbourne United
67,10,01-12-2024 05:30,Perth Wildcats,New Zealand Breakers,123,112,Perth Wildcats
68,11,05-12-2024 06:30,New Zealand Breakers,Melbourne United,70,97,Melbourne United
69,11,05-12-2024 08:30,Tasmania JackJumpers,Cairns Taipans,99,90,Tasmania JackJumpers
70,11,06-12-2024 08:30,Brisbane Bullets,Adelaide 36ers,102,83,Brisbane Bullets
71,11,06-12-2024 10:30,Perth Wildcats,Illawarra Hawks,111,121,Illawarra Hawks
72,11,07-12-2024 06:30,New Zealand Breakers,Sydney Kings,83,98,Sydney Kings
73,11,07-12-2024 09:00,South East Melbourne Phoenix,Cairns Taipans,99,94,South East Melbourne Phoenix
74,11,08-12-2024 03:30,Melbourne United,Brisbane Bullets,114,122,Brisbane Bullets
75,11,08-12-2024 05:30,Adelaide 36ers,Perth Wildcats,105,115,Perth Wildcats
76,12,12-12-2024 06:30,New Zealand Breakers,Tasmania JackJumpers,76,100,Tasmania JackJumpers
77,12,12-12-2024 08:30,Brisbane Bullets,South East Melbourne Phoenix,116,108,Brisbane Bullets
78,12,13-12-2024 08:30,Melbourne United,Illawarra Hawks,93,106,Illawarra Hawks
79,12,14-12-2024 06:30,Adelaide 36ers,New Zealand Breakers,111,94,Adelaide 36ers
80,12,14-12-2024 09:00,Cairns Taipans,Perth Wildcats,92,128,Perth Wildcats
81,12,15-12-2024 03:30,South East Melbourne Phoenix,Melbourne United,109,97,South East Melbourne Phoenix
82,12,15-12-2024 05:30,Sydney Kings,Brisbane Bullets,93,81,Sydney Kings
83,13,20-12-2024 06:30,New Zealand Breakers,Sydney Kings,84,92,Sydney Kings
84,13,20-12-2024 08:30,Brisbane Bullets,Cairns Taipans,107,104,Brisbane Bullets
85,13,21-12-2024 09:00,South East Melbourne Phoenix,Adelaide 36ers,106,86,South East Melbourne Phoenix
86,13,22-12-2024 03:30,Illawarra Hawks,Perth Wildcats,120,88,Illawarra Hawks
87,13,23-12-2024 08:30,Melbourne United,Tasmania JackJumpers,91,97,Tasmania JackJumpers
88,13,24-12-2024 06:30,Adelaide 36ers,Brisbane Bullets,90,111,Brisbane Bullets
90,13,25-12-2024 07:00,Tasmania JackJumpers,New Zealand Breakers,97,82,Tasmania JackJumpers
89,13,25-12-2024 09:30,Sydney Kings,Illawarra Hawks,108,111,Illawarra Hawks
91,14,26-12-2024 08:30,Cairns Taipans,Melbourne United,66,76,Melbourne United
92,14,27-12-2024 08:30,Brisbane Bullets,Illawarra Hawks,84,102,Illawarra Hawks
93,14,28-12-2024 09:00,Adelaide 36ers,Perth Wildcats,92,116,Perth Wildcats
94,14,29-12-2024 03:30,Tasmania JackJumpers,Brisbane Bullets,95,86,Tasmania JackJumpers
95,14,30-12-2024 08:30,Sydney Kings,Adelaide 36ers,96,111,Adelaide 36ers
96,14,31-12-2024 06:30,Illawarra Hawks,South East Melbourne Phoenix,105,110,South East Melbourne Phoenix
97,14,31-12-2024 08:30,Cairns Taipans,New Zealand Breakers,68,92,New Zealand Breakers
98,15,02-01-2025 08:30,Sydney Kings,South East Melbourne Phoenix,110,101,Sydney Kings
99,15,03-01-2025 08:30,Illawarra Hawks,Cairns Taipans,105,108,Cairns Taipans
100,15,04-01-2025 06:30,Adelaide 36ers,Melbourne United,100,81,Adelaide 36ers
101,15,04-01-2025 09:00,Brisbane Bullets,Sydney Kings,86,91,Sydney Kings
102,15,05-01-2025 03:30,New Zealand Breakers,Perth Wildcats,86,96,Perth Wildcats
103,15,05-01-2025 05:30,Tasmania JackJumpers,South East Melbourne Phoenix,91,105,South East Melbourne Phoenix
104,15,07-01-2025 08:30,Illawarra Hawks,Tasmania JackJumpers,89,84,Illawarra Hawks
105,15,08-01-2025 08:30,Brisbane Bullets,New Zealand Breakers,83,74,Brisbane Bullets
106,16,09-01-2025 08:30,Sydney Kings,Melbourne United,88,90,Melbourne United
107,16,10-01-2025 08:30,Tasmania JackJumpers,Adelaide 36ers,104,103,Tasmania JackJumpers
108,16,11-01-2025 06:30,Illawarra Hawks,New Zealand Breakers,108,100,Illawarra Hawks
109,16,11-01-2025 09:00,South East Melbourne Phoenix,Brisbane Bullets,105,86,South East Melbourne Phoenix
110,16,12-01-2025 03:30,Tasmania JackJumpers,Perth Wildcats,73,105,Perth Wildcats
111,16,12-01-2025 05:30,Sydney Kings,Cairns Taipans,91,87,Sydney Kings
112,16,13-01-2025 06:30,New Zealand Breakers,Melbourne United,89,91,Melbourne United
113,16,13-01-2025 08:30,Adelaide 36ers,Illawarra Hawks,91,88,Adelaide 36ers
114,16,14-01-2025 08:30,Cairns Taipans,South East Melbourne Phoenix,102,113,South East Melbourne Phoenix
115,16,15-01-2025 08:30,Brisbane Bullets,Perth Wildcats,85,112,Perth Wildcats
116,17,16-01-2025 06:30,New Zealand Breakers,Tasmania JackJumpers,85,75,New Zealand Breakers
117,17,17-01-2025 08:30,Brisbane Bullets,Cairns Taipans,80,111,Cairns Taipans
118,17,17-01-2025 10:30,Perth Wildcats,Adelaide 36ers,110,103,Perth Wildcats
119,17,18-01-2025 06:30,South East Melbourne Phoenix,New Zealand Breakers,102,89,South East Melbourne Phoenix
120,17,18-01-2025 09:00,Illawarra Hawks,Melbourne United,117,95,Illawarra Hawks
121,17,19-01-2025 03:30,Sydney Kings,Tasmania JackJumpers,88,77,Sydney Kings
122,17,19-01-2025 05:30,Cairns Taipans,Adelaide 36ers,75,99,Adelaide 36ers
123,17,20-01-2025 08:30,Illawarra Hawks,Brisbane Bullets,121,87,Illawarra Hawks
124,17,22-01-2025 08:30,South East Melbourne Phoenix,Sydney Kings,92,103,Sydney Kings
125,17,22-01-2025 10:30,Perth Wildcats,Melbourne United,93,99,Melbourne United
126,18,23-01-2025 08:30,Cairns Taipans,Illawarra Hawks,100,94,Cairns Taipans
127,18,24-01-2025 06:30,New Zealand Breakers,Brisbane Bullets,87,93,Brisbane Bullets
128,18,24-01-2025 08:30,Sydney Kings,Adelaide 36ers,96,105,Adelaide 36ers
129,18,25-01-2025 06:30,South East Melbourne Phoenix,Tasmania JackJumpers,116,80,South East Melbourne Phoenix
130,18,25-01-2025 09:00,Perth Wildcats,Cairns Taipans,116,125,Cairns Taipans
131,18,26-01-2025 03:30,Brisbane Bullets,Melbourne United,88,115,Melbourne United
132,18,26-01-2025 05:30,Adelaide 36ers,New Zealand Breakers,94,78,Adelaide 36ers
133,19,30-01-2025 08:30,Tasmania JackJumpers,Illawarra Hawks,78,102,Illawarra Hawks
134,19,31-01-2025 08:30,Adelaide 36ers,Brisbane Bullets,89,92,Brisbane Bullets
135,19,31-01-2025 10:30,Perth Wildcats,South East Melbourne Phoenix,100,99,Perth Wildcats
136,19,01-02-2025 06:30,New Zealand Breakers,Cairns Taipans,99,92,New Zealand Breakers
137,19,01-02-2025 09:00,Melbourne United,Tasmania JackJumpers,94,92,Melbourne United
138,19,02-02-2025 03:30,Sydney Kings,Perth Wildcats,97,104,Perth Wildcats
139,19,02-02-2025 05:30,South East Melbourne Phoenix,Adelaide 36ers,105,99,South East Melbourne Phoenix
140,20,05-02-2025 06:30,New Zealand Breakers,Illawarra Hawks,82,96,Illawarra Hawks
141,20,06-02-2025 08:30,Cairns Taipans,Brisbane Bullets,100,88,Cairns Taipans
142,20,07-02-2025 08:30,Illawarra Hawks,Sydney Kings,95,75,Illawarra Hawks
143,20,07-02-2025 10:30,Perth Wildcats,Adelaide 36ers,112,104,Perth Wildcats
144,20,08-02-2025 06:30,Tasmania JackJumpers,Cairns Taipans,90,83,Tasmania JackJumpers
145,20,08-02-2025 09:00,Melbourne United,South East Melbourne Phoenix,103,93,Melbourne United
