Match Number,Round Number,Date,Location,Home Team,Away Team,Result
4,1,28/09/2023 09:30,John Cain Arena,Melbourne United,South East Melbourne Phoenix,82 - 67
6,1,29/09/2023 09:30,Nissan Arena,Brisbane Bullets,Adelaide 36ers,86 - 71
8,1,29/09/2023 11:30,RAC Arena,Perth Wildcats,Tasmania JackJumpers,101 - 95
10,1,30/09/2023 07:30,Spark Arena,New Zealand Breakers,Cairns Taipans,98 - 87
12,1,30/09/2023 10:00,WIN Entertainment Centre,Illawarra Hawks,Sydney Kings,81 - 96
14,1,01/10/2023 03:00,Adelaide Entertainment Centre,Adelaide 36ers,Melbourne United,74 - 82
16,1,01/10/2023 05:00,John Cain Arena,South East Melbourne Phoenix,Perth Wildcats,110 - 99
2,2,05/10/2023 06:30,Spark Arena,New Zealand Breakers,Brisbane Bullets,84 - 89
1,2,05/10/2023 08:30,Cairns Convention Centre,Cairns Taipans,South East Melbourne Phoenix,87 - 80
3,2,06/10/2023 08:30,MyState Bank Arena,Tasmania JackJumpers,Sydney Kings,80 - 72
5,2,06/10/2023 10:30,RAC Arena,Perth Wildcats,Adelaide 36ers,82 - 75
7,2,07/10/2023 06:30,WIN Entertainment Centre,Illawarra Hawks,South East Melbourne Phoenix,113 - 106
9,2,07/10/2023 09:00,Nissan Arena,Brisbane Bullets,Cairns Taipans,86 - 89
11,2,08/10/2023 03:00,John Cain Arena,Melbourne United,Tasmania JackJumpers,75 - 80
13,2,08/10/2023 05:00,Qudos Bank Arena,Sydney Kings,Adelaide 36ers,109 - 100
15,3,12/10/2023 08:30,MyState Bank Arena,Tasmania JackJumpers,Illawarra Hawks,103 - 73
17,3,13/10/2023 08:30,Nissan Arena,Brisbane Bullets,Sydney Kings,102 - 113
18,3,13/10/2023 10:30,RAC Arena,Perth Wildcats,Melbourne United,81 - 88
21,3,14/10/2023 06:30,Adelaide Entertainment Centre,Adelaide 36ers,Illawarra Hawks,89 - 80
24,3,14/10/2023 09:00,John Cain Arena,South East Melbourne Phoenix,Tasmania JackJumpers,86 - 85
