SEASON,Match,Date,Home Team,Away team,Home score,Away score,Result,how
IPL 2024,Match 56,07-05-2024,Delhi Capitals,Rajasthan Royals,221/8 (20 ov),201/8 (20 ov),Delhi Capitals,Delhi Capitals beat Rajasthan Royals by 20 runs
IPL 2024,Match 57,08-05-2024,Sunrisers Hyderabad,Lucknow Super Giants,167/0 (9.4 ov),165/4 (20 ov),Sunrisers Hyderabad,Sunrisers Hyderabad beat Lucknow Super Giants by 10 wickets
IPL 2024,Match 58,09-05-2024,Punjab Kings,Royal Challengers Bengaluru,181/10 (17 ov),241/7 (20 ov),Royal Challengers Bengaluru,Royal Challengers Bengaluru beat Punjab Kings by 60 runs
IPL 2024,Match 59,10-05-2024,Gujarat Titans,Chennai Super Kings,231/3 (20 ov),196/8 (20 ov),Gujarat Titans,Gujarat Titans beat Chennai Super Kings by 35 runs
IPL 2024,Match 60,11-05-2024,Kolkata Knight Riders,Mumbai Indians,157/7 (16 ov),139/8 (16 ov),Kolkata Knight Riders,Kolkata Knight Riders beat Mumbai Indians by 18 runs
IPL 2024,Match 61,12-05-2024,Chennai Super Kings,Rajasthan Royals,145/5 (18.2 ov),141/5 (20 ov),Chennai Super Kings,Chennai Super Kings beat Rajasthan Royals by 5 wickets
IPL 2024,Match 62,12-05-2024,Royal Challengers Bengaluru,Delhi Capitals,187/9 (20 ov),140/10 (19.1 ov),Royal Challengers Bengaluru,Royal Challengers Bengaluru beat Delhi Capitals by 47 runs
IPL 2024,Match 63,13-05-2024,Gujarat Titans,Kolkata Knight Riders,,,Match Abandoned,Match Abandoned
IPL 2024,Match 64,14-05-2024,Delhi Capitals,Lucknow Super Giants,208/4 (20 ov),189/9 (20 ov),Delhi Capitals,Delhi Capitals beat Lucknow Super Giants by 19 runs
IPL 2024,Match 65,15-05-2024,Rajasthan Royals,Punjab Kings,144/9 (20 ov),145/5 (18.5 ov),Punjab Kings,Punjab Kings beat Rajasthan Royals by 5 wickets
IPL 2024,Match 66,16-05-2024,Sunrisers Hyderabad,Gujarat Titans,,,Match Abandoned,Match Abandoned
IPL 2024,Match 67,17-05-2024,Mumbai Indians,Lucknow Super Giants,196/6 (20 ov),214/6 (20 ov),Lucknow Super Giants,Lucknow Super Giants beat Mumbai Indians by 18 runs
IPL 2024,Match 68,18-05-2024,Royal Challengers Bengaluru,Chennai Super Kings,218/5 (20 ov),191/7 (20 ov),Royal Challengers Bengaluru,Royal Challengers Bengaluru beat Chennai Super Kings by 27 runs
IPL 2024,Match 69,19-05-2024,Sunrisers Hyderabad,Punjab Kings,215/6 (19.1 ov),214/5 (20 ov),Sunrisers Hyderabad,Sunrisers Hyderabad beat Punjab Kings by 4 wickets
IPL 2024,Match 70,19-05-2024,Rajasthan Royals,Kolkata Knight Riders,,,Match Abandoned,Match Abandoned
IPL 2024,Qualifier 1,21-05-2024,Kolkata Knight Riders,Sunrisers Hyderabad,164/2 (13.4 ov),159/10 (19.3 ov),Kolkata Knight Riders,Kolkata Knight Riders beat Sunrisers Hyderabad by 8 wickets
IPL 2024,Eliminator,22-05-2024,Rajasthan Royals,Royal Challengers Bengaluru,174/6 (19 ov),172/8 (20 ov),Rajasthan Royals,Rajasthan Royals beat Royal Challengers Bengaluru by 4 wickets
IPL 2024,Qualifier 2,24-05-2024,Sunrisers Hyderabad,Rajasthan Royals,175/9 (20 ov),139/7 (20 ov),Sunrisers Hyderabad,Sunrisers Hyderabad beat Rajasthan Royals by 36 runs
IPL 2024,final,26-05-2024,Kolkata Knight Riders,Sunrisers Hyderabad,114/2 (10.3 ov),113/10 (18.3 ov),Kolkata Knight Riders,Kolkata Knight Riders beat Sunrisers Hyderabad by 8 wickets
