no.,TeamsName
1,Chennai Super Kings
2,Delhi Capitals
3,Gujarat Titans
4,Kolkata Knight Riders
5,Lucknow Super Giants
6,Mumbai Indians
7,Punjab Kings
8,Rajasthan Royals
9,Royal Challengers Bengaluru
10,Sunrisers Hyderabad
