SEASON,Match,Date,Home Team,Away team,Home score,Away score,Result,how
IPL 2025,Match 51,02-05-2025,Gujarat Titans,Sunrisers Hyderabad,224/6 (20.0),186/6 (20.0),Gujarat Titans,Gujarat Titans beat Sunrisers Hyderabad by 38 runs
IPL 2025,Match 52,03-05-2025,Royal Challengers Bengaluru,Chennai Super Kings,213/5 (20.0),211/5 (20.0),Royal Challengers Bengaluru,Royal Challengers Bengaluru beat Chennai Super Kings by 2 runs
IPL 2025,Match 53,04-05-2025,Kolkata Knight Riders,Rajasthan Royals,206/4 (20.0),205/8 (20.0),Kolkata Knight Riders,Kolkata Knight Riders beat Rajasthan Royals by 1 run
IPL 2025,Match 54,04-05-2025,Punjab Kings,Lucknow Super Giants,236/5 (20.0),199/7 (20.0),Punjab Kings,Punjab Kings beat Lucknow Super Giants by 37 runs
IPL 2025,Match 55,05-05-2025,Delhi Capitals,Sunrisers Hyderabad,133/7 (20.0),,MATCH ABANDONED,MATCH ABANDONED
IPL 2025,Match 56,06-05-2025,Mumbai Indians,Gujarat Titans,155/8 (20.0),147/7 (19.0),Mumbai Indians,Gujarat Titans beat Mumbai Indians by 3 wickets (DLS method)
IPL 2025,Match 57,07-05-2025,Kolkata Knight Riders,Chennai Super Kings,179/6 (20.0),183/8 (19.4),Chennai Super Kings,Chennai Super Kings beat Kolkata Knight Riders by 2 wickets
IPL 2025,Match 58,17-05-2025,Royal Challengers Bengaluru,Kolkata Knight Riders,,,MATCH ABANDONED,MATCH ABANDONED
IPL 2025,Match 59,18-05-2025,Punjab Kings,Rajasthan Royals,219/5 (20.0),209/7 (20.0),Punjab Kings,Punjab Kings beat Rajasthan Royals by 10 runs
IPL 2025,Match 60,18-05-2025,Delhi Capitals,Gujarat Titans,199/3 (20.0),205/0 (19.0),Gujarat Titans,Gujarat Titans beat Delhi Capitals by 10 wickets
IPL 2025,Match 61,19-05-2025,Lucknow Super Giants,Sunrisers Hyderabad,205/7 (20.0),206/4 (18.2),Sunrisers Hyderabad,Sunrisers Hyderabad beat Lucknow Super Giants by 6 wickets
IPL 2025,Match 62,20-05-2025,Chennai Super Kings,Rajasthan Royals,187/8 (20.0),188/4 (17.1),Rajasthan Royals,Rajasthan Royals beat Chennai Super Kings by 6 wickets
IPL 2025,Match 63,21-05-2025,Mumbai Indians,Delhi Capitals,180/5 (20.0),121/10 (18.2),Mumbai Indians,Mumbai Indians beat Delhi Capitals by 59 runs
