SEASON,Match,Date,Home Team,Away team,Home score,Away score,Result,how
IPL 2020,MATCH 1,19-09-2020,Mumbai Indians,Chennai Super Kings,162/9 (20),166/5 (19.2),Chennai Super Kings,Chennai Super Kings won by 5 wickets.
IPL 2020,MATCH 2,20-09-2020,Delhi Capitals,Punjab Kings,157/8 (20),157/8 (20),Delhi Capitals,Match Tied Delhi Capitals won the Super Over.
IPL 2020,MATCH 3,21-09-2020,Sunrisers Hyderabad,Royal Challengers Bengaluru,153/10 (19.4),163/5 (20),Royal Challengers Bengaluru,Royal Challengers Bengaluru won by 10 runs.
IPL 2020,MATCH 4,22-09-2020,Rajasthan Royals,Chennai Super Kings,216/7 (20),200/6 (20),Rajasthan Royals,Rajasthan Royals won by 16 runs.
IPL 2020,MATCH 5,23-09-2020,Kolkata Knight Riders,Mumbai Indians,146/9 (20),195/5 (20),Mumbai Indians,Mumbai Indians won by 49 runs.
IPL 2020,MATCH 6,24-09-2020,Punjab Kings,Royal Challengers Bengaluru,206/3 (20),109/10 (17),Punjab Kings,Punjab Kings won by 97 runs.
IPL 2020,MATCH 7,25-09-2020,Chennai Super Kings,Delhi Capitals,131/7 (20),175/3 (20),Delhi Capitals,Delhi Capitals won by 44 runs.
IPL 2020,MATCH 8,26-09-2020,Kolkata Knight Riders,Sunrisers Hyderabad,145/3 (18),142/4 (20),Kolkata Knight Riders,Kolkata Knight Riders won by 7 wickets.
IPL 2020,MATCH 9,27-09-2020,Rajasthan Royals,Punjab Kings,226/6 (19.3),223/2 (20),Rajasthan Royals,Rajasthan Royals won by 4 wickets.
IPL 2020,MATCH 10,28-09-2020,Royal Challengers Bengaluru,Mumbai Indians,201/3 (20),201/5 (20),Royal Challengers Bengaluru,Match Tied Royal Challengers Bengaluru won the Super Over.
IPL 2020,MATCH 11,29-09-2020,Delhi Capitals,Sunrisers Hyderabad,147/7 (20),162/4 (20),Sunrisers Hyderabad,Sunrisers Hyderabad won by 15 runs.
IPL 2020,MATCH 12,30-09-2020,Rajasthan Royals,Kolkata Knight Riders,137/9 (20),174/6 (20),Kolkata Knight Riders,Kolkata Knight Riders won by 37 runs.
IPL 2020,MATCH 13,01-10-2020,Punjab Kings,Mumbai Indians,143/8 (20),191/4 (20),Mumbai Indians,Mumbai Indians won by 48 runs.
IPL 2020,MATCH 14,02-10-2020,Chennai Super Kings,Sunrisers Hyderabad,157/5 (20),164/5 (20),Sunrisers Hyderabad,Sunrisers Hyderabad won by 7 runs.
IPL 2020,MATCH 15,03-10-2020,Royal Challengers Bengaluru,Rajasthan Royals,158/2 (19.1),154/6 (20),Royal Challengers Bengaluru,Royal Challengers Bengaluru won by 8 wickets.
IPL 2020,MATCH 16,03-10-2020,Delhi Capitals,Kolkata Knight Riders,228/4 (20),210/8 (20),Delhi Capitals,Delhi Capitals won by 18 runs.
IPL 2020,MATCH 17,04-10-2020,Mumbai Indians,Sunrisers Hyderabad,208/5 (20),174/7 (20),Mumbai Indians,Mumbai Indians won by 34 runs.
IPL 2020,MATCH 18,04-10-2020,Punjab Kings,Chennai Super Kings,178/4 (20),181/0 (17.4),Chennai Super Kings,Chennai Super Kings won by 10 wickets.
IPL 2020,MATCH 19,05-10-2020,Royal Challengers Bengaluru,Delhi Capitals,137/9 (20),196/4 (20),Delhi Capitals,Delhi Capitals won by 59 runs.
IPL 2020,MATCH 20,06-10-2020,Mumbai Indians,Rajasthan Royals,193/4 (20),136/10 (18.1),Mumbai Indians,Mumbai Indians won by 57 runs.
IPL 2020,MATCH 21,07-10-2020,Kolkata Knight Riders,Chennai Super Kings,167/10 (20),157/5 (20),Kolkata Knight Riders,Kolkata Knight Riders won by 10 runs.
IPL 2020,MATCH 22,08-10-2020,Sunrisers Hyderabad,Punjab Kings,201/6 (20),132/10 (16.5),Sunrisers Hyderabad,Sunrisers Hyderabad won by 69 runs.
IPL 2020,MATCH 23,09-10-2020,Rajasthan Royals,Delhi Capitals,138/10 (19.4),184/8 (20),Delhi Capitals,Delhi Capitals won by 46 runs.
IPL 2020,MATCH 24,10-10-2020,Punjab Kings,Kolkata Knight Riders,162/5 (20),164/6 (20),Kolkata Knight Riders,Kolkata Knight Riders won by 2 runs.
IPL 2020,MATCH 25,10-10-2020,Chennai Super Kings,Royal Challengers Bengaluru,132/8 (20),169/4 (20),Royal Challengers Bengaluru,Royal Challengers Bengaluru won by 37 runs.
