SEASON,Match,Date,Home Team,Away team,Home score,Away score,Result,how
IPL 2023,44th Match,02-05-2023,Gujarat Titans,Delhi Capitals,125/6 (20 ov),130/8 (20 ov),Delhi Capitals,Delhi Capitals won by 5 runs
IPL 2023,45th Match,03-05-2023,Lucknow Super Giants,Chennai Super Kings,*125/7 (19.2 ov),,No result,No result
IPL 2023,46th Match,03-05-2023,Punjab Kings,Mumbai Indians,214/3 (20 ov),216/4 (18.5 ov),Mumbai Indians,Mumbai Indians won by 6 wkts
IPL 2023,47th Match,04-05-2023,Sunrisers Hyderabad,Kolkata Knight Riders,166/8 (20 ov),171/9 (20 ov),Kolkata Knight Riders,Kolkata Knight Riders won by 5 runs
IPL 2023,48th Match,05-05-2023,Rajasthan Royals,Gujarat Titans,118/10 (17.5 ov),119/1 (13.5 ov),Gujarat Titans,Gujarat Titans won by 9 wkts
IPL 2023,49th Match,06-05-2023,Chennai Super Kings,Mumbai Indians,140/4 (17.4 ov),139/8 (20 ov),Chennai Super Kings,Chennai Super Kings won by 6 wkts
IPL 2023,50th Match,06-05-2023,Delhi Capitals,Royal Challengers Bengaluru,187/3 (16.4 ov),181/4 (20 ov),Delhi Capitals,Delhi Capitals won by 7 wkts
IPL 2023,51st Match,07-05-2023,Gujarat Titans,Lucknow Super Giants,227/2 (20 ov),171/7 (20 ov),Gujarat Titans,Gujarat Titans won by 56 runs
IPL 2023,52nd Match,07-05-2023,Rajasthan Royals,Sunrisers Hyderabad,214/2 (20 ov),217/6 (20 ov),Sunrisers Hyderabad,Sunrisers Hyderabad won by 4 wkts
IPL 2023,53rd Match,08-05-2023,Kolkata Knight Riders,Punjab Kings,182/5 (20 ov),179/7 (20 ov),Kolkata Knight Riders,Kolkata Knight Riders won by 5 wkts
IPL 2023,54th Match,09-05-2023,Mumbai Indians,Royal Challengers Bengaluru,200/4 (16.3 ov),199/6 (20 ov),Mumbai Indians,Mumbai Indians won by 6 wkts
IPL 2023,55th Match,10-05-2023,Chennai Super Kings,Delhi Capitals,167/8 (20 ov),140/8 (20 ov),Chennai Super Kings,Chennai Super Kings won by 27 runs
IPL 2023,56th Match,11-05-2023,Kolkata Knight Riders,Rajasthan Royals,149/8 (20 ov),151/1 (13.1 ov),Rajasthan Royals,Rajasthan Royals won by 9 wkts
IPL 2023,57th Match,12-05-2023,Mumbai Indians,Gujarat Titans,218/5 (20 ov),191/8 (20 ov),Mumbai Indians,Mumbai Indians won by 27 runs
IPL 2023,58th Match,13-05-2023,Sunrisers Hyderabad,Lucknow Super Giants,182/6 (20 ov),185/3 (19.2 ov),Lucknow Super Giants,Lucknow Super Giants won by 7 wkts
IPL 2023,59th Match,13-05-2023,Delhi Capitals,Punjab Kings,136/8 (20 ov),167/7 (20 ov),Punjab Kings,Punjab Kings won by 31 runs
IPL 2023,60th Match,14-05-2023,Rajasthan Royals,Royal Challengers Bengaluru,59/10 (10.3 ov),171/5 (20 ov),Royal Challengers Bengaluru,Royal Challengers Bengaluru won by 112 runs
IPL 2023,61st Match,14-05-2023,Chennai Super Kings,Kolkata Knight Riders,144/6 (20 ov),147/4 (18.3 ov),Kolkata Knight Riders,Kolkata Knight Riders won by 6 wkts
IPL 2023,62nd Match,15-05-2023,Gujarat Titans,Sunrisers Hyderabad,188/9 (20 ov),154/9 (20 ov),Gujarat Titans,Gujarat Titans won by 34 runs
IPL 2023,63rd Match,16-05-2023,Lucknow Super Giants,Mumbai Indians,177/3 (20 ov),172/5 (20 ov),Lucknow Super Giants,Lucknow Super Giants won by 5 runs
IPL 2023,64th Match,17-05-2023,Punjab Kings,Delhi Capitals,198/8 (20 ov),213/2 (20 ov),Delhi Capitals,Delhi Capitals won by 15 runs
IPL 2023,65th Match,18-05-2023,Sunrisers Hyderabad,Royal Challengers Bengaluru,186/5 (20 ov),187/2 (19.2 ov),Royal Challengers Bengaluru,Royal Challengers Bengaluru won by 8 wkts
IPL 2023,66th Match,19-05-2023,Punjab Kings,Rajasthan Royals,187/5 (20 ov),189/6 (19.4 ov),Rajasthan Royals,Rajasthan Royals won by 4 wkts
IPL 2023,67th Match,20-05-2023,Delhi Capitals,Chennai Super Kings,146/9 (20 ov),223/3 (20 ov),Chennai Super Kings,Chennai Super Kings won by 77 runs
IPL 2023,68th Match,20-05-2023,Kolkata Knight Riders,Lucknow Super Giants,175/7 (20 ov),176/8 (20 ov),Lucknow Super Giants,Lucknow Super Giants won by 1 run
IPL 2023,69th Match,21-05-2023,Mumbai Indians,Sunrisers Hyderabad,201/2 (18 ov),200/5 (20 ov),Mumbai Indians,Mumbai Indians won by 8 wkts
IPL 2023,70th Match,21-05-2023,Royal Challengers Bengaluru,Gujarat Titans,197/5 (20 ov),198/4 (19.1 ov),Gujarat Titans,Gujarat Titans won by 6 wkts
IPL 2023,Qualifier 1,23-05-2023,Gujarat Titans,Chennai Super Kings,157/10 (20 ov),172/7 (20 ov),Chennai Super Kings,Chennai Super Kings won by 15 runs
IPL 2023,Eliminator,24-05-2023,Lucknow Super Giants,Mumbai Indians,101/10 (16.3 ov),182/8 (20 ov),Mumbai Indians,Mumbai Indians won by 81 runs
IPL 2023,Qualifier 2,26-05-2023,Gujarat Titans,Mumbai Indians,233/3 (20 ov),171/10 (18.2 ov),Gujarat Titans,Gujarat Titans won by 62 runs
IPL 2023,Final,28-05-2023,Chennai Super Kings,Gujarat Titans,171/5 (15 ov),214/4 (20 ov),Chennai Super Kings,Match postponed to Monday due to rain
IPL 2023,Final (Reserve day),29-05-2023,Chennai Super Kings,Gujarat Titans,,,Chennai Super Kings,Chennai Super Kings won by 5 wkts (DLS method)
