SEASON,Match,Date,Home Team,Away team,Home score,Away score,Result,how
IPL 2022,1st Match,26-03-2022,Chennai Super Kings,Kolkata Knight Riders,131/5 (20 ov),133/4 (18.3 ov),Kolkata Knight Riders,KKR won by 6 wickets
IPL 2022,2nd Match,27-03-2022,Delhi Capitals,Mumbai Indians,179/6 (18.2 ov),177/5 (20 ov),Delhi Capitals,DC won by 4 wickets
IPL 2022,3rd Match,27-03-2022,Punjab Kings,Royal Challengers Bengaluru,208/5 (19 ov),205/2 (20 ov),Punjab Kings,PBKS won by 5 wickets
IPL 2022,4th Match,28-03-2022,Gujarat Titans,Lucknow Super Giants,161/5 (19.4 ov),158/6 (20 ov),Gujarat Titans,GT won by 5 wickets
IPL 2022,5th Match,29-03-2022,Sunrisers Hyderabad,Rajasthan Royals,149/7 (20 ov),210/6 (20 ov),Rajasthan Royals,RR won by 61 runs.
IPL 2022,6th Match,30-03-2022,Royal Challengers Bengaluru,Kolkata Knight Riders,132/7 (19.2 ov),128/10 (18.5 ov),Royal Challengers Bengaluru,RCB won by 3 wickets
IPL 2022,7th Match,31-03-2022,Lucknow Super Giants,Chennai Super Kings,211/4 (19.3 ov),210/7 (20 ov),Lucknow Super Giants,LSG won by 6 wickets
IPL 2022,8th Match,01-04-2022,Kolkata Knight Riders,Punjab Kings,141/4 (14.3 ov),137/10 (18.2 ov),Kolkata Knight Riders,KKR won by 6 wickets
IPL 2022,9th Match,02-04-2022,Mumbai Indians,Rajasthan Royals,170/8 (20 ov),193/8 (20 ov),Rajasthan Royals,RR won by 23 runs.
IPL 2022,10th Match,02-04-2022,Gujarat Titans,Delhi Capitals,171/6 (20 ov),157/9 (20 ov),Gujarat Titans,GT won by 14 runs.
IPL 2022,11th Match,03-04-2022,Chennai Super Kings,Punjab Kings,126/10 (18 ov),180/8 (20 ov),Punjab Kings,PBKS won by 54 runs.
IPL 2022,12th Match,04-04-2022,Sunrisers Hyderabad,Lucknow Super Giants,157/9 (20 ov),169/7 (20 ov),Lucknow Super Giants,LSG won by 12 runs.
IPL 2022,13th Match,05-04-2022,Rajasthan Royals,Royal Challengers Bengaluru,169/3 (20 ov),173/6 (19.1 ov),Royal Challengers Bengaluru,RCB won by 4 wickets
IPL 2022,14th Match,06-04-2022,Kolkata Knight Riders,Mumbai Indians,162/5 (16 ov),161/4 (20 ov),Kolkata Knight Riders,KKR won by 5 wickets
IPL 2022,15th Match,07-04-2022,Lucknow Super Giants,Delhi Capitals,155/4 (19.4 ov),149/3 (20 ov),Lucknow Super Giants,LSG won by 6 wickets
IPL 2022,16th Match,08-04-2022,Punjab Kings,Gujarat Titans,189/9 (20 ov),190/4 (20 ov),Gujarat Titans,GT won by 6 wickets
IPL 2022,17th Match,09-04-2022,Chennai Super Kings,Sunrisers Hyderabad,154/7 (20 ov),155/2 (17.4 ov),Sunrisers Hyderabad,SRH won by 8 wickets
