SEASON,Match,Date,Home Team,Away team,Home score,Away score,Result,how
IPL 2022,18th Match,09-04-2022,Royal Challengers Bengaluru,Mumbai Indians,152/3 (18.3 ov),151/6 (20 ov),Royal Challengers Bengaluru,RCB won by 7 wickets
IPL 2022,19th Match,10-04-2022,Kolkata Knight Riders,Delhi Capitals,171/10 (19.4 ov),215/5 (20 ov),Delhi Capitals,DC won by 44 runs.
IPL 2022,20th Match,10-04-2022,Rajasthan Royals,Lucknow Super Giants,165/6 (20 ov),162/8 (20 ov),Rajasthan Royals,RR won by 3 runs.
IPL 2022,21st Match,11-04-2022,Sunrisers Hyderabad,Gujarat Titans,168/2 (19.1 ov),162/7 (20 ov),Sunrisers Hyderabad,SRH won by 8 wickets
IPL 2022,22nd Match,12-04-2022,Chennai Super Kings,Royal Challengers Bengaluru,216/4 (20 ov),193/9 (20 ov),Chennai Super Kings,CSK won by 23 runs.
IPL 2022,23rd Match,13-04-2022,Mumbai Indians,Punjab Kings,186/9 (20 ov),198/5 (20 ov),Punjab Kings,PBKS won by 12 runs.
IPL 2022,24th Match,14-04-2022,Rajasthan Royals,Gujarat Titans,155/9 (20 ov),192/4 (20 ov),Gujarat Titans,GT won by 37 runs.
IPL 2022,25th Match,15-04-2022,Sunrisers Hyderabad,Kolkata Knight Riders,176/3 (17.5 ov),175/8 (20 ov),Sunrisers Hyderabad,SRH won by 7 wickets
IPL 2022,26th Match,16-04-2022,Mumbai Indians,Lucknow Super Giants,181/9 (20 ov),199/4 (20 ov),Lucknow Super Giants,LSG won by 18 runs.
IPL 2022,27th Match,16-04-2022,Delhi Capitals,Royal Challengers Bengaluru,173/7 (20 ov),189/5 (20 ov),Royal Challengers Bengaluru,RCB won by 16 runs.
IPL 2022,28th Match,17-04-2022,Punjab Kings,Sunrisers Hyderabad,151/10 (20 ov),152/3 (18.5 ov),Sunrisers Hyderabad,SRH won by 7 wickets
IPL 2022,29th Match,17-04-2022,Gujarat Titans,Chennai Super Kings,170/7 (19.5 ov),169/5 (20 ov),Gujarat Titans,GT won by 3 wickets
IPL 2022,30th Match,18-04-2022,Rajasthan Royals,Kolkata Knight Riders,217/5 (20 ov),210/10 (19.4 ov),Rajasthan Royals,RR won by 7 runs.
IPL 2022,31st Match,19-04-2022,Lucknow Super Giants,Royal Challengers Bengaluru,163/8 (20 ov),181/6 (20 ov),Royal Challengers Bengaluru,RCB won by 18 runs.
IPL 2022,32nd Match,20-04-2022,Delhi Capitals,Punjab Kings,119/1 (10.3 ov),115/10 (20 ov),Delhi Capitals,DC won by 9 wickets
IPL 2022,33rd Match,21-04-2022,Mumbai Indians,Chennai Super Kings,155/7 (20 ov),156/7 (20 ov),Chennai Super Kings,CSK won by 3 wickets
IPL 2022,34th Match,22-04-2022,Delhi Capitals,Rajasthan Royals,207/8 (20 ov),222/2 (20 ov),Rajasthan Royals,RR won by 15 runs.
IPL 2022,35th Match,23-04-2022,Kolkata Knight Riders,Gujarat Titans,148/8 (20 ov),156/9 (20 ov),Gujarat Titans,GT won by 8 runs.
IPL 2022,36th Match,23-04-2022,Royal Challengers Bengaluru,Sunrisers Hyderabad,68/10 (16.1 ov),72/1 (8 ov),Sunrisers Hyderabad,SRH won by 9 wickets
IPL 2022,37th Match,24-04-2022,Lucknow Super Giants,Mumbai Indians,168/6 (20 ov),132/8 (20 ov),Lucknow Super Giants,LSG won by 36 runs.
IPL 2022,38th Match,25-04-2022,Punjab Kings,Chennai Super Kings,187/4 (20 ov),176/6 (20 ov),Punjab Kings,PBKS won by 11 runs.
IPL 2022,39th Match,26-04-2022,Royal Challengers Bengaluru,Rajasthan Royals,115/10 (19.3 ov),144/8 (20 ov),Rajasthan Royals,RR won by 29 runs.
IPL 2022,40th Match,27-04-2022,Gujarat Titans,Sunrisers Hyderabad,199/5 (20 ov),195/6 (20 ov),Gujarat Titans,GT won by 5 wickets
IPL 2022,41st Match,28-04-2022,Delhi Capitals,Kolkata Knight Riders,150/6 (19 ov),146/9 (20 ov),Delhi Capitals,DC won by 4 wickets
IPL 2022,42nd Match,29-04-2022,Punjab Kings,Lucknow Super Giants,133/8 (20 ov),153/8 (20 ov),Lucknow Super Giants,LSG won by 20 runs.
IPL 2022,43rd Match,30-04-2022,Gujarat Titans,Royal Challengers Bengaluru,174/4 (19.3 ov),170/6 (20 ov),Gujarat Titans,GT won by 6 wickets
IPL 2022,44th Match,30-04-2022,Rajasthan Royals,Mumbai Indians,158/6 (20 ov),161/5 (19.2 ov),Mumbai Indians,MI won by 5 wickets
IPL 2022,45th Match,01-05-2022,Delhi Capitals,Lucknow Super Giants,189/7 (20 ov),195/3 (20 ov),Lucknow Super Giants,LSG won by 6 runs.
IPL 2022,46th Match,01-05-2022,Sunrisers Hyderabad,Chennai Super Kings,189/6 (20 ov),202/2 (20 ov),Chennai Super Kings,CSK won by 13 runs.
IPL 2022,47th Match,02-05-2022,Kolkata Knight Riders,Rajasthan Royals,158/3 (19.1 ov),152/5 (20 ov),Kolkata Knight Riders,KKR won by 7 wickets
IPL 2022,48th Match,03-05-2022,Gujarat Titans,Punjab Kings,143/8 (20 ov),145/2 (16 ov),Punjab Kings,PBKS won by 8 wickets
IPL 2022,49th Match,04-05-2022,Royal Challengers Bengaluru,Chennai Super Kings,173/8 (20 ov),160/8 (20 ov),Royal Challengers Bengaluru,RCB won by 13 runs.
IPL 2022,50th Match,05-05-2022,Delhi Capitals,Sunrisers Hyderabad,207/3 (20 ov),186/8 (20 ov),Delhi Capitals,DC won by 21 runs.
IPL 2022,51st Match,06-05-2022,Gujarat Titans,Mumbai Indians,172/5 (20 ov),177/6 (20 ov),Mumbai Indians,MI won by 5 runs.
IPL 2022,52nd Match,07-05-2022,Punjab Kings,Rajasthan Royals,189/5 (20 ov),190/4 (19.4 ov),Rajasthan Royals,RR won by 6 wickets
IPL 2022,53rd Match,07-05-2022,Lucknow Super Giants,Kolkata Knight Riders,176/7 (20 ov),101/10 (14.3 ov),Lucknow Super Giants,LSG won by 75 runs.
IPL 2022,54th Match,08-05-2022,Sunrisers Hyderabad,Royal Challengers Bengaluru,125/10 (19.2 ov),192/3 (20 ov),Royal Challengers Bengaluru,RCB won by 67 runs.
IPL 2022,55th Match,08-05-2022,Chennai Super Kings,Delhi Capitals,208/6 (20 ov),117/10 (17.4 ov),Chennai Super Kings,CSK won by 91 runs.
IPL 2022,56th Match,09-05-2022,Mumbai Indians,Kolkata Knight Riders,113/10 (17.3 ov),165/9 (20 ov),Kolkata Knight Riders,KKR won by 52 runs.
IPL 2022,57th Match,10-05-2022,Lucknow Super Giants,Gujarat Titans,82/10 (13.5 ov),144/4 (20 ov),Gujarat Titans,GT won by 62 runs.
IPL 2022,58th Match,11-05-2022,Rajasthan Royals,Delhi Capitals,160/6 (20 ov),161/2 (18.1 ov),Delhi Capitals,DC won by 8 wickets
IPL 2022,59th Match,12-05-2022,Chennai Super Kings,Mumbai Indians,97/10 (16 ov),103/5 (14.5 ov),Mumbai Indians,MI won by 5 wickets
IPL 2022,60th Match,13-05-2022,Royal Challengers Bengaluru,Punjab Kings,155/9 (20 ov),209/9 (20 ov),Punjab Kings,PBKS won by 54 runs.
IPL 2022,61st Match,14-05-2022,Kolkata Knight Riders,Sunrisers Hyderabad,177/6 (20 ov),123/8 (20 ov),Kolkata Knight Riders,KKR won by 54 runs.
IPL 2022,62nd Match,15-05-2022,Chennai Super Kings,Gujarat Titans,133/5 (20 ov),137/3 (19.1 ov),Gujarat Titans,GT won by 7 wickets
IPL 2022,63rd Match,15-05-2022,Lucknow Super Giants,Rajasthan Royals,154/8 (20 ov),178/6 (20 ov),Rajasthan Royals,RR won by 24 runs.
IPL 2022,64th Match,16-05-2022,Punjab Kings,Delhi Capitals,142/9 (20 ov),159/7 (20 ov),Delhi Capitals,DC won by 17 runs.
IPL 2022,65th Match,17-05-2022,Mumbai Indians,Sunrisers Hyderabad,190/7 (20 ov),193/6 (20 ov),Sunrisers Hyderabad,SRH won by 3 runs.
IPL 2022,66th Match,18-05-2022,Kolkata Knight Riders,Lucknow Super Giants,208/8 (20 ov),210/0 (20 ov),Lucknow Super Giants,LSG won by 2 runs.
IPL 2022,67th Match,19-05-2022,Royal Challengers Bengaluru,Gujarat Titans,170/2 (18.4 ov),168/5 (20 ov),Royal Challengers Bengaluru,RCB won by 8 wickets
IPL 2022,68th Match,20-05-2022,Rajasthan Royals,Chennai Super Kings,151/5 (19.4 ov),150/6 (20 ov),Rajasthan Royals,RR won by 5 wickets
IPL 2022,69th Match,21-05-2022,Mumbai Indians,Delhi Capitals,160/5 (19.1 ov),159/7 (20 ov),Mumbai Indians,MI won by 5 wickets
IPL 2022,70th Match,22-05-2022,Sunrisers Hyderabad,Punjab Kings,157/8 (20 ov),160/5 (15.1 ov),Punjab Kings,PBKS won by 5 wickets
IPL 2022,Qualifier 1,24-05-2022,Gujarat Titans,Rajasthan Royals,191/3 (19.3 ov),188/6 (20 ov),Gujarat Titans,GT won by 7 wickets
IPL 2022,Eliminator,25-05-2022,Lucknow Super Giants,Royal Challengers Bengaluru,193/6 (20 ov),207/4 (20 ov),Royal Challengers Bengaluru,RCB won by 14 runs.
IPL 2022,Qualifier 2,27-05-2022,Rajasthan Royals,Royal Challengers Bengaluru,161/3 (18.1 ov),157/8 (20 ov),Rajasthan Royals,RR won by 7 wickets
IPL 2022,Final,29-05-2022,Gujarat Titans,Rajasthan Royals,133/3 (18.1 ov),130/9 (20 ov),Gujarat Titans,GT won by 7 wickets
