Match Number,Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score,Result
57,1,24-10-2018 19:00,Toyota Center,Houston Rockets,Utah Jazz,89,100,Utah Jazz
58,1,24-10-2018 19:30,AT+ACY-T Center,San Antonio Spurs,Indiana Pacers,96,116,Indiana Pacers
59,1,24-10-2018 20:30,Fiserv Forum,Milwaukee Bucks,Philadelphia 76ers,123,108,Milwaukee Bucks
60,1,24-10-2018 21:00,Talking Stick Resort Arena,Phoenix Suns,Los Angeles Lakers,113,131,Los Angeles Lakers
61,1,24-10-2018 21:00,Golden 1 Center,Sacramento Kings,Memphis Grizzlies,97,92,Sacramento Kings
62,1,24-10-2018 21:30,ORACLE Arena,Golden State Warriors,Washington Wizards,144,122,Golden State Warriors
63,1,25-10-2018 18:00,Little Caesars Arena,Detroit Pistons,Cleveland Cavaliers,110,103,Detroit Pistons
64,1,25-10-2018 18:00,Amway Center,Orlando Magic,Portland Trail Blazers,114,128,Portland Trail Blazers
65,2,25-10-2018 19:00,Chesapeake Energy Arena,Oklahoma City Thunder,Boston Celtics,95,101,Boston Celtics
66,2,25-10-2018 21:30,Staples Center,Los Angeles Lakers,Denver Nuggets,121,114,Los Angeles Lakers
67,2,26-10-2018 18:00,Spectrum Center,Charlotte Hornets,Chicago Bulls,135,106,Charlotte Hornets
68,2,26-10-2018 18:30,Madison Square Garden,New York Knicks,Golden State Warriors,100,128,Golden State Warriors
69,2,26-10-2018 18:30,Scotiabank Arena,Toronto Raptors,Dallas Mavericks,116,107,Toronto Raptors
70,2,26-10-2018 19:00,Toyota Center,Houston Rockets,LA Clippers,113,133,LA Clippers
71,2,26-10-2018 19:00,Target Center,Minnesota Timberwolves,Milwaukee Bucks,95,125,Milwaukee Bucks
72,2,26-10-2018 19:00,Smoothie King Center,New Orleans Pelicans,Brooklyn Nets,117,115,New Orleans Pelicans
73,2,26-10-2018 21:00,Golden 1 Center,Sacramento Kings,Washington Wizards,116,112,Sacramento Kings
74,2,27-10-2018 18:00,Little Caesars Arena,Detroit Pistons,Boston Celtics,89,109,Boston Celtics
75,2,27-10-2018 18:00,Smoothie King Center,New Orleans Pelicans,Utah Jazz,111,132,Utah Jazz
76,2,27-10-2018 18:30,State Farm Arena,Atlanta Hawks,Chicago Bulls,85,97,Chicago Bulls
77,2,27-10-2018 18:30,Quicken Loans Arena,Cleveland Cavaliers,Indiana Pacers,107,119,Indiana Pacers
78,2,27-10-2018 18:30,Wells Fargo Center,Philadelphia 76ers,Charlotte Hornets,105,103,Philadelphia 76ers
79,2,27-10-2018 19:00,AmericanAirlines Arena,Miami Heat,Portland Trail Blazers,120,111,Miami Heat
80,2,27-10-2018 19:00,FedExForum,Memphis Grizzlies,Phoenix Suns,117,96,Memphis Grizzlies
81,2,27-10-2018 19:30,Fiserv Forum,Milwaukee Bucks,Orlando Magic,113,91,Milwaukee Bucks
82,2,27-10-2018 19:30,AT+ACY-T Center,San Antonio Spurs,Los Angeles Lakers,110,106,San Antonio Spurs
83,2,28-10-2018 16:00,Barclays Center,Brooklyn Nets,Golden State Warriors,114,120,Golden State Warriors
84,2,28-10-2018 18:00,American Airlines Center,Dallas Mavericks,Utah Jazz,104,113,Utah Jazz
85,2,28-10-2018 18:00,Chesapeake Energy Arena,Oklahoma City Thunder,Phoenix Suns,117,110,Oklahoma City Thunder
86,2,28-10-2018 20:30,Staples Center,LA Clippers,Washington Wizards,136,104,LA Clippers
87,2,29-10-2018 18:00,Bankers Life Fieldhouse,Indiana Pacers,Portland Trail Blazers,93,103,Portland Trail Blazers
88,2,29-10-2018 18:00,Wells Fargo Center,Philadelphia 76ers,Atlanta Hawks,113,92,Philadelphia 76ers
89,2,29-10-2018 18:30,AmericanAirlines Arena,Miami Heat,Sacramento Kings,113,123,Sacramento Kings
90,2,29-10-2018 18:30,Madison Square Garden,New York Knicks,Brooklyn Nets,115,96,New York Knicks
91,2,29-10-2018 19:00,United Center,Chicago Bulls,Golden State Warriors,124,149,Golden State Warriors
92,2,29-10-2018 19:00,Fiserv Forum,Milwaukee Bucks,Toronto Raptors,124,109,Milwaukee Bucks
93,2,29-10-2018 19:00,Target Center,Minnesota Timberwolves,Los Angeles Lakers,124,120,Minnesota Timberwolves
94,2,29-10-2018 19:30,AT+ACY-T Center,San Antonio Spurs,Dallas Mavericks,113,108,San Antonio Spurs
95,2,29-10-2018 20:00,Pepsi Center,Denver Nuggets,New Orleans Pelicans,116,111,Denver Nuggets
96,2,30-10-2018 18:00,Spectrum Center,Charlotte Hornets,Miami Heat,125,113,Charlotte Hornets
97,2,30-10-2018 18:00,Quicken Loans Arena,Cleveland Cavaliers,Atlanta Hawks,136,114,Cleveland Cavaliers
98,2,30-10-2018 18:00,Amway Center,Orlando Magic,Sacramento Kings,99,107,Sacramento Kings
99,2,30-10-2018 18:30,TD Garden,Boston Celtics,Detroit Pistons,108,105,Boston Celtics
100,2,30-10-2018 18:30,Scotiabank Arena,Toronto Raptors,Philadelphia 76ers,129,112,Toronto Raptors
101,2,30-10-2018 19:00,Toyota Center,Houston Rockets,Portland Trail Blazers,85,104,Portland Trail Blazers
102,2,30-10-2018 19:00,FedExForum,Memphis Grizzlies,Washington Wizards,107,95,Memphis Grizzlies
103,2,30-10-2018 19:00,Chesapeake Energy Arena,Oklahoma City Thunder,LA Clippers,128,110,Oklahoma City Thunder
104,2,31-10-2018 18:30,Barclays Center,Brooklyn Nets,Detroit Pistons,120,119,Brooklyn Nets
105,2,31-10-2018 19:00,Madison Square Garden,New York Knicks,Indiana Pacers,101,107,Indiana Pacers
106,2,31-10-2018 19:00,United Center,Chicago Bulls,Denver Nuggets,107,108,Denver Nuggets
107,2,31-10-2018 19:00,Target Center,Minnesota Timberwolves,Utah Jazz,128,125,Minnesota Timberwolves
108,2,31-10-2018 21:30,ORACLE Arena,Golden State Warriors,New Orleans Pelicans,131,121,Golden State Warriors
109,2,31-10-2018 21:30,Staples Center,Los Angeles Lakers,Dallas Mavericks,114,113,Los Angeles Lakers
110,2,31-10-2018 21:30,Talking Stick Resort Arena,Phoenix Suns,San Antonio Spurs,90,120,San Antonio Spurs
111,2,01-11-2018 18:00,Spectrum Center,Charlotte Hornets,Oklahoma City Thunder,107,111,Oklahoma City Thunder
112,2,01-11-2018 18:00,Quicken Loans Arena,Cleveland Cavaliers,Denver Nuggets,91,110,Denver Nuggets
113,2,01-11-2018 18:00,Wells Fargo Center,Philadelphia 76ers,LA Clippers,122,113,Philadelphia 76ers
114,2,01-11-2018 18:30,State Farm Arena,Atlanta Hawks,Sacramento Kings,115,146,Sacramento Kings
115,3,01-11-2018 19:00,TD Garden,Boston Celtics,Milwaukee Bucks,117,113,Boston Celtics
116,3,01-11-2018 21:30,Moda Center,Portland Trail Blazers,New Orleans Pelicans,132,119,Portland Trail Blazers
117,3,02-11-2018 18:00,Amway Center,Orlando Magic,LA Clippers,95,120,LA Clippers
118,3,02-11-2018 18:30,Barclays Center,Brooklyn Nets,Houston Rockets,111,119,Houston Rockets
119,3,02-11-2018 19:00,Capital One Arena,Washington Wizards,Oklahoma City Thunder,111,134,Oklahoma City Thunder
120,3,02-11-2018 19:00,United Center,Chicago Bulls,Indiana Pacers,105,107,Indiana Pacers
121,3,02-11-2018 19:30,American Airlines Center,Dallas Mavericks,New York Knicks,106,118,New York Knicks
122,3,02-11-2018 20:00,Vivint Smart Home Arena,Utah Jazz,Memphis Grizzlies,100,110,Memphis Grizzlies
123,3,02-11-2018 21:00,Talking Stick Resort Arena,Phoenix Suns,Toronto Raptors,98,107,Toronto Raptors
124,3,02-11-2018 21:30,ORACLE Arena,Golden State Warriors,Minnesota Timberwolves,116,99,Golden State Warriors
125,3,03-11-2018 12:00,Wells Fargo Center,Philadelphia 76ers,Detroit Pistons,109,99,Philadelphia 76ers
126,3,03-11-2018 18:00,Spectrum Center,Charlotte Hornets,Cleveland Cavaliers,126,94,Charlotte Hornets
127,3,03-11-2018 18:00,Bankers Life Fieldhouse,Indiana Pacers,Boston Celtics,102,101,Indiana Pacers
128,3,03-11-2018 18:30,State Farm Arena,Atlanta Hawks,Miami Heat,123,118,Atlanta Hawks
129,3,03-11-2018 19:00,United Center,Chicago Bulls,Houston Rockets,88,96,Houston Rockets
130,3,03-11-2018 19:30,AT+ACY-T Center,San Antonio Spurs,New Orleans Pelicans,109,95,San Antonio Spurs
131,3,03-11-2018 20:00,Pepsi Center,Denver Nuggets,Utah Jazz,103,88,Denver Nuggets
132,3,03-11-2018 21:00,Moda Center,Portland Trail Blazers,Los Angeles Lakers,110,114,Los Angeles Lakers
133,3,04-11-2018 14:30,Fiserv Forum,Milwaukee Bucks,Sacramento Kings,144,109,Milwaukee Bucks
134,3,04-11-2018 17:00,Barclays Center,Brooklyn Nets,Philadelphia 76ers,122,97,Brooklyn Nets
135,3,04-11-2018 17:00,Capital One Arena,Washington Wizards,New York Knicks,108,95,Washington Wizards
136,3,04-11-2018 18:00,AT+ACY-T Center,San Antonio Spurs,Orlando Magic,110,117,Orlando Magic
137,3,04-11-2018 19:00,Talking Stick Resort Arena,Phoenix Suns,Memphis Grizzlies,102,100,Phoenix Suns
138,3,04-11-2018 20:00,Moda Center,Portland Trail Blazers,Minnesota Timberwolves,111,81,Portland Trail Blazers
139,3,04-11-2018 20:30,Staples Center,Los Angeles Lakers,Toronto Raptors,107,121,Toronto Raptors
140,3,05-11-2018 18:00,Little Caesars Arena,Detroit Pistons,Miami Heat,115,120,Miami Heat
141,3,05-11-2018 18:00,Bankers Life Fieldhouse,Indiana Pacers,Houston Rockets,94,98,Houston Rockets
142,3,05-11-2018 18:00,Amway Center,Orlando Magic,Cleveland Cavaliers,102,100,Orlando Magic
143,3,05-11-2018 18:30,Madison Square Garden,New York Knicks,Chicago Bulls,115,116,Chicago Bulls
144,3,05-11-2018 19:00,Chesapeake Energy Arena,Oklahoma City Thunder,New Orleans Pelicans,122,116,Oklahoma City Thunder
145,3,05-11-2018 20:00,Pepsi Center,Denver Nuggets,Boston Celtics,115,107,Denver Nuggets
146,3,05-11-2018 20:00,Vivint Smart Home Arena,Utah Jazz,Toronto Raptors,111,124,Toronto Raptors
147,3,05-11-2018 21:30,ORACLE Arena,Golden State Warriors,Memphis Grizzlies,117,101,Golden State Warriors
148,3,05-11-2018 21:30,Staples Center,LA Clippers,Minnesota Timberwolves,120,109,LA Clippers
149,3,06-11-2018 18:00,Spectrum Center,Charlotte Hornets,Atlanta Hawks,113,102,Charlotte Hornets
150,3,06-11-2018 19:30,American Airlines Center,Dallas Mavericks,Washington Wizards,119,100,Dallas Mavericks
151,3,06-11-2018 20:00,Talking Stick Resort Arena,Phoenix Suns,Brooklyn Nets,82,104,Brooklyn Nets
152,3,06-11-2018 21:00,Moda Center,Portland Trail Blazers,Milwaukee Bucks,118,103,Portland Trail Blazers
153,3,07-11-2018 18:00,Quicken Loans Arena,Cleveland Cavaliers,Oklahoma City Thunder,86,95,Oklahoma City Thunder
154,3,07-11-2018 18:00,Amway Center,Orlando Magic,Detroit Pistons,96,103,Detroit Pistons
155,3,07-11-2018 18:30,State Farm Arena,Atlanta Hawks,New York Knicks,107,112,New York Knicks
156,3,07-11-2018 18:30,AmericanAirlines Arena,Miami Heat,San Antonio Spurs,95,88,Miami Heat
157,3,07-11-2018 19:00,Bankers Life Fieldhouse,Indiana Pacers,Philadelphia 76ers,94,100,Philadelphia 76ers
158,3,07-11-2018 19:00,FedExForum,Memphis Grizzlies,Denver Nuggets,89,87,Memphis Grizzlies
159,3,07-11-2018 19:00,Smoothie King Center,New Orleans Pelicans,Chicago Bulls,107,98,New Orleans Pelicans
160,3,07-11-2018 20:00,Vivint Smart Home Arena,Utah Jazz,Dallas Mavericks,117,102,Utah Jazz
161,3,07-11-2018 21:00,Golden 1 Center,Sacramento Kings,Toronto Raptors,105,114,Toronto Raptors
162,3,07-11-2018 21:30,Staples Center,Los Angeles Lakers,Minnesota Timberwolves,114,110,Los Angeles Lakers
163,4,08-11-2018 19:00,Chesapeake Energy Arena,Oklahoma City Thunder,Houston Rockets,98,80,Oklahoma City Thunder
164,4,08-11-2018 20:00,Talking Stick Resort Arena,Phoenix Suns,Boston Celtics,109,116,Boston Celtics
165,4,08-11-2018 21:00,Moda Center,Portland Trail Blazers,LA Clippers,116,105,Portland Trail Blazers
166,4,08-11-2018 21:30,ORACLE Arena,Golden State Warriors,Milwaukee Bucks,111,134,Milwaukee Bucks
167,4,09-11-2018 18:00,Amway Center,Orlando Magic,Washington Wizards,117,108,Orlando Magic
168,4,09-11-2018 18:00,Wells Fargo Center,Philadelphia 76ers,Charlotte Hornets,133,132,Philadelphia 76ers
169,4,09-11-2018 18:30,State Farm Arena,Atlanta Hawks,Detroit Pistons,109,124,Detroit Pistons
170,4,09-11-2018 19:00,AmericanAirlines Arena,Miami Heat,Indiana Pacers,102,110,Indiana Pacers
171,4,09-11-2018 20:00,Pepsi Center,Denver Nuggets,Brooklyn Nets,110,112,Brooklyn Nets
172,4,09-11-2018 20:30,Vivint Smart Home Arena,Utah Jazz,Boston Celtics,123,115,Utah Jazz
173,4,09-11-2018 21:00,Golden 1 Center,Sacramento Kings,Minnesota Timberwolves,121,110,Sacramento Kings
174,4,10-11-2018 14:00,Scotiabank Arena,Toronto Raptors,New York Knicks,128,112,Toronto Raptors
175,4,10-11-2018 14:30,Staples Center,LA Clippers,Milwaukee Bucks,128,126,LA Clippers
176,4,10-11-2018 18:00,Smoothie King Center,New Orleans Pelicans,Phoenix Suns,119,99,New Orleans Pelicans
177,4,10-11-2018 19:00,AmericanAirlines Arena,Miami Heat,Washington Wizards,110,116,Washington Wizards
178,4,10-11-2018 19:00,United Center,Chicago Bulls,Cleveland Cavaliers,99,98,Chicago Bulls
179,4,10-11-2018 19:00,FedExForum,Memphis Grizzlies,Philadelphia 76ers,112,106,Memphis Grizzlies
180,4,10-11-2018 19:30,AT+ACY-T Center,San Antonio Spurs,Houston Rockets,96,89,San Antonio Spurs
181,4,10-11-2018 19:30,ORACLE Arena,Golden State Warriors,Brooklyn Nets,116,100,Golden State Warriors
182,4,10-11-2018 20:00,American Airlines Center,Dallas Mavericks,Oklahoma City Thunder,111,96,Dallas Mavericks
183,4,10-11-2018 21:00,Golden 1 Center,Sacramento Kings,Los Angeles Lakers,86,101,Los Angeles Lakers
184,4,11-11-2018 14:30,Little Caesars Arena,Detroit Pistons,Charlotte Hornets,103,113,Charlotte Hornets
185,4,11-11-2018 18:00,Toyota Center,Houston Rockets,Indiana Pacers,115,103,Houston Rockets
186,4,11-11-2018 18:30,Madison Square Garden,New York Knicks,Orlando Magic,89,115,Orlando Magic
187,4,11-11-2018 19:00,Pepsi Center,Denver Nuggets,Milwaukee Bucks,114,121,Milwaukee Bucks
188,4,11-11-2018 20:00,Moda Center,Portland Trail Blazers,Boston Celtics,100,94,Portland Trail Blazers
189,4,11-11-2018 20:30,Staples Center,Los Angeles Lakers,Atlanta Hawks,107,106,Los Angeles Lakers
190,4,12-11-2018 18:00,Capital One Arena,Washington Wizards,Orlando Magic,117,109,Washington Wizards
191,4,12-11-2018 18:30,AmericanAirlines Arena,Miami Heat,Philadelphia 76ers,114,124,Philadelphia 76ers
192,4,12-11-2018 18:30,Scotiabank Arena,Toronto Raptors,New Orleans Pelicans,110,126,New Orleans Pelicans
193,4,12-11-2018 19:00,United Center,Chicago Bulls,Dallas Mavericks,98,103,Dallas Mavericks
194,4,12-11-2018 19:00,FedExForum,Memphis Grizzlies,Utah Jazz,88,96,Utah Jazz
195,4,12-11-2018 19:00,Target Center,Minnesota Timberwolves,Brooklyn Nets,120,113,Minnesota Timberwolves
196,4,12-11-2018 19:00,Chesapeake Energy Arena,Oklahoma City Thunder,Phoenix Suns,118,101,Oklahoma City Thunder
197,4,12-11-2018 21:00,Golden 1 Center,Sacramento Kings,San Antonio Spurs,104,99,Sacramento Kings
198,4,12-11-2018 21:30,Staples Center,LA Clippers,Golden State Warriors,121,116,LA Clippers
199,4,13-11-2018 18:00,Quicken Loans Arena,Cleveland Cavaliers,Charlotte Hornets,113,89,Cleveland Cavaliers
200,4,13-11-2018 20:00,Pepsi Center,Denver Nuggets,Houston Rockets,99,109,Houston Rockets
201,4,13-11-2018 21:30,ORACLE Arena,Golden State Warriors,Atlanta Hawks,110,103,Golden State Warriors
202,4,14-11-2018 18:00,Amway Center,Orlando Magic,Philadelphia 76ers,111,106,Orlando Magic
203,4,14-11-2018 18:00,Capital One Arena,Washington Wizards,Cleveland Cavaliers,119,95,Washington Wizards
204,4,14-11-2018 18:30,TD Garden,Boston Celtics,Chicago Bulls,111,82,Boston Celtics
205,4,14-11-2018 18:30,Barclays Center,Brooklyn Nets,Miami Heat,107,120,Miami Heat
206,4,14-11-2018 18:30,Scotiabank Arena,Toronto Raptors,Detroit Pistons,104,106,Detroit Pistons
207,4,14-11-2018 19:00,Fiserv Forum,Milwaukee Bucks,Memphis Grizzlies,113,116,Memphis Grizzlies
208,4,14-11-2018 19:00,Target Center,Minnesota Timberwolves,New Orleans Pelicans,107,100,Minnesota Timberwolves
209,4,14-11-2018 19:00,Chesapeake Energy Arena,Oklahoma City Thunder,New York Knicks,128,103,Oklahoma City Thunder
210,4,14-11-2018 19:30,American Airlines Center,Dallas Mavericks,Utah Jazz,118,68,Dallas Mavericks
211,4,14-11-2018 20:00,Talking Stick Resort Arena,Phoenix Suns,San Antonio Spurs,116,96,Phoenix Suns
212,4,14-11-2018 21:30,Staples Center,Los Angeles Lakers,Portland Trail Blazers,126,117,Los Angeles Lakers
213,5,15-11-2018 19:00,Toyota Center,Houston Rockets,Golden State Warriors,107,86,Houston Rockets
214,5,15-11-2018 20:00,Pepsi Center,Denver Nuggets,Atlanta Hawks,138,93,Denver Nuggets
215,5,15-11-2018 21:30,Staples Center,LA Clippers,San Antonio Spurs,116,111,LA Clippers
216,5,16-11-2018 18:00,TD Garden,Boston Celtics,Toronto Raptors,123,116,Boston Celtics
217,5,16-11-2018 18:00,Bankers Life Fieldhouse,Indiana Pacers,Miami Heat,99,91,Indiana Pacers
218,5,16-11-2018 18:00,Wells Fargo Center,Philadelphia 76ers,Utah Jazz,113,107,Philadelphia 76ers
219,5,16-11-2018 18:00,Capital One Arena,Washington Wizards,Brooklyn Nets,104,115,Brooklyn Nets
220,5,16-11-2018 19:00,FedExForum,Memphis Grizzlies,Sacramento Kings,112,104,Memphis Grizzlies
221,5,16-11-2018 19:00,Target Center,Minnesota Timberwolves,Portland Trail Blazers,112,96,Minnesota Timberwolves
222,5,16-11-2018 19:00,Smoothie King Center,New Orleans Pelicans,New York Knicks,129,124,New Orleans Pelicans
223,5,16-11-2018 20:30,Fiserv Forum,Milwaukee Bucks,Chicago Bulls,123,104,Milwaukee Bucks
224,5,17-11-2018 17:00,Barclays Center,Brooklyn Nets,LA Clippers,119,127,LA Clippers
225,5,17-11-2018 18:00,Spectrum Center,Charlotte Hornets,Philadelphia 76ers,119,122,Philadelphia 76ers
226,5,17-11-2018 18:00,Bankers Life Fieldhouse,Indiana Pacers,Atlanta Hawks,97,89,Indiana Pacers
227,5,17-11-2018 18:00,Amway Center,Orlando Magic,Los Angeles Lakers,130,117,Orlando Magic
228,5,17-11-2018 18:00,Smoothie King Center,New Orleans Pelicans,Denver Nuggets,125,115,New Orleans Pelicans
229,5,17-11-2018 18:30,TD Garden,Boston Celtics,Utah Jazz,86,98,Utah Jazz
230,5,17-11-2018 19:00,United Center,Chicago Bulls,Toronto Raptors,83,122,Toronto Raptors
231,5,17-11-2018 19:00,Toyota Center,Houston Rockets,Sacramento Kings,132,112,Houston Rockets
232,5,17-11-2018 19:30,American Airlines Center,Dallas Mavericks,Golden State Warriors,112,109,Dallas Mavericks
233,5,17-11-2018 20:00,Talking Stick Resort Arena,Phoenix Suns,Oklahoma City Thunder,100,110,Oklahoma City Thunder
234,5,18-11-2018 14:30,Target Center,Minnesota Timberwolves,Memphis Grizzlies,87,100,Memphis Grizzlies
235,5,18-11-2018 17:00,AmericanAirlines Arena,Miami Heat,Los Angeles Lakers,97,113,Los Angeles Lakers
236,5,18-11-2018 17:00,Amway Center,Orlando Magic,New York Knicks,131,117,Orlando Magic
237,5,18-11-2018 17:00,Capital One Arena,Washington Wizards,Portland Trail Blazers,109,119,Portland Trail Blazers
238,5,18-11-2018 18:00,AT+ACY-T Center,San Antonio Spurs,Golden State Warriors,104,92,San Antonio Spurs
239,5,19-11-2018 18:00,Spectrum Center,Charlotte Hornets,Boston Celtics,117,112,Charlotte Hornets
240,5,19-11-2018 18:00,Little Caesars Arena,Detroit Pistons,Cleveland Cavaliers,113,102,Detroit Pistons
241,5,19-11-2018 18:00,Bankers Life Fieldhouse,Indiana Pacers,Utah Jazz,121,94,Indiana Pacers
242,5,19-11-2018 18:00,Wells Fargo Center,Philadelphia 76ers,Phoenix Suns,119,114,Philadelphia 76ers
243,5,19-11-2018 18:30,State Farm Arena,Atlanta Hawks,LA Clippers,119,127,LA Clippers
244,5,19-11-2018 19:00,FedExForum,Memphis Grizzlies,Dallas Mavericks,98,88,Memphis Grizzlies
245,5,19-11-2018 19:00,Fiserv Forum,Milwaukee Bucks,Denver Nuggets,104,98,Milwaukee Bucks
246,5,19-11-2018 19:00,Smoothie King Center,New Orleans Pelicans,San Antonio Spurs,140,126,New Orleans Pelicans
247,5,19-11-2018 21:00,Golden 1 Center,Sacramento Kings,Oklahoma City Thunder,117,113,Sacramento Kings
