Match Number,Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score,Result
1,1,16-10-2018 19:00,TD Garden,Boston Celtics,Philadelphia 76ers,105,87,Boston Celtics
2,1,16-10-2018 21:30,ORACLE Arena,Golden State Warriors,Oklahoma City Thunder,108,100,Golden State Warriors
3,1,17-10-2018 18:00,Spectrum Center,Charlotte Hornets,Milwaukee Bucks,112,113,Milwaukee Bucks
4,1,17-10-2018 18:00,Little Caesars Arena,Detroit Pistons,Brooklyn Nets,103,100,Detroit Pistons
5,1,17-10-2018 18:00,Bankers Life Fieldhouse,Indiana Pacers,Memphis Grizzlies,111,83,Indiana Pacers
6,1,17-10-2018 18:00,Amway Center,Orlando Magic,Miami Heat,104,101,Orlando Magic
7,1,17-10-2018 18:30,Madison Square Garden,New York Knicks,Atlanta Hawks,126,107,New York Knicks
8,1,17-10-2018 18:30,Scotiabank Arena,Toronto Raptors,Cleveland Cavaliers,116,104,Toronto Raptors
9,1,17-10-2018 19:00,Toyota Center,Houston Rockets,New Orleans Pelicans,112,131,New Orleans Pelicans
10,1,17-10-2018 19:30,AT+ACY-T Center,San Antonio Spurs,Minnesota Timberwolves,112,108,San Antonio Spurs
11,1,17-10-2018 21:00,Golden 1 Center,Sacramento Kings,Utah Jazz,117,123,Utah Jazz
12,1,17-10-2018 21:30,Staples Center,LA Clippers,Denver Nuggets,98,107,Denver Nuggets
13,1,17-10-2018 21:30,Talking Stick Resort Arena,Phoenix Suns,Dallas Mavericks,121,100,Phoenix Suns
14,1,18-10-2018 19:00,Wells Fargo Center,Philadelphia 76ers,Chicago Bulls,127,108,Philadelphia 76ers
15,1,18-10-2018 19:00,Capital One Arena,Washington Wizards,Miami Heat,112,113,Miami Heat
16,1,18-10-2018 21:30,Moda Center,Portland Trail Blazers,Los Angeles Lakers,128,119,Portland Trail Blazers
17,1,19-10-2018 18:00,Amway Center,Orlando Magic,Charlotte Hornets,88,120,Charlotte Hornets
18,1,19-10-2018 18:30,Barclays Center,Brooklyn Nets,New York Knicks,107,105,Brooklyn Nets
19,1,19-10-2018 19:00,Scotiabank Arena,Toronto Raptors,Boston Celtics,113,101,Toronto Raptors
20,1,19-10-2018 19:00,FedExForum,Memphis Grizzlies,Atlanta Hawks,131,117,Memphis Grizzlies
21,1,19-10-2018 19:00,Target Center,Minnesota Timberwolves,Cleveland Cavaliers,131,123,Minnesota Timberwolves
22,1,19-10-2018 19:00,Smoothie King Center,New Orleans Pelicans,Sacramento Kings,149,129,New Orleans Pelicans
23,1,19-10-2018 19:30,Fiserv Forum,Milwaukee Bucks,Indiana Pacers,118,101,Milwaukee Bucks
24,1,19-10-2018 21:30,Vivint Smart Home Arena,Utah Jazz,Golden State Warriors,123,124,Golden State Warriors
25,1,19-10-2018 21:30,Staples Center,LA Clippers,Oklahoma City Thunder,108,92,LA Clippers
26,1,20-10-2018 18:00,Bankers Life Fieldhouse,Indiana Pacers,Brooklyn Nets,132,112,Indiana Pacers
27,1,20-10-2018 18:00,Capital One Arena,Washington Wizards,Toronto Raptors,113,117,Toronto Raptors
28,1,20-10-2018 18:30,Madison Square Garden,New York Knicks,Boston Celtics,101,103,Boston Celtics
29,1,20-10-2018 18:30,Wells Fargo Center,Philadelphia 76ers,Orlando Magic,116,115,Philadelphia 76ers
30,1,20-10-2018 19:00,AmericanAirlines Arena,Miami Heat,Charlotte Hornets,112,113,Charlotte Hornets
31,1,20-10-2018 19:00,United Center,Chicago Bulls,Detroit Pistons,116,118,Detroit Pistons
32,1,20-10-2018 19:30,American Airlines Center,Dallas Mavericks,Minnesota Timberwolves,140,136,Dallas Mavericks
33,1,20-10-2018 20:00,Pepsi Center,Denver Nuggets,Phoenix Suns,119,91,Denver Nuggets
34,1,20-10-2018 21:00,Moda Center,Portland Trail Blazers,San Antonio Spurs,121,108,Portland Trail Blazers
35,1,20-10-2018 21:30,Staples Center,Los Angeles Lakers,Houston Rockets,115,124,Houston Rockets
36,1,21-10-2018 17:00,Quicken Loans Arena,Cleveland Cavaliers,Atlanta Hawks,111,133,Atlanta Hawks
37,1,21-10-2018 18:00,Chesapeake Energy Arena,Oklahoma City Thunder,Sacramento Kings,120,131,Sacramento Kings
38,1,21-10-2018 19:00,Pepsi Center,Denver Nuggets,Golden State Warriors,100,98,Denver Nuggets
39,1,21-10-2018 20:00,Staples Center,LA Clippers,Houston Rockets,115,112,LA Clippers
40,1,22-10-2018 18:30,TD Garden,Boston Celtics,Orlando Magic,90,93,Orlando Magic
41,1,22-10-2018 18:30,Scotiabank Arena,Toronto Raptors,Charlotte Hornets,127,106,Toronto Raptors
42,1,22-10-2018 19:00,Fiserv Forum,Milwaukee Bucks,New York Knicks,124,113,Milwaukee Bucks
43,1,22-10-2018 19:00,Target Center,Minnesota Timberwolves,Indiana Pacers,101,91,Minnesota Timberwolves
44,1,22-10-2018 19:30,American Airlines Center,Dallas Mavericks,Chicago Bulls,115,109,Dallas Mavericks
45,1,22-10-2018 20:00,Vivint Smart Home Arena,Utah Jazz,Memphis Grizzlies,84,92,Memphis Grizzlies
46,1,22-10-2018 21:00,Moda Center,Portland Trail Blazers,Washington Wizards,124,125,Washington Wizards
47,1,22-10-2018 21:30,ORACLE Arena,Golden State Warriors,Phoenix Suns,123,103,Golden State Warriors
48,1,22-10-2018 21:30,Staples Center,Los Angeles Lakers,San Antonio Spurs,142,143,San Antonio Spurs
49,1,23-10-2018 18:00,Little Caesars Arena,Detroit Pistons,Philadelphia 76ers,133,132,Detroit Pistons
50,1,23-10-2018 19:00,Smoothie King Center,New Orleans Pelicans,LA Clippers,116,109,New Orleans Pelicans
51,1,23-10-2018 20:00,Pepsi Center,Denver Nuggets,Sacramento Kings,126,112,Denver Nuggets
52,1,24-10-2018 18:00,State Farm Arena,Atlanta Hawks,Dallas Mavericks,111,104,Atlanta Hawks
53,1,24-10-2018 18:00,Quicken Loans Arena,Cleveland Cavaliers,Brooklyn Nets,86,102,Brooklyn Nets
54,1,24-10-2018 18:30,AmericanAirlines Arena,Miami Heat,New York Knicks,110,87,Miami Heat
55,1,24-10-2018 18:30,Scotiabank Arena,Toronto Raptors,Minnesota Timberwolves,112,105,Toronto Raptors
56,1,24-10-2018 19:00,United Center,Chicago Bulls,Charlotte Hornets,112,110,Chicago Bulls
