Match Number,Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score,Result
1007,20,19-03-2025 21:00,PHX Arena,Phoenix Suns,Chicago Bulls,127,121,Phoenix Suns
1008,20,19-03-2025 21:00,Moda Center,Portland Trail Blazers,Memphis Grizzlies,115,99,Portland Trail Blazers
1009,20,19-03-2025 21:00,Golden 1 Center,Sacramento Kings,Cleveland Cavaliers,123,119,Sacramento Kings
1010,20,20-03-2025 18:00,Spectrum Center,Charlotte Hornets,New York Knicks,115,98,Charlotte Hornets
1011,20,20-03-2025 18:00,Gainbridge Fieldhouse,Indiana Pacers,Brooklyn Nets,105,99,Indiana Pacers
1005,20,20-03-2025 21:00,Chase Center,Golden State Warriors,Toronto Raptors,117,114,Golden State Warriors
1013,20,20-03-2025 21:00,Golden 1 Center,Sacramento Kings,Chicago Bulls,116,128,Chicago Bulls
996,20,20-03-2025 21:30,Crypto.com Arena,Los Angeles Lakers,Milwaukee Bucks,89,118,Milwaukee Bucks
1014,20,21-03-2025 18:00,Capital One Arena,Washington Wizards,Orlando Magic,105,120,Orlando Magic
1015,20,21-03-2025 19:00,Kaseya Center,Miami Heat,Houston Rockets,98,102,Houston Rockets
1016,20,21-03-2025 19:00,Target Center,Minnesota Timberwolves,New Orleans Pelicans,134,93,Minnesota Timberwolves
1017,20,21-03-2025 19:00,Paycom Center,Oklahoma City Thunder,Charlotte Hornets,141,106,Oklahoma City Thunder
1018,20,21-03-2025 19:00,Frost Bank Center,San Antonio Spurs,Philadelphia 76ers,128,120,San Antonio Spurs
1019,20,21-03-2025 19:30,American Airlines Center,Dallas Mavericks,Detroit Pistons,123,117,Dallas Mavericks
1020,20,21-03-2025 20:30,Delta Center,Utah Jazz,Boston Celtics,99,121,Boston Celtics
1021,20,21-03-2025 21:00,PHX Arena,Phoenix Suns,Cleveland Cavaliers,123,112,Phoenix Suns
1022,20,21-03-2025 21:00,Moda Center,Portland Trail Blazers,Denver Nuggets,128,109,Portland Trail Blazers
1023,20,21-03-2025 21:30,Intuit Dome,LA Clippers,Memphis Grizzlies,128,108,LA Clippers
1024,20,22-03-2025 16:00,Gainbridge Fieldhouse,Indiana Pacers,Brooklyn Nets,108,103,Indiana Pacers
1025,20,22-03-2025 18:00,State Farm Arena,Atlanta Hawks,Golden State Warriors,124,115,Atlanta Hawks
1026,20,22-03-2025 19:00,Madison Square Garden,New York Knicks,Washington Wizards,122,103,New York Knicks
1027,20,22-03-2025 21:00,Golden 1 Center,Sacramento Kings,Milwaukee Bucks,108,114,Milwaukee Bucks
1028,20,22-03-2025 21:30,Crypto.com Arena,Los Angeles Lakers,Chicago Bulls,115,146,Chicago Bulls
1029,20,23-03-2025 14:00,Little Caesars Arena,Detroit Pistons,New Orleans Pelicans,136,130,Detroit Pistons
1030,20,23-03-2025 14:30,Delta Center,Utah Jazz,Cleveland Cavaliers,91,120,Cleveland Cavaliers
1031,20,23-03-2025 17:00,State Farm Arena,Atlanta Hawks,Philadelphia 76ers,132,119,Atlanta Hawks
1032,20,23-03-2025 17:00,Kaseya Center,Miami Heat,Charlotte Hornets,122,105,Miami Heat
1033,20,23-03-2025 17:00,Scotiabank Arena,Toronto Raptors,San Antonio Spurs,89,123,San Antonio Spurs
1034,20,23-03-2025 17:00,Moda Center,Portland Trail Blazers,Boston Celtics,116,129,Boston Celtics
1035,20,23-03-2025 18:00,Toyota Center,Houston Rockets,Denver Nuggets,111,116,Denver Nuggets
1036,20,23-03-2025 20:00,Intuit Dome,LA Clippers,Oklahoma City Thunder,101,103,Oklahoma City Thunder
1037,20,24-03-2025 18:00,Gainbridge Fieldhouse,Indiana Pacers,Minnesota Timberwolves,119,103,Indiana Pacers
1038,20,24-03-2025 18:00,Kia Center,Orlando Magic,Los Angeles Lakers,118,106,Orlando Magic
1039,20,24-03-2025 18:00,Capital One Arena,Washington Wizards,Toronto Raptors,104,112,Toronto Raptors
1040,20,24-03-2025 18:30,Barclays Center,Brooklyn Nets,Dallas Mavericks,101,120,Dallas Mavericks
1041,20,24-03-2025 19:00,Smoothie King Center,New Orleans Pelicans,Philadelphia 76ers,112,99,New Orleans Pelicans
1042,20,24-03-2025 20:00,Ball Arena,Denver Nuggets,Chicago Bulls,119,129,Chicago Bulls
1043,20,24-03-2025 21:00,PHX Arena,Phoenix Suns,Milwaukee Bucks,108,106,Phoenix Suns
1044,20,24-03-2025 21:00,Golden 1 Center,Sacramento Kings,Boston Celtics,95,113,Boston Celtics
1045,20,25-03-2025 18:00,Spectrum Center,Charlotte Hornets,Orlando Magic,104,111,Orlando Magic
1046,20,25-03-2025 18:00,Little Caesars Arena,Detroit Pistons,San Antonio Spurs,122,96,Detroit Pistons
1047,20,25-03-2025 18:30,Kaseya Center,Miami Heat,Golden State Warriors,112,86,Miami Heat
1048,20,25-03-2025 18:30,Madison Square Garden,New York Knicks,Dallas Mavericks,128,113,New York Knicks
1049,20,25-03-2025 19:00,Toyota Center,Houston Rockets,Atlanta Hawks,121,114,Houston Rockets
1050,20,25-03-2025 20:00,Delta Center,Utah Jazz,Memphis Grizzlies,103,140,Memphis Grizzlies
1051,20,25-03-2025 21:00,Moda Center,Portland Trail Blazers,Cleveland Cavaliers,111,122,Cleveland Cavaliers
1052,20,25-03-2025 21:00,Golden 1 Center,Sacramento Kings,Oklahoma City Thunder,105,121,Oklahoma City Thunder
1053,21,26-03-2025 18:00,Wells Fargo Center,Philadelphia 76ers,Washington Wizards,114,119,Washington Wizards
1054,21,26-03-2025 18:30,Barclays Center,Brooklyn Nets,Toronto Raptors,86,116,Toronto Raptors
1055,21,26-03-2025 18:30,Gainbridge Fieldhouse,Indiana Pacers,Los Angeles Lakers,119,120,Los Angeles Lakers
1056,21,26-03-2025 18:30,Madison Square Garden,New York Knicks,LA Clippers,113,126,LA Clippers
1057,21,26-03-2025 20:00,Ball Arena,Denver Nuggets,Milwaukee Bucks,127,117,Denver Nuggets
