Match Number,Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score,Result
1,1,22-12-2020 18:00,Barclays Center,Brooklyn Nets,Golden State Warriors,125,99,Brooklyn Nets
2,1,22-12-2020 21:00,STAPLES Center,Los Angeles Lakers,LA Clippers,109,116,LA Clippers
3,1,23-12-2020 18:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Charlotte Hornets,121,114,Cleveland Cavaliers
4,1,23-12-2020 18:00,Bankers Life Fieldhouse,Indiana Pacers,New York Knicks,121,107,Indiana Pacers
5,1,23-12-2020 18:00,Amway Center,Orlando Magic,Miami Heat,113,107,Orlando Magic
6,1,23-12-2020 18:00,Wells Fargo Center,Philadelphia 76ers,Washington Wizards,113,107,Philadelphia 76ers
7,1,23-12-2020 18:30,TD Garden,Boston Celtics,Milwaukee Bucks,122,121,Boston Celtics
8,1,23-12-2020 18:30,Amalie Arena,Toronto Raptors,New Orleans Pelicans,99,113,New Orleans Pelicans
9,1,23-12-2020 19:00,United Center,Chicago Bulls,Atlanta Hawks,104,124,Atlanta Hawks
11,1,23-12-2020 19:00,FedExForum,Memphis Grizzlies,San Antonio Spurs,119,131,San Antonio Spurs
12,1,23-12-2020 19:00,Target Center,Minnesota Timberwolves,Detroit Pistons,111,101,Minnesota Timberwolves
13,1,23-12-2020 20:00,Ball Arena,Denver Nuggets,Sacramento Kings,122,124,Sacramento Kings
14,1,23-12-2020 21:00,Moda Center,Portland Trail Blazers,Utah Jazz,100,120,Utah Jazz
15,1,23-12-2020 21:30,Phoenix Suns Arena,Phoenix Suns,Dallas Mavericks,106,102,Phoenix Suns
16,1,25-12-2020 11:00,AmericanAirlines Arena,Miami Heat,New Orleans Pelicans,111,98,Miami Heat
17,1,25-12-2020 13:30,Fiserv Forum,Milwaukee Bucks,Golden State Warriors,138,99,Milwaukee Bucks
18,1,25-12-2020 16:00,TD Garden,Boston Celtics,Brooklyn Nets,95,123,Brooklyn Nets
19,1,25-12-2020 19:00,STAPLES Center,Los Angeles Lakers,Dallas Mavericks,138,115,Los Angeles Lakers
20,1,25-12-2020 21:30,Ball Arena,Denver Nuggets,LA Clippers,108,121,LA Clippers
21,1,26-12-2020 16:00,FedExForum,Memphis Grizzlies,Atlanta Hawks,112,122,Atlanta Hawks
22,1,26-12-2020 18:00,Spectrum Center,Charlotte Hornets,Oklahoma City Thunder,107,109,Oklahoma City Thunder
23,1,26-12-2020 18:00,Little Caesars Arena,Detroit Pistons,Cleveland Cavaliers,119,128,Cleveland Cavaliers
24,1,26-12-2020 18:00,Capital One Arena,Washington Wizards,Orlando Magic,120,130,Orlando Magic
25,1,26-12-2020 18:30,Madison Square Garden,New York Knicks,Philadelphia 76ers,89,109,Philadelphia 76ers
26,1,26-12-2020 19:00,United Center,Chicago Bulls,Indiana Pacers,106,125,Indiana Pacers
27,1,26-12-2020 19:30,AT&T Center,San Antonio Spurs,Toronto Raptors,119,114,San Antonio Spurs
28,1,26-12-2020 20:00,Vivint Arena,Utah Jazz,Minnesota Timberwolves,111,116,Minnesota Timberwolves
29,1,26-12-2020 21:00,Moda Center,Portland Trail Blazers,Houston Rockets,128,126,Portland Trail Blazers
30,1,26-12-2020 21:00,Golden 1 Center,Sacramento Kings,Phoenix Suns,106,103,Sacramento Kings
31,1,27-12-2020 14:30,STAPLES Center,LA Clippers,Dallas Mavericks,73,124,Dallas Mavericks
32,1,27-12-2020 18:00,Spectrum Center,Charlotte Hornets,Brooklyn Nets,106,104,Charlotte Hornets
33,1,27-12-2020 18:00,Capital One Arena,Washington Wizards,Orlando Magic,113,120,Orlando Magic
34,1,27-12-2020 18:00,Smoothie King Center,New Orleans Pelicans,San Antonio Spurs,98,95,New Orleans Pelicans
35,1,27-12-2020 18:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Philadelphia 76ers,118,94,Cleveland Cavaliers
36,1,27-12-2020 18:30,Madison Square Garden,New York Knicks,Milwaukee Bucks,130,110,New York Knicks
37,1,27-12-2020 19:00,Bankers Life Fieldhouse,Indiana Pacers,Boston Celtics,108,107,Indiana Pacers
38,1,27-12-2020 19:00,United Center,Chicago Bulls,Golden State Warriors,128,129,Golden State Warriors
39,1,27-12-2020 20:00,Golden 1 Center,Sacramento Kings,Phoenix Suns,100,116,Phoenix Suns
40,1,27-12-2020 21:00,STAPLES Center,Los Angeles Lakers,Minnesota Timberwolves,127,91,Los Angeles Lakers
41,1,28-12-2020 18:30,State Farm Arena,Atlanta Hawks,Detroit Pistons,128,120,Atlanta Hawks
42,1,28-12-2020 18:30,Barclays Center,Brooklyn Nets,Memphis Grizzlies,111,116,Memphis Grizzlies
43,1,28-12-2020 19:00,Chesapeake Energy Arena,Oklahoma City Thunder,Utah Jazz,109,110,Utah Jazz
44,1,28-12-2020 20:00,Ball Arena,Denver Nuggets,Houston Rockets,124,111,Denver Nuggets
45,1,28-12-2020 21:00,STAPLES Center,Los Angeles Lakers,Portland Trail Blazers,107,115,Portland Trail Blazers
46,2,29-12-2020 18:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,New York Knicks,86,95,New York Knicks
47,2,29-12-2020 18:00,Little Caesars Arena,Detroit Pistons,Golden State Warriors,106,116,Golden State Warriors
48,2,29-12-2020 18:00,Bankers Life Fieldhouse,Indiana Pacers,Boston Celtics,111,116,Boston Celtics
49,2,29-12-2020 18:00,Wells Fargo Center,Philadelphia 76ers,Toronto Raptors,100,93,Philadelphia 76ers
50,2,29-12-2020 18:00,Capital One Arena,Washington Wizards,Chicago Bulls,107,115,Chicago Bulls
51,2,29-12-2020 18:30,AmericanAirlines Arena,Miami Heat,Milwaukee Bucks,97,114,Milwaukee Bucks
52,2,29-12-2020 19:00,Chesapeake Energy Arena,Oklahoma City Thunder,Orlando Magic,107,118,Orlando Magic
53,2,29-12-2020 21:00,Phoenix Suns Arena,Phoenix Suns,New Orleans Pelicans,111,86,Phoenix Suns
54,2,29-12-2020 21:00,STAPLES Center,LA Clippers,Minnesota Timberwolves,124,101,LA Clippers
55,2,29-12-2020 21:00,Golden 1 Center,Sacramento Kings,Denver Nuggets,125,115,Sacramento Kings
56,2,30-12-2020 18:30,TD Garden,Boston Celtics,Memphis Grizzlies,126,107,Boston Celtics
57,2,30-12-2020 18:30,Barclays Center,Brooklyn Nets,Atlanta Hawks,145,141,Brooklyn Nets
58,2,30-12-2020 18:30,AmericanAirlines Arena,Miami Heat,Milwaukee Bucks,119,108,Miami Heat
59,2,30-12-2020 19:30,American Airlines Center,Dallas Mavericks,Charlotte Hornets,99,118,Charlotte Hornets
60,2,30-12-2020 19:30,AT&T Center,San Antonio Spurs,Los Angeles Lakers,107,121,Los Angeles Lakers
61,2,30-12-2020 21:00,STAPLES Center,LA Clippers,Portland Trail Blazers,128,105,LA Clippers
62,2,31-12-2020 14:00,Bankers Life Fieldhouse,Indiana Pacers,Cleveland Cavaliers,119,99,Indiana Pacers
63,2,31-12-2020 16:00,Capital One Arena,Washington Wizards,Chicago Bulls,130,133,Chicago Bulls
64,2,31-12-2020 17:30,Amway Center,Orlando Magic,Philadelphia 76ers,92,116,Philadelphia 76ers
65,2,31-12-2020 18:00,Toyota Center,Houston Rockets,Sacramento Kings,122,119,Houston Rockets
66,2,31-12-2020 18:30,Amalie Arena,Toronto Raptors,New York Knicks,100,83,Toronto Raptors
67,2,31-12-2020 19:00,Chesapeake Energy Arena,Oklahoma City Thunder,New Orleans Pelicans,80,113,New Orleans Pelicans
68,2,31-12-2020 20:00,Vivint Arena,Utah Jazz,Phoenix Suns,95,106,Phoenix Suns
69,2,01-01-2021 18:00,Spectrum Center,Charlotte Hornets,Memphis Grizzlies,93,108,Memphis Grizzlies
70,2,01-01-2021 18:00,Little Caesars Arena,Detroit Pistons,Boston Celtics,96,93,Detroit Pistons
71,2,01-01-2021 18:00,American Airlines Center,Dallas Mavericks,Miami Heat,93,83,Dallas Mavericks
72,2,01-01-2021 18:30,Barclays Center,Brooklyn Nets,Atlanta Hawks,96,114,Atlanta Hawks
73,2,01-01-2021 19:00,Fiserv Forum,Milwaukee Bucks,Chicago Bulls,126,96,Milwaukee Bucks
74,2,01-01-2021 19:00,Target Center,Minnesota Timberwolves,Washington Wizards,109,130,Washington Wizards
75,2,01-01-2021 19:00,AT&T Center,San Antonio Spurs,Los Angeles Lakers,103,109,Los Angeles Lakers
76,2,01-01-2021 20:00,Ball Arena,Denver Nuggets,Phoenix Suns,103,106,Phoenix Suns
77,2,01-01-2021 20:00,Vivint Arena,Utah Jazz,LA Clippers,106,100,Utah Jazz
78,2,01-01-2021 21:30,Chase Center,Golden State Warriors,Portland Trail Blazers,98,123,Portland Trail Blazers
79,2,02-01-2021 16:00,Toyota Center,Houston Rockets,Sacramento Kings,102,94,Houston Rockets
80,2,02-01-2021 18:00,Bankers Life Fieldhouse,Indiana Pacers,New York Knicks,102,106,New York Knicks
81,2,02-01-2021 18:00,Amway Center,Orlando Magic,Oklahoma City Thunder,99,108,Oklahoma City Thunder
82,2,02-01-2021 18:00,Wells Fargo Center,Philadelphia 76ers,Charlotte Hornets,127,112,Philadelphia 76ers
83,2,02-01-2021 18:30,State Farm Arena,Atlanta Hawks,Cleveland Cavaliers,91,96,Cleveland Cavaliers
84,2,02-01-2021 18:30,Smoothie King Center,New Orleans Pelicans,Toronto Raptors,120,116,New Orleans Pelicans
85,2,03-01-2021 14:00,Little Caesars Arena,Detroit Pistons,Boston Celtics,120,122,Boston Celtics
86,2,03-01-2021 17:00,Barclays Center,Brooklyn Nets,Washington Wizards,122,123,Washington Wizards
87,2,03-01-2021 17:00,FedExForum,Memphis Grizzlies,Los Angeles Lakers,94,108,Los Angeles Lakers
88,2,03-01-2021 18:00,Target Center,Minnesota Timberwolves,Denver Nuggets,109,124,Denver Nuggets
