Year,Match Number,Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score,Winner
2022,66,14,11-02-2023 15:00,Perry Park,Brisbane Roar,Melbourne Victory,1,1,Draw
2022,67,14,11-02-2023 17:00,McKellar Park,Canberra United,Sydney,2,1,Canberra United
2022,68,14,12-02-2023 15:00,Wanderers Football Park,Western Sydney Wanderers,Wellington Phoenix,1,0,Western Sydney Wanderers
2022,69,14,12-02-2023 19:00,Macedonia Park,Perth Glory,Newcastle Jets,4,0,Perth Glory
2022,71,15,25-02-2023 15:00,McKellar Park,Canberra United,Western Sydney Wanderers,3,0,Canberra United
2022,72,15,25-02-2023 19:00,Macedonia Park,Perth Glory,Brisbane Roar,2,0,Perth Glory
2022,70,15,26-02-2023 11:00,North Harbour Stadium,Wellington Phoenix,Sydney,0,1,Sydney
2022,73,15,26-02-2023 16:00,No.2 Sportsground,Newcastle Jets,Western United,0,6,Western United
2022,74,15,26-02-2023 17:55,AAMI Park,Melbourne Victory,Adelaide United,2,2,Draw
2022,75,16,04-03-2023 15:00,McKellar Park,Canberra United,Adelaide United,4,2,Canberra United
2022,76,16,04-03-2023 15:00,No.2 Sportsground,Newcastle Jets,Melbourne City,0,4,Melbourne City
2022,77,16,04-03-2023 15:40,Sky Stadium,Wellington Phoenix,Brisbane Roar,1,1,Draw
2022,78,16,05-03-2023 16:00,Netstrata Jubilee Stadium,Sydney,Western United,3,0,Sydney
2022,79,16,05-03-2023 19:00,Macedonia Park,Perth Glory,Western Sydney Wanderers,1,1,Draw
2022,80,17,11-03-2023 15:00,Netstrata Jubilee Stadium,Sydney,Wellington Phoenix,0,1,Wellington Phoenix
2022,81,17,11-03-2023 15:00,ServiceFM Stadium,Adelaide United,Perth Glory,2,1,Adelaide United
2022,82,17,11-03-2023 15:00,Perry Park,Brisbane Roar,Western United,2,0,Brisbane Roar
2022,83,17,12-03-2023 16:00,Wanderers Football Park,Western Sydney Wanderers,Canberra United,1,1,Draw
2022,84,17,13-03-2023 15:20,AAMI Park,Melbourne Victory,Melbourne City,2,0,Melbourne Victory
2022,85,18,17-03-2023 17:05,Coopers Stadium,Adelaide United,Newcastle Jets,2,2,Draw
2022,88,18,18-03-2023 13:00,Kingston Heath Soccer Complex Field 2,Melbourne City,Sydney,1,1,Draw
2022,86,18,18-03-2023 15:00,McKellar Park,Canberra United,Melbourne Victory,1,1,Draw
2022,87,18,18-03-2023 15:00,Sky Stadium,Wellington Phoenix,Perth Glory,0,1,Perth Glory
2022,89,18,19-03-2023 19:00,Wanderers Football Park,Western Sydney Wanderers,Brisbane Roar,3,1,Western Sydney Wanderers
2022,90,19,25-03-2023 15:00,Netstrata Jubilee Stadium,Sydney,Adelaide United,3,0,Sydney
2022,91,19,25-03-2023 15:00,City Vista Recreation Reserve Pitch 1,Western United,Canberra United,0,3,Canberra United
2022,92,19,25-03-2023 15:00,No.2 Sportsground,Newcastle Jets,Wellington Phoenix,3,2,Newcastle Jets
2022,93,19,26-03-2023 16:00,CB Smith Reserve,Melbourne Victory,Brisbane Roar,1,1,Draw
2022,94,19,26-03-2023 18:00,Macedonia Park,Perth Glory,Melbourne City,4,3,Perth Glory
2022,30,19,28-03-2023 19:00,ServiceFM Stadium,Adelaide United,Wellington Phoenix,1,3,Wellington Phoenix
2022,51,19,29-03-2023 19:00,Netstrata Jubilee Stadium,Sydney,Perth Glory,4,2,Sydney
2022,95,20,01-04-2023 10:15,Sky Stadium,Wellington Phoenix,Melbourne Victory,2,2,Draw
2022,96,20,01-04-2023 15:00,Perry Park,Brisbane Roar,Perth Glory,0,1,Perth Glory
2022,97,20,01-04-2023 15:00,City Vista Recreation Reserve Pitch 1,Western United,Western Sydney Wanderers,2,1,Western United
2022,98,20,01-04-2023 17:00,Allianz Stadium,Sydney,Newcastle Jets,4,2,Sydney
2022,99,20,02-04-2023 17:40,AAMI Park,Melbourne City,Canberra United,3,3,Draw
2022,100,Semi Finals,15-04-2023 15:00,Casey Fields,Melbourne City,Melbourne Victory,3,3,Draw
2022,101,Semi Finals,16-04-2023 17:45,Allianz Stadium,Sydney,Western United,0,1,Western United
2022,102,Preliminary Final,22-04-2023 15:00,Allianz Stadium,Sydney,Melbourne Victory,1,0,Sydney
2022,103,Grand Final,30-04-2023 16:00,CommBank Stadium,Western United,Sydney,0,4,Sydney
2023,1,1,14-10-2023 17:00,Industree Group Stadium,Central Coast Mariners,Newcastle Jets,0,1,Newcastle Jets
2023,2,1,14-10-2023 19:45,Allianz Stadium,Sydney,Western Sydney Wanderers,2,0,Sydney
2023,3,1,14-10-2023 22:00,Macedonia Park,Perth Glory,Western United,2,0,Perth Glory
2023,4,1,15-10-2023 13:00,Sky Stadium,Wellington Phoenix,Melbourne City,0,1,Melbourne City
2023,5,1,15-10-2023 15:00,Coopers Stadium,Adelaide United,Canberra United,4,4,Draw
2023,6,1,15-10-2023 16:00,Home of the Matildas,Melbourne Victory,Brisbane Roar,1,2,Brisbane Roar
2023,7,2,20-10-2023 17:00,Coopers Stadium,Adelaide United,Central Coast Mariners,1,2,Central Coast Mariners
2023,8,2,21-10-2023 14:45,AAMI Park,Melbourne City,Canberra United,2,1,Melbourne City
2023,9,2,21-10-2023 16:00,Ballymore Stadium,Brisbane Roar,Sydney,1,0,Brisbane Roar
2023,10,2,22-10-2023 16:00,City Vista Recreation Reserve Pitch 1,Western United,Melbourne Victory,2,1,Western United
2023,11,2,22-10-2023 17:00,HBF Park,Perth Glory,Newcastle Jets,1,0,Perth Glory
2023,12,2,22-10-2023 17:45,CommBank Stadium,Western Sydney Wanderers,Wellington Phoenix,0,3,Wellington Phoenix
2023,14,3,04-11-2023 12:45,Sky Stadium,Wellington Phoenix,Brisbane Roar,2,1,Wellington Phoenix
2023,16,3,04-11-2023 16:00,McKellar Park,Canberra United,Perth Glory,2,3,Perth Glory
2023,17,3,04-11-2023 17:00,AAMI Park,Melbourne Victory,Adelaide United,2,0,Melbourne Victory
2023,18,3,05-11-2023 16:00,City Vista Recreation Reserve Pitch 1,Western United,Melbourne City,2,2,Draw
2023,15,3,05-11-2023 17:45,McDonald Jones Stadium,Newcastle Jets,Western Sydney Wanderers,1,1,Draw
2023,13,3,17-01-2024 19:00,Leichhardt Oval,Sydney,Central Coast Mariners,1,2,Central Coast Mariners
2023,21,4,11-11-2023 22:00,Macedonia Park,Perth Glory,Adelaide United,2,1,Perth Glory
2023,22,4,12-11-2023 14:00,Porirua Park,Wellington Phoenix,Western United,3,1,Wellington Phoenix
2023,23,4,12-11-2023 14:15,Industree Group Stadium,Central Coast Mariners,Brisbane Roar,1,1,Draw
2023,20,4,12-11-2023 15:00,Home of the Matildas,Melbourne Victory,Newcastle Jets,4,0,Melbourne Victory
2023,19,4,12-11-2023 17:45,AAMI Park,Melbourne City,Western Sydney Wanderers,4,3,Melbourne City
2023,24,4,03-01-2024 19:00,Leichhardt Oval,Sydney,Canberra United,1,1,Draw
2023,26,5,18-11-2023 18:00,Industree Group Stadium,Central Coast Mariners,Wellington Phoenix,1,0,Central Coast Mariners
2023,27,5,18-11-2023 22:00,Macedonia Park,Perth Glory,Melbourne Victory,2,2,Draw
2023,28,5,19-11-2023 14:00,Marden Sports Complex,Adelaide United,Sydney,1,3,Sydney
2023,29,5,19-11-2023 16:00,Ballymore Stadium,Brisbane Roar,Western United,0,1,Western United
2023,30,5,19-11-2023 16:00,No.2 Sportsground,Newcastle Jets,Melbourne City,2,3,Melbourne City
2023,25,5,13-03-2024 19:00,Wanderers Football Park,Western Sydney Wanderers,Canberra United,4,1,Western Sydney Wanderers
2023,32,6,25-11-2023 16:00,City Vista Recreation Reserve Pitch 1,Western United,Western Sydney Wanderers,0,2,Western Sydney Wanderers
2023,31,6,25-11-2023 17:15,Go Media Stadium,Wellington Phoenix,Perth Glory,2,1,Wellington Phoenix
2023,34,6,26-11-2023 14:00,Home of the Matildas,Melbourne Victory,Central Coast Mariners,2,1,Melbourne Victory
2023,35,6,26-11-2023 16:00,McKellar Park,Canberra United,Newcastle Jets,3,4,Newcastle Jets
2023,36,6,26-11-2023 16:00,Sydney Olympic Park Athletic Centre,Sydney,Melbourne City,2,3,Melbourne City
2023,33,6,26-11-2023 17:45,Suncorp Stadium,Brisbane Roar,Adelaide United,1,1,Draw
2023,37,7,08-12-2023 19:00,Wanderers Football Park,Western Sydney Wanderers,Central Coast Mariners,3,0,Western Sydney Wanderers
2023,38,7,09-12-2023 16:00,Genis Steel Stadium,Melbourne City,Perth Glory,1,3,Perth Glory
2023,39,7,09-12-2023 16:00,Marden Sports Complex,Adelaide United,Western United,1,3,Western United
2023,40,7,10-12-2023 14:00,Porirua Park,Wellington Phoenix,Melbourne Victory,2,2,Draw
2023,41,7,10-12-2023 16:00,McKellar Park,Canberra United,Brisbane Roar,5,1,Canberra United
2023,42,7,10-12-2023 16:00,No.2 Sportsground,Newcastle Jets,Sydney,0,1,Sydney
2023,43,8,15-12-2023 19:30,Industree Group Stadium,Central Coast Mariners,Melbourne City,1,1,Draw
2023,44,8,16-12-2023 17:00,AAMI Park,Melbourne Victory,Canberra United,2,0,Melbourne Victory
2023,45,8,16-12-2023 17:30,Marden Sports Complex,Adelaide United,Wellington Phoenix,2,1,Adelaide United
2023,46,8,17-12-2023 17:00,No.2 Sportsground,Newcastle Jets,Western United,4,2,Newcastle Jets
2023,47,8,17-12-2023 18:00,Perry Park,Brisbane Roar,Western Sydney Wanderers,1,1,Draw
2023,48,8,17-12-2023 22:00,Macedonia Park,Perth Glory,Sydney,0,0,Draw
2023,50,9,22-12-2023 17:00,City Vista Recreation Reserve Pitch 1,Western United,Perth Glory,1,0,Western United
2023,49,9,22-12-2023 19:00,Leichhardt Oval,Sydney,Brisbane Roar,1,1,Draw
2023,51,9,23-12-2023 12:45,Sky Stadium,Wellington Phoenix,Newcastle Jets,2,0,Wellington Phoenix
2023,52,9,23-12-2023 17:00,McKellar Park,Canberra United,Central Coast Mariners,0,3,Central Coast Mariners
2023,53,9,23-12-2023 17:00,AAMI Park,Melbourne City,Melbourne Victory,1,0,Melbourne City
2023,54,9,23-12-2023 18:00,Wanderers Football Park,Western Sydney Wanderers,Adelaide United,0,1,Adelaide United
2023,55,10,28-12-2023 17:00,AAMI Park,Melbourne City,Brisbane Roar,5,3,Melbourne City
2023,56,10,29-12-2023 17:00,Allianz Stadium,Sydney,Wellington Phoenix,1,0,Sydney
2023,57,10,30-12-2023 17:00,McKellar Park,Canberra United,Western United,1,1,Draw
2023,58,10,30-12-2023 18:00,Wanderers Football Park,Western Sydney Wanderers,Melbourne Victory,2,0,Western Sydney Wanderers
2023,59,10,31-12-2023 16:15,Industree Group Stadium,Central Coast Mariners,Perth Glory,1,2,Perth Glory
2023,60,10,31-12-2023 17:00,No.2 Sportsground,Newcastle Jets,Adelaide United,3,1,Newcastle Jets
2023,62,11,06-01-2024 17:00,No.2 Sportsground,Newcastle Jets,Canberra United,3,3,Draw
2023,61,11,06-01-2024 17:30,Marden Sports Complex,Adelaide United,Melbourne City,0,5,Melbourne City
2023,63,11,06-01-2024 18:00,Home of the Matildas,Melbourne Victory,Western United,1,4,Western United
2023,64,11,07-01-2024 18:00,Industree Group Stadium,Central Coast Mariners,Sydney,0,0,Draw
2023,65,11,07-01-2024 18:00,Perry Park,Brisbane Roar,Wellington Phoenix,2,1,Brisbane Roar
2023,66,11,07-01-2024 22:00,Macedonia Park,Perth Glory,Western Sydney Wanderers,0,2,Western Sydney Wanderers
2023,70,12,12-01-2024 17:00,Leichhardt Oval,Melbourne Victory,Perth Glory,1,1,Draw
2023,67,12,12-01-2024 19:45,Leichhardt Oval,Wellington Phoenix,Central Coast Mariners,1,2,Central Coast Mariners
2023,68,12,13-01-2024 17:00,Leichhardt Oval,Canberra United,Adelaide United,3,1,Canberra United
2023,71,12,13-01-2024 19:45,Leichhardt Oval,Brisbane Roar,Newcastle Jets,1,2,Newcastle Jets
2023,69,12,14-01-2024 17:00,Allianz Stadium,Western United,Sydney,0,1,Sydney
2023,72,12,14-01-2024 17:00,CommBank Stadium,Western Sydney Wanderers,Melbourne City,1,0,Western Sydney Wanderers
2023,73,13,20-01-2024 17:00,City Football Academy Field,Melbourne City,Wellington Phoenix,2,1,Melbourne City
2023,76,13,20-01-2024 17:00,McKellar Park,Canberra United,Melbourne Victory,2,3,Melbourne Victory
2023,75,13,20-01-2024 22:30,Macedonia Park,Perth Glory,Brisbane Roar,0,0,Draw
2023,78,13,21-01-2024 17:00,City Vista Recreation Reserve Pitch 1,Western United,Adelaide United,1,0,Western United
2023,77,13,21-01-2024 18:00,Leichhardt Oval,Sydney,Newcastle Jets,2,1,Sydney
2023,74,13,21-01-2024 20:45,Industree Group Stadium,Central Coast Mariners,Western Sydney Wanderers,1,2,Western Sydney Wanderers
2023,83,14,25-01-2024 17:00,AAMI Park,Melbourne City,Western United,1,3,Western United
2023,79,14,26-01-2024 17:00,AAMI Park,Melbourne Victory,Sydney,1,1,Draw
2023,80,14,27-01-2024 17:00,Marconi Stadium,Western Sydney Wanderers,Brisbane Roar,1,3,Brisbane Roar
2023,81,14,27-01-2024 17:30,Marden Sports Complex,Adelaide United,Perth Glory,2,1,Adelaide United
2023,82,14,28-01-2024 15:00,Porirua Park,Wellington Phoenix,Canberra United,2,0,Wellington Phoenix
2023,84,14,28-01-2024 17:00,No.2 Sportsground,Newcastle Jets,Central Coast Mariners,0,2,Central Coast Mariners
