Year,Match Number,Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score,Winner
2024,16,3,16-11-2024 16:00,McKellar Park,Canberra United,Adelaide United,0,2,Adelaide United
2024,17,3,17-11-2024 15:00,Maitland Sports Ground,Newcastle Jets,Wellington Phoenix,1,0,Newcastle Jets
2024,18,3,17-11-2024 16:00,Home of the Matildas,Melbourne Victory,Western United,4,1,Melbourne Victory
2024,19,4,22-11-2024 17:30,Netstrata Jubilee Stadium,Adelaide United,Wellington Phoenix,0,1,Wellington Phoenix
2024,20,4,22-11-2024 20:15,Netstrata Jubilee Stadium,Western Sydney Wanderers,Brisbane Roar,0,4,Brisbane Roar
2024,21,4,23-11-2024 14:15,Netstrata Jubilee Stadium,Central Coast Mariners,Melbourne Victory,1,1,Draw
2024,22,4,23-11-2024 17:00,Netstrata Jubilee Stadium,Newcastle Jets,Western United,1,1,Draw
2024,23,4,24-11-2024 13:30,Netstrata Jubilee Stadium,Canberra United,Perth Glory,1,1,Draw
2024,24,4,24-11-2024 16:15,Netstrata Jubilee Stadium,Sydney,Melbourne City,1,1,Draw
2024,25,5,30-11-2024 14:15,AAMI Park,Melbourne City,Western Sydney Wanderers,2,0,Melbourne City
2024,26,5,30-11-2024 16:00,Industree Group Stadium,Central Coast Mariners,Canberra United,2,1,Central Coast Mariners
2024,27,5,08-12-2024 14:00,Porirua Park,Wellington Phoenix,Brisbane Roar,2,1,Wellington Phoenix
2024,28,5,08-12-2024 17:00,Ironbark Fields,Western United,Sydney,2,1,Western United
2024,29,5,08-12-2024 17:30,ServiceFM Stadium,Adelaide United,Newcastle Jets,2,0,Adelaide United
2024,30,5,08-12-2024 20:00,Sam Kerr Football Centre,Perth Glory,Melbourne Victory,0,1,Melbourne Victory
2024,31,6,13-12-2024 19:00,Home of the Matildas,Melbourne Victory,Wellington Phoenix,1,1,Draw
2024,32,6,14-12-2024 16:50,CommBank Stadium,Western Sydney Wanderers,Western United,5,1,Western Sydney Wanderers
2024,34,6,14-12-2024 19:45,Allianz Stadium,Sydney,Newcastle Jets,1,2,Newcastle Jets
2024,33,6,15-12-2024 18:00,Perry Park,Brisbane Roar,Central Coast Mariners,2,1,Brisbane Roar
2024,35,6,15-12-2024 19:45,AAMI Park,Melbourne City,Canberra United,4,2,Melbourne City
2024,36,6,15-12-2024 20:00,Sam Kerr Football Centre,Perth Glory,Adelaide United,3,1,Perth Glory
2024,37,7,20-12-2024 16:50,Coopers Stadium,Adelaide United,Melbourne City,1,3,Melbourne City
2024,38,7,20-12-2024 19:00,Wanderers Football Park,Western Sydney Wanderers,Perth Glory,1,1,Draw
2024,39,7,21-12-2024 14:00,Porirua Park,Wellington Phoenix,Sydney,2,0,Wellington Phoenix
2024,40,7,21-12-2024 17:00,McKellar Park,Canberra United,Melbourne Victory,0,2,Melbourne Victory
2024,41,7,21-12-2024 17:00,Maitland Sports Ground,Newcastle Jets,Brisbane Roar,1,6,Brisbane Roar
2024,42,7,22-12-2024 17:00,Industree Group Stadium,Central Coast Mariners,Western United,1,3,Western United
2024,43,8,27-12-2024 16:50,Coopers Stadium,Adelaide United,Western Sydney Wanderers,1,0,Adelaide United
2024,44,8,27-12-2024 20:00,HBF Park,Perth Glory,Central Coast Mariners,0,1,Central Coast Mariners
2024,45,8,28-12-2024 16:50,Allianz Stadium,Sydney,Melbourne Victory,0,1,Melbourne Victory
2024,46,8,28-12-2024 17:00,City Football Academy Field,Melbourne City,Wellington Phoenix,2,1,Melbourne City
2024,47,8,29-12-2024 17:00,McKellar Park,Canberra United,Newcastle Jets,0,0,Draw
2024,48,8,29-12-2024 19:45,Ironbark Fields,Western United,Brisbane Roar,2,8,Brisbane Roar
2024,49,9,31-12-2024 16:15,Industree Group Stadium,Central Coast Mariners,Melbourne City,0,0,Draw
2024,50,9,08-01-2025 17:30,No.2 Sportsground,Newcastle Jets,Adelaide United,3,3,Draw
2024,51,9,08-01-2025 19:00,Perry Park,Brisbane Roar,Melbourne Victory,2,0,Brisbane Roar
2024,52,9,09-01-2025 19:00,Wanderers Football Park,Western Sydney Wanderers,Wellington Phoenix,0,3,Wellington Phoenix
2024,53,9,15-01-2025 19:00,Leichhardt Oval,Sydney,Canberra United,2,0,Sydney
2024,54,9,21-01-2025 19:00,Ironbark Fields,Western United,Perth Glory,4,1,Western United
2024,55,10,03-01-2025 19:00,Ironbark Fields,Western United,Newcastle Jets,2,0,Western United
2024,56,10,04-01-2025 14:00,Porirua Park,Wellington Phoenix,Perth Glory,2,0,Wellington Phoenix
2024,57,10,04-01-2025 17:00,Woy Woy Oval,Central Coast Mariners,Adelaide United,0,1,Adelaide United
2024,58,10,04-01-2025 18:00,Perry Park,Brisbane Roar,Canberra United,1,2,Canberra United
2024,60,10,05-01-2025 17:00,Leichhardt Oval,Sydney,Melbourne City,1,1,Draw
2024,59,10,05-01-2025 20:00,Home of the Matildas,Melbourne Victory,Western Sydney Wanderers,4,4,Draw
2024,61,11,10-01-2025 22:00,Sam Kerr Football Centre,Perth Glory,Sydney,1,1,Draw
2024,62,11,11-01-2025 17:00,No.2 Sportsground,Newcastle Jets,Melbourne Victory,0,2,Melbourne Victory
2024,63,11,11-01-2025 17:00,McKellar Park,Canberra United,Western United,2,1,Canberra United
2024,64,11,11-01-2025 19:45,AAMI Park,Melbourne City,Brisbane Roar,2,0,Melbourne City
2024,66,11,12-01-2025 17:30,Marden Sports Complex,Adelaide United,Wellington Phoenix,2,1,Adelaide United
2024,65,11,12-01-2025 18:00,Wanderers Football Park,Western Sydney Wanderers,Central Coast Mariners,1,3,Central Coast Mariners
2024,67,12,17-01-2025 19:35,Ironbark Fields,Western United,Melbourne City,1,1,Draw
2024,68,12,18-01-2025 17:00,McKellar Park,Canberra United,Western Sydney Wanderers,1,0,Canberra United
2024,69,12,18-01-2025 18:00,Home of the Matildas,Melbourne Victory,Perth Glory,1,0,Melbourne Victory
2024,70,12,19-01-2025 14:00,Porirua Park,Wellington Phoenix,Newcastle Jets,3,2,Wellington Phoenix
2024,71,12,19-01-2025 17:00,Leichhardt Oval,Sydney,Central Coast Mariners,0,0,Draw
2024,72,12,19-01-2025 18:00,Perry Park,Brisbane Roar,Adelaide United,2,3,Adelaide United
2024,73,13,24-01-2025 16:50,AAMI Park,Melbourne Victory,Sydney,2,0,Melbourne Victory
2024,74,13,25-01-2025 17:00,Wanderers Football Park,Western Sydney Wanderers,Melbourne City,0,1,Melbourne City
2024,75,13,25-01-2025 17:30,Marden Sports Complex,Adelaide United,Western United,1,1,Draw
2024,76,13,25-01-2025 19:45,McDonald Jones Stadium,Newcastle Jets,Canberra United,2,2,Draw
2024,77,13,26-01-2025 17:00,Woy Woy Oval,Central Coast Mariners,Wellington Phoenix,1,0,Central Coast Mariners
2024,78,13,26-01-2025 20:00,Sam Kerr Football Centre,Perth Glory,Brisbane Roar,3,2,Perth Glory
2024,79,14,31-01-2025 19:00,Ironbark Fields,Western United,Western Sydney Wanderers,4,1,Western United
2024,80,14,31-01-2025 19:00,Leichhardt Oval,Sydney,Adelaide United,2,3,Adelaide United
2024,81,14,01-02-2025 16:50,Industree Group Stadium,Central Coast Mariners,Newcastle Jets,5,1,Central Coast Mariners
2024,82,14,01-02-2025 17:00,McKellar Park,Canberra United,Perth Glory,1,0,Canberra United
2024,83,14,01-02-2025 18:00,City Football Academy Field,Melbourne City,Melbourne Victory,1,1,Draw
2024,84,14,02-02-2025 18:00,Perry Park,Brisbane Roar,Wellington Phoenix,1,0,Brisbane Roar
2024,85,15,07-02-2025 16:50,Coopers Stadium,Adelaide United,Perth Glory,3,0,Adelaide United
2024,86,15,08-02-2025 14:00,Porirua Park,Wellington Phoenix,Melbourne Victory,1,1,Draw
2024,87,15,08-02-2025 17:00,McKellar Park,Canberra United,Central Coast Mariners,1,1,Draw
2024,88,15,08-02-2025 20:00,McDonald Jones Stadium,Newcastle Jets,Melbourne City,0,2,Melbourne City
2024,89,15,09-02-2025 17:00,Wanderers Football Park,Western Sydney Wanderers,Brisbane Roar,2,1,Western Sydney Wanderers
2024,90,15,09-02-2025 17:00,Leichhardt Oval,Sydney,Western United,1,2,Western United
2024,91,16,14-02-2025 19:00,Wanderers Football Park,Western Sydney Wanderers,Newcastle Jets,4,1,Western Sydney Wanderers
2024,92,16,15-02-2025 16:50,Coopers Stadium,Adelaide United,Canberra United,1,1,Draw
2024,93,16,15-02-2025 19:45,AAMI Park,Melbourne City,Sydney,2,1,Melbourne City
2024,94,16,16-02-2025 17:00,Home of the Matildas,Melbourne Victory,Central Coast Mariners,2,0,Melbourne Victory
2024,95,16,16-02-2025 18:00,Perry Park,Brisbane Roar,Western United,0,0,Draw
2024,96,16,16-02-2025 20:00,Sam Kerr Football Centre,Perth Glory,Wellington Phoenix,2,1,Perth Glory
2024,97,17,28-02-2025 16:50,Industree Group Stadium,Central Coast Mariners,Western Sydney Wanderers,1,2,Western Sydney Wanderers
2024,98,17,01-03-2025 16:00,McKellar Park,Canberra United,Melbourne City,1,1,Draw
2024,99,17,01-03-2025 16:30,No.2 Sportsground,Newcastle Jets,Perth Glory,2,1,Newcastle Jets
2024,100,17,01-03-2025 18:00,Ironbark Fields,Western United,Melbourne Victory,1,2,Melbourne Victory
2024,101,17,02-03-2025 14:00,Porirua Park,Wellington Phoenix,Adelaide United,1,3,Adelaide United
2024,102,17,02-03-2025 17:00,Leichhardt Oval,Sydney,Brisbane Roar,3,2,Sydney
2024,103,18,07-03-2025 22:00,Sam Kerr Football Centre,Perth Glory,Western United,3,0,Perth Glory
2024,104,18,08-03-2025 16:30,No.2 Sportsground,Newcastle Jets,Sydney,1,0,Newcastle Jets
2024,105,18,08-03-2025 19:45,Coopers Stadium,Adelaide United,Central Coast Mariners,1,0,Adelaide United
2024,106,18,09-03-2025 14:00,Porirua Park,Wellington Phoenix,Western Sydney Wanderers,2,1,Wellington Phoenix
2024,107,18,09-03-2025 17:00,Home of the Matildas,Melbourne Victory,Canberra United,2,0,Melbourne Victory
2024,108,18,26-03-2025 19:00,Perry Park,Brisbane Roar,Melbourne City,0,4,Melbourne City
2024,109,19,14-03-2025 19:00,Ironbark Fields,Western United,Canberra United,4,3,Western United
2024,110,19,14-03-2025 19:00,Industree Group Stadium,Central Coast Mariners,Perth Glory,3,3,Draw
2024,112,19,15-03-2025 17:00,Leichhardt Oval,Sydney,Wellington Phoenix,2,1,Sydney
2024,113,19,16-03-2025 16:00,City Football Academy Field,Melbourne City,Adelaide United,4,3,Melbourne City
2024,114,19,16-03-2025 18:30,Perry Park,Brisbane Roar,Newcastle Jets,2,3,Newcastle Jets
2024,111,19,06-04-2025 17:00,Wanderers Football Park,Western Sydney Wanderers,Melbourne Victory,0,1,Melbourne Victory
2024,119,20,05-02-2025 17:00,City Football Academy Field,Melbourne City,Western United,5,1,Melbourne City
2024,115,20,21-03-2025 19:00,Home of the Matildas,Melbourne Victory,Newcastle Jets,4,3,Melbourne Victory
2024,116,20,22-03-2025 14:00,Porirua Park,Wellington Phoenix,Central Coast Mariners,0,2,Central Coast Mariners
2024,117,20,22-03-2025 16:00,McKellar Park,Canberra United,Sydney,0,1,Sydney
2024,118,20,22-03-2025 20:00,Sam Kerr Football Centre,Perth Glory,Western Sydney Wanderers,1,0,Perth Glory
2024,120,20,23-03-2025 16:30,Coopers Stadium,Adelaide United,Brisbane Roar,3,1,Adelaide United
2024,121,21,28-03-2025 19:00,Marconi Stadium,Western Sydney Wanderers,Sydney,0,2,Sydney
2024,122,21,29-03-2025 16:50,AAMI Park,Melbourne Victory,Adelaide United,2,1,Melbourne Victory
2024,123,21,29-03-2025 20:00,Sam Kerr Football Centre,Perth Glory,Canberra United,1,2,Canberra United
2024,124,21,30-03-2025 14:00,Porirua Park,Wellington Phoenix,Melbourne City,0,1,Melbourne City
2024,125,21,30-03-2025 16:00,No.2 Sportsground,Newcastle Jets,Western United,0,2,Western United
2024,126,21,30-03-2025 17:45,Industree Group Stadium,Central Coast Mariners,Brisbane Roar,2,1,Central Coast Mariners
2024,127,22,11-04-2025 16:50,AAMI Park,Melbourne City,Newcastle Jets,4,1,Melbourne City
2024,128,22,11-04-2025 19:00,Industree Group Stadium,Central Coast Mariners,Melbourne Victory,0,1,Melbourne Victory
2024,129,22,12-04-2025 14:15,Allianz Stadium,Sydney,Perth Glory,1,0,Sydney
2024,130,22,12-04-2025 16:00,Ironbark Fields,Western United,Adelaide United,1,3,Adelaide United
2024,131,22,13-04-2025 15:00,McKellar Park,Canberra United,Wellington Phoenix,1,0,Canberra United
2024,132,22,13-04-2025 15:00,Perry Park,Brisbane Roar,Western Sydney Wanderers,4,4,Draw
2024,133,23,18-04-2025 16:50,Coopers Stadium,Adelaide United,Sydney,2,1,Adelaide United
2024,134,23,18-04-2025 21:00,Sam Kerr Football Centre,Perth Glory,Melbourne City,1,5,Melbourne City
2024,135,23,19-04-2025 14:15,AAMI Park,Melbourne Victory,Brisbane Roar,2,0,Melbourne Victory
2024,136,23,19-04-2025 16:00,Maitland Sports Ground,Newcastle Jets,Central Coast Mariners,1,2,Central Coast Mariners
2024,138,23,19-04-2025 16:50,CommBank Stadium,Western Sydney Wanderers,Canberra United,1,3,Canberra United
2024,137,23,20-04-2025 14:00,Porirua Park,Wellington Phoenix,Western United,1,1,Draw
2024,139,Elimination Finals,27-04-2025 16:00,Coopers Stadium,Adelaide United,Western United,1,0,Adelaide United
2024,140,Elimination Finals,28-04-2025 18:00,Industree Group Stadium,Central Coast Mariners,Canberra United,2,1,Central Coast Mariners
2024,141,Semi Final 1,03-05-2025 14:15,Industree Group Stadium,Central Coast Mariners,Melbourne City,2,2,Draw
2024,142,Semi Final 1,04-05-2025 16:00,Coopers Stadium,Adelaide United,Melbourne Victory,1,3,Melbourne Victory
2024,144,Semi Final 2,10-05-2025 14:15,Home of the Matildas,Melbourne Victory,Adelaide United,3,1,Melbourne Victory
2024,143,Semi Final 2,11-05-2025 14:00,City Football Academy Field,Melbourne City,Central Coast Mariners,0,1,Central Coast Mariners
2024,145,Grand Final,18-05-2025 15:15,AAMI Park,Melbourne Victory,Central Coast Mariners,1,1,Draw
