Match Number,Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score,Result,
35,20,05-08-2020 17:30,The Field House,Los Angeles Lakers,Oklahoma City Thunder,86,105,Oklahoma City Thunder,
36,20,05-08-2020 19:00,VISA Athletic Center,Orlando Magic,Toronto Raptors,99,109,Toronto Raptors,
37,20,05-08-2020 20:00,AdventHealth Arena,Boston Celtics,Brooklyn Nets,149,115,Boston Celtics,
38,21,06-08-2020 12:30,The Field House,Sacramento Kings,New Orleans Pelicans,140,125,Sacramento Kings,
39,21,06-08-2020 15:00,AdventHealth Arena,Milwaukee Bucks,Miami Heat,130,116,Milwaukee Bucks,
40,21,06-08-2020 15:00,VISA Athletic Center,Phoenix Suns,Indiana Pacers,114,99,Phoenix Suns,
41,21,06-08-2020 17:30,The Field House,Dallas Mavericks,LA Clippers,111,126,LA Clippers,
42,21,06-08-2020 19:00,VISA Athletic Center,Denver Nuggets,Portland Trail Blazers,115,125,Portland Trail Blazers,
43,21,06-08-2020 20:00,AdventHealth Arena,Houston Rockets,Los Angeles Lakers,113,97,Houston Rockets,
44,21,07-08-2020 12:00,The Field House,San Antonio Spurs,Utah Jazz,119,111,San Antonio Spurs,
45,21,07-08-2020 15:00,VISA Athletic Center,Memphis Grizzlies,Oklahoma City Thunder,121,92,Memphis Grizzlies,
46,21,07-08-2020 16:00,AdventHealth Arena,Brooklyn Nets,Sacramento Kings,119,106,Brooklyn Nets,
47,21,07-08-2020 17:30,The Field House,Philadelphia 76ers,Orlando Magic,108,101,Philadelphia 76ers,
48,21,07-08-2020 19:00,VISA Athletic Center,New Orleans Pelicans,Washington Wizards,118,107,New Orleans Pelicans,
49,21,07-08-2020 20:00,AdventHealth Arena,Toronto Raptors,Boston Celtics,100,122,Boston Celtics,
50,21,08-08-2020 12:00,The Field House,Portland Trail Blazers,LA Clippers,117,122,LA Clippers,
51,21,08-08-2020 14:30,AdventHealth Arena,Denver Nuggets,Utah Jazz,134,132,Denver Nuggets,
52,21,08-08-2020 17:00,The Field House,Indiana Pacers,Los Angeles Lakers,116,111,Indiana Pacers,
53,21,08-08-2020 18:30,VISA Athletic Center,Miami Heat,Phoenix Suns,112,119,Phoenix Suns,
54,21,08-08-2020 19:30,AdventHealth Arena,Dallas Mavericks,Milwaukee Bucks,136,132,Dallas Mavericks,
55,21,09-08-2020 11:30,AdventHealth Arena,Oklahoma City Thunder,Washington Wizards,121,103,Oklahoma City Thunder,
56,21,09-08-2020 13:00,VISA Athletic Center,Toronto Raptors,Memphis Grizzlies,108,99,Toronto Raptors,
57,21,09-08-2020 14:00,The Field House,New Orleans Pelicans,San Antonio Spurs,113,122,San Antonio Spurs,
58,21,09-08-2020 16:00,AdventHealth Arena,Boston Celtics,Orlando Magic,122,119,Boston Celtics,
59,21,09-08-2020 17:30,VISA Athletic Center,Portland Trail Blazers,Philadelphia 76ers,124,121,Portland Trail Blazers,
60,21,09-08-2020 19:00,The Field House,Sacramento Kings,Houston Rockets,112,129,Houston Rockets,
61,21,09-08-2020 20:00,AdventHealth Arena,LA Clippers,Brooklyn Nets,120,129,Brooklyn Nets,
62,21,10-08-2020 13:30,The Field House,Phoenix Suns,Oklahoma City Thunder,128,101,Phoenix Suns,
63,21,10-08-2020 14:00,AdventHealth Arena,Utah Jazz,Dallas Mavericks,114,122,Dallas Mavericks,
64,21,10-08-2020 17:30,The Field House,Milwaukee Bucks,Toronto Raptors,106,114,Toronto Raptors,
