Match Number,Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score,Result,
131,3,09-11-2019 19:00,Chesapeake Energy Arena,Oklahoma City Thunder,Golden State Warriors,114,108,Oklahoma City Thunder,
132,3,10-11-2019 14:30,Target Center,Minnesota Timberwolves,Denver Nuggets,98,100,Denver Nuggets,
133,3,10-11-2019 17:00,Amway Center,Orlando Magic,Indiana Pacers,102,109,Indiana Pacers,
134,3,10-11-2019 17:00,Wells Fargo Center,Philadelphia 76ers,Charlotte Hornets,114,106,Philadelphia 76ers,
135,3,10-11-2019 18:00,Chesapeake Energy Arena,Oklahoma City Thunder,Milwaukee Bucks,119,121,Milwaukee Bucks,
136,3,10-11-2019 18:30,Madison Square Garden,New York Knicks,Cleveland Cavaliers,87,108,Cleveland Cavaliers,
137,3,10-11-2019 19:00,Talking Stick Resort Arena,Phoenix Suns,Brooklyn Nets,138,112,Phoenix Suns,
138,3,10-11-2019 20:00,Moda Center,Portland Trail Blazers,Atlanta Hawks,124,113,Portland Trail Blazers,
139,3,10-11-2019 20:30,Staples Center,Los Angeles Lakers,Toronto Raptors,104,113,Toronto Raptors,
140,3,11-11-2019 18:00,Little Caesars Arena,Detroit Pistons,Minnesota Timberwolves,114,120,Minnesota Timberwolves,
141,3,11-11-2019 18:30,TD Garden,Boston Celtics,Dallas Mavericks,116,106,Boston Celtics,
143,3,11-11-2019 18:30,AT&T Center,San Antonio Spurs,Memphis Grizzlies,109,113,Memphis Grizzlies,
142,3,11-11-2019 19:00,Smoothie King Center,New Orleans Pelicans,Houston Rockets,116,122,Houston Rockets,
144,3,11-11-2019 21:30,Chase Center,Golden State Warriors,Utah Jazz,108,122,Utah Jazz,
145,3,11-11-2019 21:30,Staples Center,LA Clippers,Toronto Raptors,98,88,LA Clippers,
146,3,12-11-2019 18:00,Bankers Life Fieldhouse,Indiana Pacers,Oklahoma City Thunder,111,85,Indiana Pacers,
147,3,12-11-2019 18:00,Wells Fargo Center,Philadelphia 76ers,Cleveland Cavaliers,98,97,Philadelphia 76ers,
148,3,12-11-2019 18:30,American Airlines Arena,Miami Heat,Detroit Pistons,117,108,Miami Heat,
149,3,12-11-2019 19:00,United Center,Chicago Bulls,New York Knicks,120,102,Chicago Bulls,
150,3,12-11-2019 20:00,Pepsi Center,Denver Nuggets,Atlanta Hawks,121,125,Atlanta Hawks,
151,3,12-11-2019 20:00,Talking Stick Resort Arena,Phoenix Suns,Los Angeles Lakers,115,123,Los Angeles Lakers,
152,3,12-11-2019 20:00,Vivint Smart Home Arena,Utah Jazz,Brooklyn Nets,119,114,Utah Jazz,
153,3,12-11-2019 21:00,Golden 1 Center,Sacramento Kings,Portland Trail Blazers,107,99,Sacramento Kings,
154,3,13-11-2019 18:00,Spectrum Center,Charlotte Hornets,Memphis Grizzlies,117,119,Memphis Grizzlies,
155,3,13-11-2019 18:00,Amway Center,Orlando Magic,Philadelphia 76ers,112,97,Orlando Magic,
156,3,13-11-2019 18:30,TD Garden,Boston Celtics,Washington Wizards,140,133,Boston Celtics,
157,3,13-11-2019 18:30,Toyota Center,Houston Rockets,LA Clippers,102,93,Houston Rockets,
158,3,13-11-2019 19:00,Target Center,Minnesota Timberwolves,San Antonio Spurs,129,114,Minnesota Timberwolves,
159,3,13-11-2019 21:00,Staples Center,Los Angeles Lakers,Golden State Warriors,120,94,Los Angeles Lakers,
160,3,13-11-2019 21:00,Moda Center,Portland Trail Blazers,Toronto Raptors,106,114,Toronto Raptors,
161,3,14-11-2019 17:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Miami Heat,97,108,Miami Heat,
162,4,14-11-2019 19:00,Madison Square Garden,New York Knicks,Dallas Mavericks,106,103,New York Knicks,
163,4,14-11-2019 19:00,Fiserv Forum,Milwaukee Bucks,Chicago Bulls,124,115,Milwaukee Bucks,
164,4,14-11-2019 19:00,Smoothie King Center,New Orleans Pelicans,LA Clippers,132,127,New Orleans Pelicans,
165,4,14-11-2019 20:00,Talking Stick Resort Arena,Phoenix Suns,Atlanta Hawks,128,112,Phoenix Suns,
166,4,14-11-2019 21:30,Pepsi Center,Denver Nuggets,Brooklyn Nets,101,93,Denver Nuggets,
167,4,15-11-2019 18:00,Spectrum Center,Charlotte Hornets,Detroit Pistons,109,106,Charlotte Hornets,
168,4,15-11-2019 18:00,Amway Center,Orlando Magic,San Antonio Spurs,111,109,Orlando Magic,
169,4,15-11-2019 19:00,Toyota Center,Houston Rockets,Indiana Pacers,111,102,Houston Rockets,
170,4,15-11-2019 19:00,FedExForum,Memphis Grizzlies,Utah Jazz,107,106,Memphis Grizzlies,
171,4,15-11-2019 19:00,Target Center,Minnesota Timberwolves,Washington Wizards,116,137,Washington Wizards,
172,4,15-11-2019 19:00,Chesapeake Energy Arena,Oklahoma City Thunder,Philadelphia 76ers,127,119,Oklahoma City Thunder,
173,4,15-11-2019 21:30,Chase Center,Golden State Warriors,Boston Celtics,100,105,Boston Celtics,
174,4,15-11-2019 21:30,Staples Center,Los Angeles Lakers,Sacramento Kings,99,97,Los Angeles Lakers,
175,4,16-11-2019 17:00,United Center,Chicago Bulls,Brooklyn Nets,111,117,Brooklyn Nets,
176,4,16-11-2019 18:00,Bankers Life Fieldhouse,Indiana Pacers,Milwaukee Bucks,83,102,Milwaukee Bucks,
177,4,16-11-2019 18:30,Madison Square Garden,New York Knicks,Charlotte Hornets,102,103,Charlotte Hornets,
178,4,16-11-2019 19:00,American Airlines Arena,Miami Heat,New Orleans Pelicans,109,94,Miami Heat,
179,4,16-11-2019 19:00,Target Center,Minnesota Timberwolves,Houston Rockets,105,125,Houston Rockets,
180,4,16-11-2019 19:30,American Airlines Center,Dallas Mavericks,Toronto Raptors,110,102,Dallas Mavericks,
181,4,16-11-2019 19:30,AT&T Center,San Antonio Spurs,Portland Trail Blazers,116,121,Portland Trail Blazers,
182,4,16-11-2019 21:30,Staples Center,LA Clippers,Atlanta Hawks,150,101,LA Clippers,
183,4,17-11-2019 14:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Philadelphia 76ers,95,114,Philadelphia 76ers,
184,4,17-11-2019 14:30,Golden 1 Center,Sacramento Kings,Boston Celtics,100,99,Sacramento Kings,
185,4,17-11-2019 17:00,Amway Center,Orlando Magic,Washington Wizards,125,121,Orlando Magic,
186,4,17-11-2019 17:00,FedExForum,Memphis Grizzlies,Denver Nuggets,114,131,Denver Nuggets,
187,4,17-11-2019 18:00,Smoothie King Center,New Orleans Pelicans,Golden State Warriors,108,100,New Orleans Pelicans,
188,4,17-11-2019 20:30,Staples Center,Los Angeles Lakers,Atlanta Hawks,122,101,Los Angeles Lakers,
189,4,18-11-2019 18:00,Madison Square Garden,New York Knicks,Cleveland Cavaliers,123,105,New York Knicks,
190,4,18-11-2019 18:30,Barclays Center,Brooklyn Nets,Indiana Pacers,86,115,Indiana Pacers,
191,4,18-11-2019 18:30,Scotiabank Arena,Toronto Raptors,Charlotte Hornets,132,96,Toronto Raptors,
192,4,18-11-2019 19:00,United Center,Chicago Bulls,Milwaukee Bucks,101,115,Milwaukee Bucks,
193,4,18-11-2019 19:00,Toyota Center,Houston Rockets,Portland Trail Blazers,132,108,Houston Rockets,
194,4,18-11-2019 19:30,American Airlines Center,Dallas Mavericks,San Antonio Spurs,117,110,Dallas Mavericks,
195,4,18-11-2019 20:00,Talking Stick Resort Arena,Phoenix Suns,Boston Celtics,85,99,Boston Celtics,
196,4,18-11-2019 20:00,Vivint Smart Home Arena,Utah Jazz,Minnesota Timberwolves,102,112,Minnesota Timberwolves,
197,4,18-11-2019 21:30,Staples Center,LA Clippers,Oklahoma City Thunder,90,88,LA Clippers,
198,4,19-11-2019 19:00,FedExForum,Memphis Grizzlies,Golden State Warriors,95,114,Golden State Warriors,
199,4,19-11-2019 19:00,Smoothie King Center,New Orleans Pelicans,Portland Trail Blazers,115,104,New Orleans Pelicans,
200,4,19-11-2019 21:00,Golden 1 Center,Sacramento Kings,Phoenix Suns,120,116,Sacramento Kings,
201,4,19-11-2019 21:30,Staples Center,Los Angeles Lakers,Oklahoma City Thunder,112,107,Los Angeles Lakers,
202,4,20-11-2019 18:00,Wells Fargo Center,Philadelphia 76ers,New York Knicks,109,104,Philadelphia 76ers,
203,4,20-11-2019 18:00,Capital One Arena,Washington Wizards,San Antonio Spurs,138,132,Washington Wizards,
204,4,20-11-2019 18:30,State Farm Arena,Atlanta Hawks,Milwaukee Bucks,127,135,Milwaukee Bucks,
205,4,20-11-2019 18:30,Barclays Center,Brooklyn Nets,Charlotte Hornets,101,91,Brooklyn Nets,
206,4,20-11-2019 18:30,American Airlines Arena,Miami Heat,Cleveland Cavaliers,124,100,Miami Heat,
207,4,20-11-2019 18:30,Scotiabank Arena,Toronto Raptors,Orlando Magic,113,97,Toronto Raptors,
208,4,20-11-2019 18:30,American Airlines Center,Dallas Mavericks,Golden State Warriors,142,94,Dallas Mavericks,
209,4,20-11-2019 19:00,United Center,Chicago Bulls,Detroit Pistons,109,89,Chicago Bulls,
210,4,20-11-2019 19:00,Target Center,Minnesota Timberwolves,Utah Jazz,95,103,Utah Jazz,
211,4,20-11-2019 20:00,Pepsi Center,Denver Nuggets,Houston Rockets,105,95,Denver Nuggets,
212,4,20-11-2019 21:00,Staples Center,LA Clippers,Boston Celtics,107,104,LA Clippers,
213,5,21-11-2019 19:00,Fiserv Forum,Milwaukee Bucks,Portland Trail Blazers,137,129,Milwaukee Bucks,
214,5,21-11-2019 21:30,Talking Stick Resort Arena,Phoenix Suns,New Orleans Pelicans,121,124,New Orleans Pelicans,
215,5,22-11-2019 18:00,Little Caesars Arena,Detroit Pistons,Atlanta Hawks,128,103,Detroit Pistons,
216,5,22-11-2019 18:00,Capital One Arena,Washington Wizards,Charlotte Hornets,125,118,Washington Wizards,
217,5,22-11-2019 18:30,Barclays Center,Brooklyn Nets,Sacramento Kings,116,97,Brooklyn Nets,
218,5,22-11-2019 19:00,Wells Fargo Center,Philadelphia 76ers,San Antonio Spurs,115,104,Philadelphia 76ers,
219,5,22-11-2019 19:00,United Center,Chicago Bulls,Miami Heat,106,116,Miami Heat,
220,5,22-11-2019 19:00,Chesapeake Energy Arena,Oklahoma City Thunder,Los Angeles Lakers,127,130,Los Angeles Lakers,
221,5,22-11-2019 19:30,American Airlines Center,Dallas Mavericks,Cleveland Cavaliers,143,101,Dallas Mavericks,
222,5,22-11-2019 20:00,Pepsi Center,Denver Nuggets,Boston Celtics,96,92,Denver Nuggets,
223,5,22-11-2019 20:00,Vivint Smart Home Arena,Utah Jazz,Golden State Warriors,113,109,Utah Jazz,
224,5,22-11-2019 21:30,Staples Center,LA Clippers,Houston Rockets,122,119,LA Clippers,
225,5,23-11-2019 16:00,Target Center,Minnesota Timberwolves,Phoenix Suns,98,100,Phoenix Suns,
226,5,23-11-2019 18:00,Spectrum Center,Charlotte Hornets,Chicago Bulls,115,116,Chicago Bulls,
227,5,23-11-2019 18:00,Bankers Life Fieldhouse,Indiana Pacers,Orlando Magic,111,106,Indiana Pacers,
228,5,23-11-2019 18:30,State Farm Arena,Atlanta Hawks,Toronto Raptors,116,119,Toronto Raptors,
229,5,23-11-2019 18:30,Madison Square Garden,New York Knicks,San Antonio Spurs,104,111,San Antonio Spurs,
230,5,23-11-2019 18:30,Wells Fargo Center,Philadelphia 76ers,Miami Heat,113,86,Philadelphia 76ers,
231,5,23-11-2019 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Portland Trail Blazers,110,104,Cleveland Cavaliers,
232,5,23-11-2019 19:00,FedExForum,Memphis Grizzlies,Los Angeles Lakers,108,109,Los Angeles Lakers,
233,5,23-11-2019 19:30,Fiserv Forum,Milwaukee Bucks,Detroit Pistons,104,90,Milwaukee Bucks,
234,5,23-11-2019 20:00,Vivint Smart Home Arena,Utah Jazz,New Orleans Pelicans,128,120,Utah Jazz,
235,5,24-11-2019 14:30,Toyota Center,Houston Rockets,Dallas Mavericks,123,137,Dallas Mavericks,
236,5,24-11-2019 17:00,Madison Square Garden,New York Knicks,Brooklyn Nets,101,103,Brooklyn Nets,
237,5,24-11-2019 17:00,Capital One Arena,Washington Wizards,Sacramento Kings,106,113,Sacramento Kings,
238,5,24-11-2019 19:00,Pepsi Center,Denver Nuggets,Phoenix Suns,116,104,Denver Nuggets,
239,5,24-11-2019 20:00,Staples Center,LA Clippers,New Orleans Pelicans,134,109,LA Clippers,
240,5,25-11-2019 18:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Brooklyn Nets,106,108,Brooklyn Nets,
241,5,25-11-2019 18:00,Little Caesars Arena,Detroit Pistons,Orlando Magic,103,88,Detroit Pistons,
242,5,25-11-2019 18:00,Bankers Life Fieldhouse,Indiana Pacers,Memphis Grizzlies,126,114,Indiana Pacers,
243,5,25-11-2019 18:30,State Farm Arena,Atlanta Hawks,Minnesota Timberwolves,113,125,Minnesota Timberwolves,
244,5,25-11-2019 18:30,TD Garden,Boston Celtics,Sacramento Kings,103,102,Boston Celtics,
245,5,25-11-2019 18:30,American Airlines Arena,Miami Heat,Charlotte Hornets,117,100,Miami Heat,
246,5,25-11-2019 18:30,Scotiabank Arena,Toronto Raptors,Philadelphia 76ers,101,96,Toronto Raptors,
247,5,25-11-2019 19:00,United Center,Chicago Bulls,Portland Trail Blazers,94,117,Portland Trail Blazers,
248,5,25-11-2019 19:00,Fiserv Forum,Milwaukee Bucks,Utah Jazz,122,118,Milwaukee Bucks,
249,5,25-11-2019 19:30,AT&T Center,San Antonio Spurs,Los Angeles Lakers,104,114,Los Angeles Lakers,
250,5,25-11-2019 21:30,Chase Center,Golden State Warriors,Oklahoma City Thunder,97,100,Oklahoma City Thunder,
251,5,26-11-2019 19:30,American Airlines Center,Dallas Mavericks,LA Clippers,99,114,LA Clippers,
252,5,26-11-2019 20:00,Pepsi Center,Denver Nuggets,Washington Wizards,117,104,Denver Nuggets,
253,5,27-11-2019 18:00,TD Garden,Boston Celtics,Brooklyn Nets,121,110,Boston Celtics,
254,5,27-11-2019 18:00,Spectrum Center,Charlotte Hornets,Detroit Pistons,102,101,Charlotte Hornets,
255,5,27-11-2019 18:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Orlando Magic,104,116,Orlando Magic,
256,5,27-11-2019 18:00,Bankers Life Fieldhouse,Indiana Pacers,Utah Jazz,121,102,Indiana Pacers,
257,5,27-11-2019 18:00,Wells Fargo Center,Philadelphia 76ers,Sacramento Kings,97,91,Philadelphia 76ers,
258,5,27-11-2019 18:30,Scotiabank Arena,Toronto Raptors,New York Knicks,126,98,Toronto Raptors,
259,5,27-11-2019 19:00,Toyota Center,Houston Rockets,Miami Heat,117,108,Houston Rockets,
260,5,27-11-2019 19:00,FedExForum,Memphis Grizzlies,LA Clippers,119,121,LA Clippers,
261,5,27-11-2019 19:00,Fiserv Forum,Milwaukee Bucks,Atlanta Hawks,111,102,Milwaukee Bucks,
262,5,27-11-2019 19:30,AT&T Center,San Antonio Spurs,Minnesota Timberwolves,101,113,Minnesota Timberwolves,
263,5,27-11-2019 20:00,Talking Stick Resort Arena,Phoenix Suns,Washington Wizards,132,140,Washington Wizards,
264,5,27-11-2019 20:30,Smoothie King Center,New Orleans Pelicans,Los Angeles Lakers,110,114,Los Angeles Lakers,
265,5,27-11-2019 21:00,Moda Center,Portland Trail Blazers,Oklahoma City Thunder,136,119,Portland Trail Blazers,
266,5,27-11-2019 21:30,Chase Center,Golden State Warriors,Chicago Bulls,104,90,Golden State Warriors,
267,6,29-11-2019 11:00,Barclays Center,Brooklyn Nets,Boston Celtics,112,107,Brooklyn Nets,
268,6,29-11-2019 18:00,Little Caesars Arena,Detroit Pistons,Charlotte Hornets,107,110,Charlotte Hornets,
269,6,29-11-2019 18:00,Amway Center,Orlando Magic,Toronto Raptors,83,90,Toronto Raptors,
270,6,29-11-2019 18:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Milwaukee Bucks,110,119,Milwaukee Bucks,
271,6,29-11-2019 18:30,Madison Square Garden,New York Knicks,Philadelphia 76ers,95,101,Philadelphia 76ers,
272,6,29-11-2019 19:00,Bankers Life Fieldhouse,Indiana Pacers,Atlanta Hawks,105,104,Indiana Pacers,
273,6,29-11-2019 19:00,American Airlines Arena,Miami Heat,Golden State Warriors,122,105,Miami Heat,
274,6,29-11-2019 19:00,FedExForum,Memphis Grizzlies,Utah Jazz,94,103,Utah Jazz,
275,6,29-11-2019 19:00,Chesapeake Energy Arena,Oklahoma City Thunder,New Orleans Pelicans,109,104,Oklahoma City Thunder,
276,6,29-11-2019 19:30,AT&T Center,San Antonio Spurs,LA Clippers,107,97,San Antonio Spurs,
277,6,29-11-2019 20:00,Talking Stick Resort Arena,Phoenix Suns,Dallas Mavericks,113,120,Dallas Mavericks,
278,6,29-11-2019 21:00,Moda Center,Portland Trail Blazers,Chicago Bulls,107,103,Portland Trail Blazers,
279,6,29-11-2019 21:30,Staples Center,Los Angeles Lakers,Washington Wizards,125,103,Los Angeles Lakers,
280,6,30-11-2019 16:00,Golden 1 Center,Sacramento Kings,Denver Nuggets,100,97,Sacramento Kings,
281,6,30-11-2019 18:00,Wells Fargo Center,Philadelphia 76ers,Indiana Pacers,119,116,Philadelphia 76ers,
282,6,30-11-2019 19:00,Toyota Center,Houston Rockets,Atlanta Hawks,158,111,Houston Rockets,
283,6,30-11-2019 19:00,Fiserv Forum,Milwaukee Bucks,Charlotte Hornets,137,96,Milwaukee Bucks,
284,6,01-12-2019 14:00,Barclays Center,Brooklyn Nets,Miami Heat,106,109,Miami Heat,
285,6,01-12-2019 14:30,Madison Square Garden,New York Knicks,Boston Celtics,104,113,Boston Celtics,
286,6,01-12-2019 14:30,Target Center,Minnesota Timberwolves,Memphis Grizzlies,107,115,Memphis Grizzlies,
287,6,01-12-2019 15:00,Staples Center,Los Angeles Lakers,Dallas Mavericks,100,114,Dallas Mavericks,
288,6,01-12-2019 16:00,Little Caesars Arena,Detroit Pistons,San Antonio Spurs,132,98,Detroit Pistons,
289,6,01-12-2019 16:00,Smoothie King Center,New Orleans Pelicans,Oklahoma City Thunder,104,107,Oklahoma City Thunder,
290,6,01-12-2019 17:00,Amway Center,Orlando Magic,Golden State Warriors,100,96,Orlando Magic,
291,6,01-12-2019 17:00,Scotiabank Arena,Toronto Raptors,Utah Jazz,130,110,Toronto Raptors,
292,6,01-12-2019 21:30,Staples Center,LA Clippers,Washington Wizards,150,125,LA Clippers,
293,6,02-12-2019 18:00,Spectrum Center,Charlotte Hornets,Phoenix Suns,104,109,Phoenix Suns,
294,6,02-12-2019 18:00,Wells Fargo Center,Philadelphia 76ers,Utah Jazz,103,94,Philadelphia 76ers,
295,6,02-12-2019 18:30,State Farm Arena,Atlanta Hawks,Golden State Warriors,104,79,Atlanta Hawks,
296,6,02-12-2019 19:00,FedExForum,Memphis Grizzlies,Indiana Pacers,104,117,Indiana Pacers,
297,6,02-12-2019 19:00,Fiserv Forum,Milwaukee Bucks,New York Knicks,132,88,Milwaukee Bucks,
298,6,02-12-2019 21:00,Golden 1 Center,Sacramento Kings,Chicago Bulls,106,113,Chicago Bulls,
299,6,03-12-2019 18:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Detroit Pistons,94,127,Detroit Pistons,
300,6,03-12-2019 18:00,Capital One Arena,Washington Wizards,Orlando Magic,120,127,Orlando Magic,
301,6,03-12-2019 18:30,Scotiabank Arena,Toronto Raptors,Miami Heat,110,121,Miami Heat,
302,6,03-12-2019 18:30,Smoothie King Center,New Orleans Pelicans,Dallas Mavericks,97,118,Dallas Mavericks,
303,6,03-12-2019 19:30,AT&T Center,San Antonio Spurs,Houston Rockets,135,133,San Antonio Spurs,
304,6,03-12-2019 20:00,Pepsi Center,Denver Nuggets,Los Angeles Lakers,96,105,Los Angeles Lakers,
305,6,03-12-2019 21:00,Staples Center,LA Clippers,Portland Trail Blazers,117,97,LA Clippers,
306,6,04-12-2019 18:00,Spectrum Center,Charlotte Hornets,Golden State Warriors,106,91,Charlotte Hornets,
307,6,04-12-2019 18:00,Little Caesars Arena,Detroit Pistons,Milwaukee Bucks,103,127,Milwaukee Bucks,
308,6,04-12-2019 18:00,Amway Center,Orlando Magic,Phoenix Suns,128,114,Orlando Magic,
309,6,04-12-2019 18:30,State Farm Arena,Atlanta Hawks,Brooklyn Nets,118,130,Brooklyn Nets,
310,6,04-12-2019 18:30,TD Garden,Boston Celtics,Miami Heat,112,93,Boston Celtics,
311,6,04-12-2019 19:00,United Center,Chicago Bulls,Memphis Grizzlies,106,99,Chicago Bulls,
312,6,04-12-2019 19:00,Chesapeake Energy Arena,Oklahoma City Thunder,Indiana Pacers,100,107,Indiana Pacers,
313,6,04-12-2019 19:30,American Airlines Center,Dallas Mavericks,Minnesota Timberwolves,121,114,Dallas Mavericks,
314,6,04-12-2019 20:00,Vivint Smart Home Arena,Utah Jazz,Los Angeles Lakers,96,121,Los Angeles Lakers,
315,6,04-12-2019 21:00,Moda Center,Portland Trail Blazers,Sacramento Kings,127,116,Portland Trail Blazers,
316,7,05-12-2019 18:00,Capital One Arena,Washington Wizards,Philadelphia 76ers,119,113,Washington Wizards,
317,7,05-12-2019 18:30,Madison Square Garden,New York Knicks,Denver Nuggets,92,129,Denver Nuggets,
318,7,05-12-2019 18:30,Scotiabank Arena,Toronto Raptors,Houston Rockets,109,119,Houston Rockets,
319,7,05-12-2019 19:00,Smoothie King Center,New Orleans Pelicans,Phoenix Suns,132,139,Phoenix Suns,
320,7,06-12-2019 18:00,Spectrum Center,Charlotte Hornets,Brooklyn Nets,104,111,Brooklyn Nets,
321,7,06-12-2019 18:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Orlando Magic,87,93,Orlando Magic,
322,7,06-12-2019 18:00,Little Caesars Arena,Detroit Pistons,Indiana Pacers,108,101,Detroit Pistons,
323,7,06-12-2019 19:00,TD Garden,Boston Celtics,Denver Nuggets,108,95,Boston Celtics,
324,7,06-12-2019 19:00,American Airlines Arena,Miami Heat,Washington Wizards,112,103,Miami Heat,
325,7,06-12-2019 19:00,United Center,Chicago Bulls,Golden State Warriors,98,100,Golden State Warriors,
326,7,06-12-2019 19:00,Chesapeake Energy Arena,Oklahoma City Thunder,Minnesota Timberwolves,139,127,Oklahoma City Thunder,
327,7,06-12-2019 19:30,Fiserv Forum,Milwaukee Bucks,LA Clippers,119,91,Milwaukee Bucks,
328,7,06-12-2019 19:30,AT&T Center,San Antonio Spurs,Sacramento Kings,105,104,San Antonio Spurs,
329,7,06-12-2019 21:30,Moda Center,Portland Trail Blazers,Los Angeles Lakers,113,136,Los Angeles Lakers,
330,7,07-12-2019 13:00,American Airlines Center,Dallas Mavericks,New Orleans Pelicans,130,84,Dallas Mavericks,
331,7,07-12-2019 18:30,Madison Square Garden,New York Knicks,Indiana Pacers,103,104,Indiana Pacers,
332,7,07-12-2019 18:30,Wells Fargo Center,Philadelphia 76ers,Cleveland Cavaliers,141,94,Philadelphia 76ers,
333,7,07-12-2019 19:00,Toyota Center,Houston Rockets,Phoenix Suns,115,109,Houston Rockets,
334,7,07-12-2019 21:00,Vivint Smart Home Arena,Utah Jazz,Memphis Grizzlies,126,112,Utah Jazz,
335,7,08-12-2019 14:00,Barclays Center,Brooklyn Nets,Denver Nuggets,105,102,Brooklyn Nets,
336,7,08-12-2019 16:00,Spectrum Center,Charlotte Hornets,Atlanta Hawks,107,122,Atlanta Hawks,
337,7,08-12-2019 17:00,American Airlines Arena,Miami Heat,Chicago Bulls,110,105,Miami Heat,
338,7,08-12-2019 17:00,Wells Fargo Center,Philadelphia 76ers,Toronto Raptors,110,104,Philadelphia 76ers,
339,7,08-12-2019 17:00,Capital One Arena,Washington Wizards,LA Clippers,119,135,LA Clippers,
340,7,08-12-2019 18:00,American Airlines Center,Dallas Mavericks,Sacramento Kings,106,110,Sacramento Kings,
341,7,08-12-2019 20:00,Moda Center,Portland Trail Blazers,Oklahoma City Thunder,96,108,Oklahoma City Thunder,
342,7,08-12-2019 20:30,Staples Center,Los Angeles Lakers,Minnesota Timberwolves,142,125,Los Angeles Lakers,
343,7,09-12-2019 18:00,Bankers Life Fieldhouse,Indiana Pacers,LA Clippers,99,110,LA Clippers,
344,7,09-12-2019 18:30,TD Garden,Boston Celtics,Cleveland Cavaliers,110,88,Boston Celtics,
345,7,09-12-2019 19:00,United Center,Chicago Bulls,Toronto Raptors,92,93,Toronto Raptors,
346,7,09-12-2019 19:00,Toyota Center,Houston Rockets,Sacramento Kings,118,119,Sacramento Kings,
347,7,09-12-2019 19:00,Fiserv Forum,Milwaukee Bucks,Orlando Magic,110,101,Milwaukee Bucks,
348,7,09-12-2019 19:00,Smoothie King Center,New Orleans Pelicans,Detroit Pistons,103,105,Detroit Pistons,
349,7,09-12-2019 20:00,Talking Stick Resort Arena,Phoenix Suns,Minnesota Timberwolves,125,109,Phoenix Suns,
350,7,09-12-2019 20:00,Vivint Smart Home Arena,Utah Jazz,Oklahoma City Thunder,90,104,Oklahoma City Thunder,
351,7,09-12-2019 21:30,Chase Center,Golden State Warriors,Memphis Grizzlies,102,110,Memphis Grizzlies,
352,7,10-12-2019 18:00,Spectrum Center,Charlotte Hornets,Washington Wizards,114,107,Charlotte Hornets,
353,7,10-12-2019 19:00,Wells Fargo Center,Philadelphia 76ers,Denver Nuggets,97,92,Philadelphia 76ers,
354,7,10-12-2019 19:00,American Airlines Arena,Miami Heat,Atlanta Hawks,135,121,Miami Heat,
355,7,10-12-2019 21:00,Moda Center,Portland Trail Blazers,New York Knicks,115,87,Portland Trail Blazers,
356,7,11-12-2019 18:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Houston Rockets,110,116,Houston Rockets,
357,7,11-12-2019 18:00,Bankers Life Fieldhouse,Indiana Pacers,Boston Celtics,122,117,Indiana Pacers,
358,7,11-12-2019 18:00,Amway Center,Orlando Magic,Los Angeles Lakers,87,96,Los Angeles Lakers,
359,7,11-12-2019 18:00,Scotiabank Arena,Toronto Raptors,LA Clippers,92,112,LA Clippers,
360,7,11-12-2019 18:30,Barclays Center,Brooklyn Nets,Charlotte Hornets,108,113,Charlotte Hornets,
361,7,11-12-2019 19:00,United Center,Chicago Bulls,Atlanta Hawks,136,102,Chicago Bulls,
362,7,11-12-2019 19:00,Target Center,Minnesota Timberwolves,Utah Jazz,116,127,Utah Jazz,
363,7,11-12-2019 20:00,Talking Stick Resort Arena,Phoenix Suns,Memphis Grizzlies,108,115,Memphis Grizzlies,
364,7,11-12-2019 20:30,Fiserv Forum,Milwaukee Bucks,New Orleans Pelicans,127,112,Milwaukee Bucks,
365,7,11-12-2019 21:00,Golden 1 Center,Sacramento Kings,Oklahoma City Thunder,94,93,Sacramento Kings,
366,7,11-12-2019 21:30,Chase Center,Golden State Warriors,New York Knicks,122,124,New York Knicks,
367,8,12-12-2019 19:00,TD Garden,Boston Celtics,Philadelphia 76ers,109,115,Philadelphia 76ers,
368,8,12-12-2019 19:30,AT&T Center,San Antonio Spurs,Cleveland Cavaliers,109,117,Cleveland Cavaliers,
369,8,12-12-2019 20:00,Arena Ciudad de Mexico,Detroit Pistons,Dallas Mavericks,111,122,Dallas Mavericks,
370,8,12-12-2019 21:30,Pepsi Center,Denver Nuggets,Portland Trail Blazers,114,99,Denver Nuggets,
371,8,13-12-2019 18:00,Amway Center,Orlando Magic,Houston Rockets,107,130,Houston Rockets,
372,8,13-12-2019 18:00,Wells Fargo Center,Philadelphia 76ers,New Orleans Pelicans,116,109,Philadelphia 76ers,
374,8,13-12-2019 18:00,American Airlines Arena,Miami Heat,Los Angeles Lakers,110,113,Los Angeles Lakers,
373,8,13-12-2019 18:30,State Farm Arena,Atlanta Hawks,Indiana Pacers,100,110,Indiana Pacers,
