Match Number,Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score,Result
901,18,24-02-2023 21:00,Chase Center,Golden State Warriors,Houston Rockets,116,101,Golden State Warriors
902,18,24-02-2023 21:30,Crypto.com Arena,LA Clippers,Sacramento Kings,175,176,Sacramento Kings
903,18,25-02-2023 11:00,Little Caesars Arena,Detroit Pistons,Toronto Raptors,91,95,Toronto Raptors
904,18,25-02-2023 18:00,Spectrum Center,Charlotte Hornets,Miami Heat,108,103,Charlotte Hornets
905,18,25-02-2023 18:00,Amway Center,Orlando Magic,Indiana Pacers,108,121,Indiana Pacers
906,18,25-02-2023 18:30,Madison Square Garden,New York Knicks,New Orleans Pelicans,128,106,New York Knicks
907,18,25-02-2023 19:00,FedExForum,Memphis Grizzlies,Denver Nuggets,112,94,Memphis Grizzlies
908,18,25-02-2023 19:30,Wells Fargo Center,Philadelphia 76ers,Boston Celtics,107,110,Boston Celtics
909,18,25-02-2023 20:00,Vivint Arena,Utah Jazz,San Antonio Spurs,118,102,Utah Jazz
910,18,26-02-2023 12:00,Fiserv Forum,Milwaukee Bucks,Phoenix Suns,104,101,Milwaukee Bucks
911,18,26-02-2023 14:00,State Farm Arena,Atlanta Hawks,Brooklyn Nets,129,127,Atlanta Hawks
912,18,26-02-2023 14:30,United Center,Chicago Bulls,Washington Wizards,102,82,Chicago Bulls
913,18,26-02-2023 14:30,American Airlines Center,Dallas Mavericks,Los Angeles Lakers,108,111,Los Angeles Lakers
914,18,26-02-2023 17:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Toronto Raptors,118,93,Cleveland Cavaliers
915,18,26-02-2023 18:00,Paycom Center,Oklahoma City Thunder,Sacramento Kings,115,124,Sacramento Kings
916,18,26-02-2023 18:30,Chase Center,Golden State Warriors,Minnesota Timberwolves,109,104,Golden State Warriors
917,18,26-02-2023 20:00,Moda Center,Portland Trail Blazers,Houston Rockets,131,114,Portland Trail Blazers
918,18,26-02-2023 21:00,Ball Arena,Denver Nuggets,LA Clippers,134,124,Denver Nuggets
919,18,27-02-2023 18:00,Spectrum Center,Charlotte Hornets,Detroit Pistons,117,106,Charlotte Hornets
920,18,27-02-2023 18:00,Wells Fargo Center,Philadelphia 76ers,Miami Heat,99,101,Miami Heat
921,18,27-02-2023 18:30,Madison Square Garden,New York Knicks,Boston Celtics,109,94,New York Knicks
922,18,27-02-2023 19:00,Smoothie King Center,New Orleans Pelicans,Orlando Magic,93,101,Orlando Magic
923,18,28-02-2023 18:30,State Farm Arena,Atlanta Hawks,Washington Wizards,116,119,Washington Wizards
924,18,28-02-2023 18:30,Barclays Center,Brooklyn Nets,Milwaukee Bucks,104,118,Milwaukee Bucks
925,18,28-02-2023 18:30,Scotiabank Arena,Toronto Raptors,Chicago Bulls,104,98,Toronto Raptors
