Match Number,Round Number,Date,Location,Home Team,Away Team,Home Score,Away Score,Result
1,1,19-10-2021 18:30,Fiserv Forum,Milwaukee Bucks,Brooklyn Nets,127,104,Milwaukee Bucks
2,1,19-10-2021 21:00,STAPLES Center,Los Angeles Lakers,Golden State Warriors,114,121,Golden State Warriors
3,1,20-10-2021 18:00,Spectrum Center,Charlotte Hornets,Indiana Pacers,123,122,Charlotte Hornets
4,1,20-10-2021 18:00,Little Caesars Arena,Detroit Pistons,Chicago Bulls,88,94,Chicago Bulls
5,1,20-10-2021 18:30,Madison Square Garden,New York Knicks,Boston Celtics,138,134,New York Knicks
6,1,20-10-2021 18:30,Scotiabank Arena,Toronto Raptors,Washington Wizards,83,98,Washington Wizards
7,1,20-10-2021 19:00,FedExForum,Memphis Grizzlies,Cleveland Cavaliers,132,121,Memphis Grizzlies
8,1,20-10-2021 19:00,Target Center,Minnesota Timberwolves,Houston Rockets,124,106,Minnesota Timberwolves
9,1,20-10-2021 19:00,Smoothie King Center,New Orleans Pelicans,Philadelphia 76ers,97,117,Philadelphia 76ers
10,1,20-10-2021 19:30,AT&T Center,San Antonio Spurs,Orlando Magic,123,97,San Antonio Spurs
11,1,20-10-2021 20:00,Vivint Arena,Utah Jazz,Oklahoma City Thunder,107,86,Utah Jazz
12,1,20-10-2021 21:00,Footprint Center,Phoenix Suns,Denver Nuggets,98,110,Denver Nuggets
13,1,20-10-2021 21:00,Moda Center,Portland Trail Blazers,Sacramento Kings,121,124,Sacramento Kings
14,1,21-10-2021 18:30,State Farm Arena,Atlanta Hawks,Dallas Mavericks,113,87,Atlanta Hawks
15,1,21-10-2021 19:00,FTX Arena,Miami Heat,Milwaukee Bucks,137,95,Miami Heat
16,1,21-10-2021 21:00,Chase Center,Golden State Warriors,LA Clippers,115,113,Golden State Warriors
17,1,22-10-2021 18:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Charlotte Hornets,112,123,Charlotte Hornets
18,1,22-10-2021 18:00,Amway Center,Orlando Magic,New York Knicks,96,121,New York Knicks
19,1,22-10-2021 18:00,Capital One Arena,Washington Wizards,Indiana Pacers,135,134,Washington Wizards
20,1,22-10-2021 18:30,TD Garden,Boston Celtics,Toronto Raptors,83,115,Toronto Raptors
21,1,22-10-2021 18:30,Wells Fargo Center,Philadelphia 76ers,Brooklyn Nets,109,114,Brooklyn Nets
22,1,22-10-2021 19:00,United Center,Chicago Bulls,New Orleans Pelicans,128,112,Chicago Bulls
23,1,22-10-2021 19:00,Toyota Center,Houston Rockets,Oklahoma City Thunder,124,91,Houston Rockets
24,1,22-10-2021 20:00,Ball Arena,Denver Nuggets,San Antonio Spurs,102,96,Denver Nuggets
25,1,22-10-2021 21:00,STAPLES Center,Los Angeles Lakers,Phoenix Suns,105,115,Phoenix Suns
26,1,22-10-2021 21:00,Golden 1 Center,Sacramento Kings,Utah Jazz,101,110,Utah Jazz
27,1,23-10-2021 17:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Atlanta Hawks,101,95,Cleveland Cavaliers
