Date,Home Team,Away Team,RESULT,Home Score,Away Score
08/09/2022,Buffalo Bills,Los Angeles Rams,Buffalo Bills,31,10
11/09/2022,New Orleans Saints,Atlanta Falcons,New Orleans Saints,27,26
11/09/2022,Cleveland Browns,Carolina Panthers,Cleveland Browns,26,24
11/09/2022,Chicago Bears,San Francisco 49ers,Chicago Bears,19,10
11/09/2022,Pittsburgh Steelers,Cincinnati Bengals,Pittsburgh Steelers,23,20
11/09/2022,Houston Texans,Indianapolis Colts,Indianapolis Colts,20,20
11/09/2022,Philadelphia Eagles,Detroit Lions,Philadelphia Eagles,38,35
11/09/2022,Washington Commanders,Jacksonville Jaguars,Washington Commanders,28,22
11/09/2022,Miami Dolphins,New England Patriots,Miami Dolphins,20,7
11/09/2022,Baltimore Ravens,New York Jets,Baltimore Ravens,24,9
11/09/2022,Kansas City Chiefs,Arizona Cardinals,Kansas City Chiefs,44,21
11/09/2022,Minnesota Vikings,Green Bay Packers,Minnesota Vikings,23,7
11/09/2022,New York Giants,Tennessee Titans,New York Giants,21,20
11/09/2022,Los Angeles Chargers,Las Vegas Raiders,Los Angeles Chargers,24,19
11/09/2022,Tampa Bay Buccaneers,Dallas Cowboys,Tampa Bay Buccaneers,19,3
12/09/2022,Seattle Seahawks,Denver Broncos,Seattle Seahawks,17,16
15/09/2022,Kansas City Chiefs,Los Angeles Chargers,Kansas City Chiefs,27,24
18/09/2022,New York Giants,Carolina Panthers,New York Giants,19,16
18/09/2022,New York Jets,Cleveland Browns,New York Jets,31,30
18/09/2022,Jacksonville Jaguars,Indianapolis Colts,Jacksonville Jaguars,24,0
18/09/2022,Detroit Lions,Washington Commanders,Detroit Lions,36,27
18/09/2022,Miami Dolphins,Baltimore Ravens,Miami Dolphins,42,38
18/09/2022,Tampa Bay Buccaneers,New Orleans Saints,Tampa Bay Buccaneers,20,10
18/09/2022,New England Patriots,Pittsburgh Steelers,New England Patriots,17,14
18/09/2022,Los Angeles Rams,Atlanta Falcons,Los Angeles Rams,31,27
18/09/2022,San Francisco 49ers,Seattle Seahawks,San Francisco 49ers,27,7
18/09/2022,Dallas Cowboys,Cincinnati Bengals,Dallas Cowboys,20,17
18/09/2022,Arizona Cardinals,Las Vegas Raiders,Arizona Cardinals,29,23
18/09/2022,Denver Broncos,Houston Texans,Denver Broncos,16,9
18/09/2022,Green Bay Packers,Chicago Bears,Green Bay Packers,27,10
19/09/2022,Buffalo Bills,Tennessee Titans,Buffalo Bills,41,7
19/09/2022,Philadelphia Eagles,Minnesota Vikings,Philadelphia Eagles,24,7
22/09/2022,Cleveland Browns,Pittsburgh Steelers,Cleveland Browns,29,17
25/09/2022,Miami Dolphins,Buffalo Bills,Miami Dolphins,21,19
25/09/2022,Carolina Panthers,New Orleans Saints,Carolina Panthers,22,14
25/09/2022,Chicago Bears,Houston Texans,Chicago Bears,23,20
