Date,Home Team,Away Team,Result,Home SCORE,Away SCORE
05/11/2017,Sassuolo,AC Milan,AC Milan,0,2
18/11/2017,Roma,Lazio,Roma,2,1
18/11/2017,Napoli,AC Milan,Napoli,2,1
19/11/2017,Crotone,Genoa,Genoa,0,1
19/11/2017,Benevento,Sassuolo,Sassuolo,1,2
19/11/2017,Sampdoria,Juventus,Sampdoria,3,2
19/11/2017,Spal,Fiorentina,Draw,1,1
19/11/2017,Torino,Chievo,Draw,1,1
19/11/2017,Udinese,Cagliari,Cagliari,0,1
19/11/2017,Inter Milan,Atalanta,Inter Milan,2,0
20/11/2017,Verona,Bologna,Bologna,2,3
25/11/2017,Bologna,Sampdoria,Bologna,3,0
25/11/2017,Chievo,Spal,Chievo,2,1
25/11/2017,Sassuolo,Verona,Verona,0,2
25/11/2017,Cagliari,Inter Milan,Inter Milan,1,3
26/11/2017,AC Milan,Torino,Draw,0,0
26/11/2017,Genoa,Roma,Draw,1,1
26/11/2017,Udinese,Napoli,Napoli,0,1
26/11/2017,Lazio,Fiorentina,Draw,1,1
26/11/2017,Juventus,Crotone,Juventus,3,0
27/11/2017,Atalanta,Benevento,Atalanta,1,0
01/12/2017,Roma,Spal,Roma,3,1
01/12/2017,Napoli,Juventus,Juventus,0,1
02/12/2017,Torino,Atalanta,Draw,1,1
03/12/2017,Benevento,AC Milan,Draw,2,2
03/12/2017,Bologna,Cagliari,Draw,1,1
03/12/2017,Fiorentina,Sassuolo,Fiorentina,3,0
03/12/2017,Inter Milan,Chievo,Inter Milan,5,0
03/12/2017,Sampdoria,Lazio,Lazio,1,2
04/12/2017,Crotone,Udinese,Udinese,0,3
04/12/2017,Verona,Genoa,Genoa,0,1
09/12/2017,Cagliari,Sampdoria,Draw,2,2
09/12/2017,Juventus,Inter Milan,Draw,0,0
10/12/2017,Chievo,Roma,Draw,0,0
10/12/2017,Napoli,Fiorentina,Draw,0,0
10/12/2017,Spal,Verona,Draw,2,2
10/12/2017,Udinese,Benevento,Udinese,2,0
10/12/2017,Sassuolo,Crotone,Sassuolo,2,1
10/12/2017,AC Milan,Bologna,AC Milan,2,1
11/12/2017,Lazio,Torino,Torino,1,3
12/12/2017,Genoa,Atalanta,Atalanta,1,2
16/12/2017,Inter Milan,Udinese,Udinese,1,3
16/12/2017,Torino,Napoli,Napoli,1,3
16/12/2017,Roma,Cagliari,Roma,1,0
17/12/2017,Verona,AC Milan,Verona,3,0
17/12/2017,Bologna,Juventus,Juventus,0,3
17/12/2017,Crotone,Chievo,Crotone,1,0
17/12/2017,Fiorentina,Genoa,Draw,0,0
17/12/2017,Sampdoria,Sassuolo,Sassuolo,0,1
17/12/2017,Benevento,Spal,Spal,1,2
17/12/2017,Atalanta,Lazio,Draw,3,3
22/12/2017,Chievo,Bologna,Bologna,2,3
22/12/2017,Cagliari,Fiorentina,Fiorentina,0,1
23/12/2017,Lazio,Crotone,Lazio,4,0
23/12/2017,Genoa,Benevento,Genoa,1,0
23/12/2017,Napoli,Sampdoria,Napoli,3,2
23/12/2017,Sassuolo,Inter Milan,Sassuolo,1,0
23/12/2017,Spal,Torino,Draw,2,2
23/12/2017,Udinese,Verona,Udinese,4,0
23/12/2017,AC Milan,Atalanta,Atalanta,0,2
23/12/2017,Juventus,Roma,Juventus,1,0
29/12/2017,Crotone,Napoli,Napoli,0,1
30/12/2017,Fiorentina,AC Milan,Draw,1,1
