Match Number,Round Number,Date,Location,Home Team,Away Team,Result,Home Score,Away Score
141,15,14-12-2025 16:00,Atleti Azzurri d'Italia,Atalanta,Cagliari,,,
142,15,14-12-2025 16:00,Renato Dall'Ara,Bologna,Juventus,,,
143,15,14-12-2025 16:00,Artemio Franchi,Fiorentina,Hellas Verona,,,
144,15,14-12-2025 16:00,Luigi Ferraris,Genoa,Inter,,,
145,15,14-12-2025 16:00,Ettore Giardiniero - Via del mare,Lecce,Pisa,,,
146,15,14-12-2025 16:00,San Siro,Milan,Sassuolo,,,
147,15,14-12-2025 16:00,Ennio Tardini,Parma,Lazio,,,
148,15,14-12-2025 16:00,Olimpico,Roma,Como,,,
149,15,14-12-2025 16:00,Olimpico Grande Torino,Torino,Cremonese,,,
150,15,14-12-2025 16:00,Friuli,Udinese,Napoli,,,
151,16,21-12-2025 16:00,Unipol Domus,Cagliari,Pisa,,,
152,16,21-12-2025 16:00,Giuseppe Sinigaglia,Como,Milan,,,
153,16,21-12-2025 16:00,Artemio Franchi,Fiorentina,Udinese,,,
154,16,21-12-2025 16:00,Luigi Ferraris,Genoa,Atalanta,,,
155,16,21-12-2025 16:00,Giuseppe Meazza,Inter,Lecce,,,
156,16,21-12-2025 16:00,Juventus Stadium,Juventus,Roma,,,
157,16,21-12-2025 16:00,Olimpico,Lazio,Cremonese,,,
158,16,21-12-2025 16:00,Diego Armando Maradona,Napoli,Parma,,,
159,16,21-12-2025 16:00,Mapei Stadium - Città del Tricolore,Sassuolo,Torino,,,
160,16,21-12-2025 16:00,Marcantonio Bentegodi,Hellas Verona,Bologna,,,
161,17,28-12-2025 16:00,Renato Dall'Ara,Bologna,Sassuolo,,,
162,17,28-12-2025 16:00,Giovanni Zini,Cremonese,Napoli,,,
163,17,28-12-2025 16:00,Ettore Giardiniero - Via del mare,Lecce,Como,,,
164,17,28-12-2025 16:00,San Siro,Milan,Hellas Verona,,,
165,17,28-12-2025 16:00,Ennio Tardini,Parma,Fiorentina,,,
166,17,28-12-2025 16:00,Garibaldi,Pisa,Juventus,,,
167,17,28-12-2025 16:00,Olimpico,Roma,Genoa,,,
168,17,28-12-2025 16:00,Olimpico Grande Torino,Torino,Cagliari,,,
169,17,28-12-2025 16:00,Friuli,Udinese,Lazio,,,
170,17,28-12-2025 16:00,Atleti Azzurri d'Italia,Atalanta,Inter,,,
171,18,03-01-2026 16:00,Atleti Azzurri d'Italia,Atalanta,Roma,,,
172,18,03-01-2026 16:00,Unipol Domus,Cagliari,Milan,,,
173,18,03-01-2026 16:00,Giuseppe Sinigaglia,Como,Udinese,,,
174,18,03-01-2026 16:00,Artemio Franchi,Fiorentina,Cremonese,,,
175,18,03-01-2026 16:00,Luigi Ferraris,Genoa,Pisa,,,
176,18,03-01-2026 16:00,Giuseppe Meazza,Inter,Bologna,,,
177,18,03-01-2026 16:00,Juventus Stadium,Juventus,Lecce,,,
178,18,03-01-2026 16:00,Olimpico,Lazio,Napoli,,,
179,18,03-01-2026 16:00,Mapei Stadium - Città del Tricolore,Sassuolo,Parma,,,
180,18,03-01-2026 16:00,Marcantonio Bentegodi,Hellas Verona,Torino,,,
181,19,06-01-2026 16:00,Renato Dall'Ara,Bologna,Atalanta,,,
182,19,06-01-2026 16:00,Giovanni Zini,Cremonese,Cagliari,,,
183,19,06-01-2026 16:00,Olimpico,Lazio,Fiorentina,,,
184,19,06-01-2026 16:00,Ettore Giardiniero - Via del mare,Lecce,Roma,,,
185,19,06-01-2026 16:00,San Siro,Milan,Genoa,,,
186,19,06-01-2026 16:00,Diego Armando Maradona,Napoli,Hellas Verona,,,
187,19,06-01-2026 16:00,Ennio Tardini,Parma,Inter,,,
188,19,06-01-2026 16:00,Garibaldi,Pisa,Como,,,
189,19,06-01-2026 16:00,Mapei Stadium - Città del Tricolore,Sassuolo,Juventus,,,
190,19,06-01-2026 16:00,Olimpico Grande Torino,Torino,Udinese,,,
191,20,11-01-2026 16:00,Atleti Azzurri d'Italia,Atalanta,Torino,,,
192,20,11-01-2026 16:00,Giuseppe Sinigaglia,Como,Bologna,,,
193,20,11-01-2026 16:00,Artemio Franchi,Fiorentina,Milan,,,
194,20,11-01-2026 16:00,Luigi Ferraris,Genoa,Cagliari,,,
195,20,11-01-2026 16:00,Giuseppe Meazza,Inter,Napoli,,,
196,20,11-01-2026 16:00,Juventus Stadium,Juventus,Cremonese,,,
197,20,11-01-2026 16:00,Ettore Giardiniero - Via del mare,Lecce,Parma,,,
198,20,11-01-2026 16:00,Olimpico,Roma,Sassuolo,,,
199,20,11-01-2026 16:00,Friuli,Udinese,Pisa,,,
200,20,11-01-2026 16:00,Marcantonio Bentegodi,Hellas Verona,Lazio,,,
