Match Number,Round Number,Date,Location,Home Team,Away Team,Result
112,19,28-02-2026 18:00,Suncorp Stadium,Brisbane Roar,Perth Glory,
113,19,28-02-2026 19:35,Campbelltown Sports Stadium,Macarthur,Western Sydney Wanderers,
114,19,01-03-2026 13:00,Sky Stadium,Wellington Phoenix,Sydney,
115,20,06-03-2026 11:00,Campbelltown Sports Stadium,Macarthur,Central Coast Mariners,
116,20,06-03-2026 11:00,AAMI Park,Melbourne City,Brisbane Roar,
117,20,06-03-2026 19:35,Coopers Stadium,Adelaide United,Wellington Phoenix,
118,20,07-03-2026 17:00,McDonald Jones Stadium,Newcastle Jets,Western Sydney Wanderers,
119,20,07-03-2026 19:35,Allianz Stadium,Sydney,Melbourne Victory,
120,20,08-03-2026 13:00,Go Media Stadium,Auckland,Perth Glory,
121,21,13-03-2026 11:00,Sky Stadium,Wellington Phoenix,Perth Glory,
122,21,13-03-2026 19:00,Suncorp Stadium,Brisbane Roar,Western Sydney Wanderers,
123,21,14-03-2026 15:00,polytec Stadium,Central Coast Mariners,Adelaide United,
124,21,14-03-2026 17:00,AAMI Park,Melbourne City,Sydney,
125,21,15-03-2026 11:00,AAMI Park,Melbourne Victory,Macarthur,
126,21,15-03-2026 14:00,TBA,Newcastle Jets,Auckland,
127,22,20-03-2026 19:35,CommBank Stadium,Western Sydney Wanderers,Adelaide United,
128,22,21-03-2026 13:00,Go Media Stadium,Auckland,Macarthur,
129,22,21-03-2026 15:00,Suncorp Stadium,Brisbane Roar,Wellington Phoenix,
130,22,21-03-2026 17:00,AAMI Park,Melbourne Victory,Central Coast Mariners,
131,22,22-03-2026 15:00,Allianz Stadium,Sydney,Newcastle Jets,
132,22,22-03-2026 19:00,HBF Park,Perth Glory,Melbourne City,
133,23,02-04-2026 19:35,Campbelltown Sports Stadium,Macarthur,Newcastle Jets,
134,23,03-04-2026 19:35,Coopers Stadium,Adelaide United,Auckland,
135,23,04-04-2026 15:00,polytec Stadium,Central Coast Mariners,Perth Glory,
136,23,04-04-2026 17:00,TBA,Brisbane Roar,Sydney,
137,23,04-04-2026 19:35,AAMI Park,Melbourne City,Western Sydney Wanderers,
138,23,05-04-2026 15:00,AAMI Park,Melbourne Victory,Wellington Phoenix,
139,24,10-04-2026 19:35,polytec Stadium,Central Coast Mariners,Brisbane Roar,
140,24,11-04-2026 15:00,Go Media Stadium,Auckland,Melbourne Victory,
141,24,11-04-2026 17:00,McDonald Jones Stadium,Newcastle Jets,Adelaide United,
142,24,11-04-2026 19:35,CommBank Stadium,Western Sydney Wanderers,Sydney,
143,24,12-04-2026 15:00,AAMI Park,Melbourne City,Wellington Phoenix,
144,24,12-04-2026 19:00,HBF Park,Perth Glory,Macarthur,
145,25,17-04-2026 19:35,AAMI Park,Melbourne Victory,Newcastle Jets,
146,25,18-04-2026 15:00,TBA,Wellington Phoenix,Western Sydney Wanderers,
