Date,Home Team,Away Team,Result,Home SCORE,Away SCORE
10/10/2023,Tampa Bay Lightning,Nashville Predators,Tampa Bay Lightning,5,3
11/10/2023,Pittsburgh Penguins,Chicago Blackhawks,Chicago Blackhawks,2,4
11/10/2023,Vegas Golden Knights,Seattle Kraken,Vegas Golden Knights,4,1
11/10/2023,Carolina Hurricanes,Ottawa Senators,Carolina Hurricanes,5,3
11/10/2023,Toronto Maple Leafs,Montréal Canadiens,Toronto Maple Leafs,6,5
11/10/2023,Boston Bruins,Chicago Blackhawks,Boston Bruins,3,1
12/10/2023,Los Angeles Kings,Colorado Avalanche,Colorado Avalanche,2,5
12/10/2023,Vancouver Canucks,Edmonton Oilers,Vancouver Canucks,8,1
12/10/2023,Calgary Flames,Winnipeg Jets,Calgary Flames,6,3
12/10/2023,Buffalo Sabres,New York Rangers,New York Rangers,1,5
12/10/2023,Columbus Blue Jackets,Philadelphia Flyers,Philadelphia Flyers,2,4
12/10/2023,New Jersey Devils,Detroit Red Wings,New Jersey Devils,4,3
13/10/2023,Dallas Stars,St. Louis Blues,Dallas Stars,2,1
13/10/2023,Minnesota Wild,Florida Panthers,Minnesota Wild,2,0
13/10/2023,Nashville Predators,Seattle Kraken,Nashville Predators,3,0
13/10/2023,San Jose Sharks,Vegas Golden Knights,Vegas Golden Knights,1,4
13/10/2023,New Jersey Devils,Arizona Coyotes,Arizona Coyotes,3,4
13/10/2023,Washington Capitals,Pittsburgh Penguins,Pittsburgh Penguins,0,4
14/10/2023,Ottawa Senators,Philadelphia Flyers,Ottawa Senators,5,2
14/10/2023,Winnipeg Jets,Florida Panthers,Winnipeg Jets,6,4
14/10/2023,Boston Bruins,Nashville Predators,Boston Bruins,3,2
14/10/2023,Columbus Blue Jackets,New York Rangers,Columbus Blue Jackets,5,3
14/10/2023,Detroit Red Wings,Tampa Bay Lightning,Detroit Red Wings,6,4
14/10/2023,Montréal Canadiens,Chicago Blackhawks,Montréal Canadiens,3,2
14/10/2023,Pittsburgh Penguins,Calgary Flames,Pittsburgh Penguins,5,2
14/10/2023,Toronto Maple Leafs,Minnesota Wild,Toronto Maple Leafs,7,4
14/10/2023,New York Islanders,Buffalo Sabres,New York Islanders,3,2
15/10/2023,St. Louis Blues,Seattle Kraken,St. Louis Blues,2,1
15/10/2023,San Jose Sharks,Colorado Avalanche,Colorado Avalanche,1,2
15/10/2023,Vegas Golden Knights,Anaheim Ducks,Vegas Golden Knights,4,1
15/10/2023,Edmonton Oilers,Vancouver Canucks,Vancouver Canucks,3,4
15/10/2023,Los Angeles Kings,Carolina Hurricanes,Carolina Hurricanes,5,6
15/10/2023,Ottawa Senators,Tampa Bay Lightning,Ottawa Senators,5,2
16/10/2023,Anaheim Ducks,Carolina Hurricanes,Anaheim Ducks,6,3
16/10/2023,Columbus Blue Jackets,Detroit Red Wings,Detroit Red Wings,0,4
16/10/2023,New Jersey Devils,Florida Panthers,Florida Panthers,3,4
16/10/2023,New York Rangers,Arizona Coyotes,New York Rangers,2,1
16/10/2023,Toronto Maple Leafs,Chicago Blackhawks,Chicago Blackhawks,1,4
16/10/2023,Washington Capitals,Calgary Flames,Washington Capitals,3,2
17/10/2023,Philadelphia Flyers,Vancouver Canucks,Philadelphia Flyers,2,0
