Date,Home Team,Away Team,Result,Home SCORE,Away SCORE
07-10-2025 21:00,Florida Panthers,Chicago Blackhawks,,,
08-10-2025 00:00,New York Rangers,Pittsburgh Penguins,,,
08-10-2025 02:30,Los Angeles Kings,Colorado Avalanche,,,
08-10-2025 23:00,Toronto Maple Leafs,Montréal Canadiens,,,
08-10-2025 23:30,Washington Capitals,Boston Bruins,,,
09-10-2025 02:00,Edmonton Oilers,Calgary Flames,,,
09-10-2025 02:00,Vegas Golden Knights,Los Angeles Kings,,,
09-10-2025 23:00,Boston Bruins,Chicago Blackhawks,,,
09-10-2025 23:00,Buffalo Sabres,New York Rangers,,,
09-10-2025 23:00,Detroit Red Wings,Montréal Canadiens,,,
09-10-2025 23:00,Tampa Bay Lightning,Ottawa Senators,,,
09-10-2025 23:00,Florida Panthers,Philadelphia Flyers,,,
09-10-2025 23:00,Pittsburgh Penguins,New York Islanders,,,
09-10-2025 23:00,Carolina Hurricanes,New Jersey Devils,,,
10-10-2025 00:00,St. Louis Blues,Minnesota Wild,,,
10-10-2025 00:00,Nashville Predators,Columbus Blue Jackets,,,
10-10-2025 00:00,Winnipeg Jets,Dallas Stars,,,
10-10-2025 01:00,Colorado Avalanche,Utah Hockey Club,,,
10-10-2025 02:00,Vancouver Canucks,Calgary Flames,,,
10-10-2025 02:00,San Jose Sharks,Vegas Golden Knights,,,
10-10-2025 02:00,Seattle Kraken,Anaheim Ducks,,,
11-10-2025 17:30,Winnipeg Jets,Los Angeles Kings,,,
11-10-2025 20:00,Calgary Flames,St. Louis Blues,,,
11-10-2025 23:00,Boston Bruins,Buffalo Sabres,,,
11-10-2025 23:00,Detroit Red Wings,Toronto Maple Leafs,,,
11-10-2025 23:00,Tampa Bay Lightning,New Jersey Devils,,,
11-10-2025 23:00,Florida Panthers,Ottawa Senators,,,
11-10-2025 23:00,New York Islanders,Washington Capitals,,,
11-10-2025 23:00,Pittsburgh Penguins,New York Rangers,,,
11-10-2025 23:00,Carolina Hurricanes,Philadelphia Flyers,,,
11-10-2025 23:00,Chicago Blackhawks,Montréal Canadiens,,,
12-10-2025 00:00,Nashville Predators,Utah Hockey Club,,,
12-10-2025 00:00,Minnesota Wild,Columbus Blue Jackets,,,
12-10-2025 01:00,Colorado Avalanche,Dallas Stars,,,
12-10-2025 02:00,Edmonton Oilers,Vancouver Canucks,,,
12-10-2025 02:00,San Jose Sharks,Anaheim Ducks,,,
12-10-2025 02:00,Seattle Kraken,Vegas Golden Knights,,,
12-10-2025 23:00,New York Rangers,Washington Capitals,,,
13-10-2025 16:30,Buffalo Sabres,Colorado Avalanche,,,
13-10-2025 17:00,Boston Bruins,Tampa Bay Lightning,,,
13-10-2025 17:00,Ottawa Senators,Nashville Predators,,,
13-10-2025 17:00,New York Islanders,Winnipeg Jets,,,
13-10-2025 20:00,Toronto Maple Leafs,Detroit Red Wings,,,
13-10-2025 23:00,Philadelphia Flyers,Florida Panthers,,,
13-10-2025 23:00,Columbus Blue Jackets,New Jersey Devils,,,
13-10-2025 23:30,Vancouver Canucks,St. Louis Blues,,,
14-10-2025 00:00,Minnesota Wild,Los Angeles Kings,,,
14-10-2025 00:30,Chicago Blackhawks,Utah Hockey Club,,,
14-10-2025 23:00,Toronto Maple Leafs,Nashville Predators,,,
14-10-2025 23:00,Montréal Canadiens,Seattle Kraken,,,
14-10-2025 23:00,New York Rangers,Edmonton Oilers,,,
14-10-2025 23:00,Washington Capitals,Tampa Bay Lightning,,,
15-10-2025 01:00,Calgary Flames,Vegas Golden Knights,,,
15-10-2025 01:30,Dallas Stars,Minnesota Wild,,,
15-10-2025 02:00,San Jose Sharks,Carolina Hurricanes,,,
15-10-2025 02:30,Anaheim Ducks,Pittsburgh Penguins,,,
15-10-2025 23:00,Buffalo Sabres,Ottawa Senators,,,
15-10-2025 23:00,Detroit Red Wings,Florida Panthers,,,
16-10-2025 01:30,St. Louis Blues,Chicago Blackhawks,,,
16-10-2025 01:30,Utah Hockey Club,Calgary Flames,,,
16-10-2025 23:00,Toronto Maple Leafs,New York Rangers,,,
16-10-2025 23:00,Montréal Canadiens,Nashville Predators,,,
16-10-2025 23:00,Ottawa Senators,Seattle Kraken,,,
16-10-2025 23:00,New Jersey Devils,Florida Panthers,,,
16-10-2025 23:00,New York Islanders,Edmonton Oilers,,,
16-10-2025 23:00,Philadelphia Flyers,Winnipeg Jets,,,
16-10-2025 23:00,Columbus Blue Jackets,Colorado Avalanche,,,
17-10-2025 00:00,Dallas Stars,Vancouver Canucks,,,
17-10-2025 02:00,Vegas Golden Knights,Boston Bruins,,,
17-10-2025 02:00,Anaheim Ducks,Carolina Hurricanes,,,
17-10-2025 02:00,Los Angeles Kings,Pittsburgh Penguins,,,
17-10-2025 23:00,Detroit Red Wings,Tampa Bay Lightning,,,
17-10-2025 23:00,Washington Capitals,Minnesota Wild,,,
18-10-2025 00:30,Chicago Blackhawks,Vancouver Canucks,,,
18-10-2025 01:00,Utah Hockey Club,San Jose Sharks,,,
18-10-2025 17:00,Buffalo Sabres,Florida Panthers,,,
18-10-2025 19:00,Ottawa Senators,New York Islanders,,,
18-10-2025 19:30,New Jersey Devils,Edmonton Oilers,,,
18-10-2025 23:00,Toronto Maple Leafs,Seattle Kraken,,,
18-10-2025 23:00,Montréal Canadiens,New York Rangers,,,
18-10-2025 23:00,Philadelphia Flyers,Minnesota Wild,,,
18-10-2025 23:00,Columbus Blue Jackets,Tampa Bay Lightning,,,
18-10-2025 23:00,St. Louis Blues,Dallas Stars,,,
18-10-2025 23:00,Winnipeg Jets,Nashville Predators,,,
19-10-2025 01:00,Colorado Avalanche,Boston Bruins,,,
19-10-2025 01:00,Los Angeles Kings,Carolina Hurricanes,,,
19-10-2025 02:00,Vegas Golden Knights,Calgary Flames,,,
19-10-2025 02:00,San Jose Sharks,Pittsburgh Penguins,,,
19-10-2025 16:30,Washington Capitals,Vancouver Canucks,,,
19-10-2025 19:00,Detroit Red Wings,Edmonton Oilers,,,
19-10-2025 23:00,Chicago Blackhawks,Anaheim Ducks,,,
19-10-2025 23:00,Utah Hockey Club,Boston Bruins,,,
20-10-2025 23:00,New York Rangers,Minnesota Wild,,,
20-10-2025 23:00,Philadelphia Flyers,Seattle Kraken,,,
20-10-2025 23:30,Montréal Canadiens,Buffalo Sabres,,,
21-10-2025 01:30,Calgary Flames,Winnipeg Jets,,,
21-10-2025 02:00,Vegas Golden Knights,Carolina Hurricanes,,,
21-10-2025 23:00,Toronto Maple Leafs,New Jersey Devils,,,
21-10-2025 23:00,Ottawa Senators,Edmonton Oilers,,,
21-10-2025 23:00,New York Islanders,San Jose Sharks,,,
21-10-2025 23:00,Pittsburgh Penguins,Vancouver Canucks,,,
21-10-2025 23:00,Washington Capitals,Seattle Kraken,,,
21-10-2025 23:30,Boston Bruins,Florida Panthers,,,
