Date,Home Team,Away Team,Result,Home SCORE,Away SCORE
13/01/2021,Philadelphia Flyers,Pittsburgh Penguins,Philadelphia Flyers,6,3
14/01/2021,Toronto Maple Leafs,Montréal Canadiens,Toronto Maple Leafs,5,4
14/01/2021,Tampa Bay Lightning,Chicago Blackhawks,Tampa Bay Lightning,5,1
14/01/2021,Edmonton Oilers,Vancouver Canucks,Vancouver Canucks,3,5
14/01/2021,Colorado Avalanche,St. Louis Blues,St. Louis Blues,1,4
15/01/2021,Buffalo Sabres,Washington Capitals,Washington Capitals,4,6
15/01/2021,New Jersey Devils,Boston Bruins,Boston Bruins,2,3
15/01/2021,New York Rangers,New York Islanders,New York Islanders,0,4
15/01/2021,Detroit Red Wings,Carolina Hurricanes,Carolina Hurricanes,0,3
15/01/2021,Nashville Predators,Columbus Blue Jackets,Nashville Predators,3,1
15/01/2021,Winnipeg Jets,Calgary Flames,Winnipeg Jets,4,3
15/01/2021,Edmonton Oilers,Vancouver Canucks,Edmonton Oilers,5,2
15/01/2021,Arizona Coyotes,San Jose Sharks,San Jose Sharks,3,4
15/01/2021,Vegas Golden Knights,Anaheim Ducks,Vegas Golden Knights,5,2
15/01/2021,Los Angeles Kings,Minnesota Wild,Minnesota Wild,3,4
16/01/2021,Buffalo Sabres,Washington Capitals,Washington Capitals,1,2
16/01/2021,Philadelphia Flyers,Pittsburgh Penguins,Philadelphia Flyers,5,2
16/01/2021,Tampa Bay Lightning,Chicago Blackhawks,Tampa Bay Lightning,5,2
16/01/2021,Ottawa Senators,Toronto Maple Leafs,Ottawa Senators,5,3
16/01/2021,Colorado Avalanche,St. Louis Blues,Colorado Avalanche,8,0
16/01/2021,New Jersey Devils,Boston Bruins,New Jersey Devils,2,1
16/01/2021,Arizona Coyotes,San Jose Sharks,Arizona Coyotes,5,3
17/01/2021,Edmonton Oilers,Montréal Canadiens,Montréal Canadiens,1,5
17/01/2021,New York Rangers,New York Islanders,New York Rangers,5,0
17/01/2021,Detroit Red Wings,Carolina Hurricanes,Detroit Red Wings,4,2
17/01/2021,Ottawa Senators,Toronto Maple Leafs,Toronto Maple Leafs,2,3
17/01/2021,Nashville Predators,Columbus Blue Jackets,Nashville Predators,5,2
17/01/2021,Los Angeles Kings,Minnesota Wild,Minnesota Wild,3,4
17/01/2021,Calgary Flames,Vancouver Canucks,Calgary Flames,3,0
17/01/2021,Vegas Golden Knights,Anaheim Ducks,Vegas Golden Knights,2,1
17/01/2021,Pittsburgh Penguins,Washington Capitals,Pittsburgh Penguins,4,3
18/01/2021,Florida Panthers,Chicago Blackhawks,Florida Panthers,5,2
18/01/2021,Detroit Red Wings,Columbus Blue Jackets,Columbus Blue Jackets,2,3
18/01/2021,New York Islanders,Boston Bruins,New York Islanders,1,0
19/01/2021,Toronto Maple Leafs,Winnipeg Jets,Toronto Maple Leafs,3,1
19/01/2021,Philadelphia Flyers,Buffalo Sabres,Buffalo Sabres,1,6
19/01/2021,St. Louis Blues,San Jose Sharks,St. Louis Blues,5,4
19/01/2021,Nashville Predators,Carolina Hurricanes,Carolina Hurricanes,2,4
19/01/2021,Calgary Flames,Vancouver Canucks,Calgary Flames,5,2
19/01/2021,Edmonton Oilers,Montréal Canadiens,Montréal Canadiens,1,3
19/01/2021,Anaheim Ducks,Minnesota Wild,Anaheim Ducks,1,0
19/01/2021,Vegas Golden Knights,Arizona Coyotes,Vegas Golden Knights,4,2
20/01/2021,New York Rangers,New Jersey Devils,New Jersey Devils,3,4
20/01/2021,Philadelphia Flyers,Buffalo Sabres,Philadelphia Flyers,3,0
20/01/2021,Florida Panthers,Chicago Blackhawks,Florida Panthers,5,4
20/01/2021,Pittsburgh Penguins,Washington Capitals,Pittsburgh Penguins,5,4
20/01/2021,Ottawa Senators,Winnipeg Jets,Winnipeg Jets,3,4
20/01/2021,Detroit Red Wings,Columbus Blue Jackets,Detroit Red Wings,3,2
20/01/2021,Los Angeles Kings,Colorado Avalanche,Colorado Avalanche,2,3
21/01/2021,Toronto Maple Leafs,Edmonton Oilers,Edmonton Oilers,1,3
21/01/2021,St. Louis Blues,San Jose Sharks,San Jose Sharks,1,2
21/01/2021,Anaheim Ducks,Minnesota Wild,Minnesota Wild,2,3
21/01/2021,Vancouver Canucks,Montréal Canadiens,Vancouver Canucks,6,5
21/01/2021,Vegas Golden Knights,Arizona Coyotes,Vegas Golden Knights,5,2
22/01/2021,Boston Bruins,Philadelphia Flyers,Boston Bruins,5,4
22/01/2021,New York Islanders,New Jersey Devils,New York Islanders,4,1
22/01/2021,Columbus Blue Jackets,Tampa Bay Lightning,Tampa Bay Lightning,2,3
22/01/2021,Ottawa Senators,Winnipeg Jets,Winnipeg Jets,1,4
22/01/2021,Vancouver Canucks,Montréal Canadiens,Montréal Canadiens,3,7
22/01/2021,Los Angeles Kings,Colorado Avalanche,Los Angeles Kings,4,2
23/01/2021,Washington Capitals,Buffalo Sabres,Washington Capitals,4,3
23/01/2021,Pittsburgh Penguins,New York Rangers,Pittsburgh Penguins,4,3
23/01/2021,Toronto Maple Leafs,Edmonton Oilers,Toronto Maple Leafs,4,2
23/01/2021,Chicago Blackhawks,Detroit Red Wings,Chicago Blackhawks,4,1
23/01/2021,Minnesota Wild,San Jose Sharks,Minnesota Wild,4,1
23/01/2021,Dallas Stars,Nashville Predators,Dallas Stars,7,0
23/01/2021,Arizona Coyotes,Vegas Golden Knights,Arizona Coyotes,5,2
23/01/2021,Anaheim Ducks,Colorado Avalanche,Colorado Avalanche,2,3
23/01/2021,Columbus Blue Jackets,Tampa Bay Lightning,Columbus Blue Jackets,5,2
24/01/2021,Boston Bruins,Philadelphia Flyers,Boston Bruins,6,1
24/01/2021,Vancouver Canucks,Montréal Canadiens,Montréal Canadiens,2,5
24/01/2021,St. Louis Blues,Los Angeles Kings,St. Louis Blues,4,2
24/01/2021,Winnipeg Jets,Ottawa Senators,Winnipeg Jets,6,3
24/01/2021,Chicago Blackhawks,Detroit Red Wings,Chicago Blackhawks,6,2
24/01/2021,Washington Capitals,Buffalo Sabres,Buffalo Sabres,3,4
