Date,Home Team,Away Team,Result,Home SCORE,Away SCORE
07/10/2022,Nashville Predators,San Jose Sharks,Nashville Predators,4,1
08/10/2022,San Jose Sharks,Nashville Predators,Nashville Predators,2,3
11/10/2022,New York Rangers,Tampa Bay Lightning,New York Rangers,3,1
12/10/2022,Los Angeles Kings,Vegas Golden Knights,Vegas Golden Knights,3,4
12/10/2022,Washington Capitals,Boston Bruins,Boston Bruins,2,5
12/10/2022,Carolina Hurricanes,Columbus Blue Jackets,Carolina Hurricanes,4,1
12/10/2022,Montréal Canadiens,Toronto Maple Leafs,Montréal Canadiens,4,3
13/10/2022,Colorado Avalanche,Chicago Blackhawks,Colorado Avalanche,5,2
13/10/2022,Anaheim Ducks,Seattle Kraken,Anaheim Ducks,5,4
13/10/2022,Edmonton Oilers,Vancouver Canucks,Edmonton Oilers,5,3
13/10/2022,Pittsburgh Penguins,Arizona Coyotes,Pittsburgh Penguins,6,2
13/10/2022,Philadelphia Flyers,New Jersey Devils,Philadelphia Flyers,5,2
13/10/2022,Buffalo Sabres,Ottawa Senators,Buffalo Sabres,4,1
13/10/2022,New York Islanders,Florida Panthers,Florida Panthers,1,3
13/10/2022,Toronto Maple Leafs,Washington Capitals,Toronto Maple Leafs,3,2
14/10/2022,Minnesota Wild,New York Rangers,New York Rangers,3,7
14/10/2022,Nashville Predators,Dallas Stars,Dallas Stars,1,4
14/10/2022,Calgary Flames,Colorado Avalanche,Calgary Flames,5,3
14/10/2022,Vegas Golden Knights,Chicago Blackhawks,Vegas Golden Knights,1,0
14/10/2022,Los Angeles Kings,Seattle Kraken,Seattle Kraken,1,4
14/10/2022,Columbus Blue Jackets,Tampa Bay Lightning,Tampa Bay Lightning,2,5
14/10/2022,Detroit Red Wings,Montréal Canadiens,Detroit Red Wings,3,0
15/10/2022,Winnipeg Jets,New York Rangers,Winnipeg Jets,4,1
15/10/2022,San Jose Sharks,Carolina Hurricanes,Carolina Hurricanes,1,2
15/10/2022,Buffalo Sabres,Florida Panthers,Florida Panthers,3,4
15/10/2022,Philadelphia Flyers,Vancouver Canucks,Philadelphia Flyers,3,2
15/10/2022,Boston Bruins,Arizona Coyotes,Boston Bruins,6,3
15/10/2022,New Jersey Devils,Detroit Red Wings,Detroit Red Wings,2,5
15/10/2022,Washington Capitals,Montréal Canadiens,Washington Capitals,3,1
15/10/2022,Toronto Maple Leafs,Ottawa Senators,Toronto Maple Leafs,3,2
15/10/2022,Pittsburgh Penguins,Tampa Bay Lightning,Pittsburgh Penguins,6,2
15/10/2022,New York Islanders,Anaheim Ducks,New York Islanders,7,1
16/10/2022,St. Louis Blues,Columbus Blue Jackets,St. Louis Blues,5,2
16/10/2022,Minnesota Wild,Los Angeles Kings,Los Angeles Kings,6,7
16/10/2022,Dallas Stars,Nashville Predators,Dallas Stars,5,1
16/10/2022,Seattle Kraken,Vegas Golden Knights,Vegas Golden Knights,2,5
16/10/2022,San Jose Sharks,Chicago Blackhawks,Chicago Blackhawks,2,5
16/10/2022,Edmonton Oilers,Calgary Flames,Calgary Flames,3,4
17/10/2022,New York Rangers,Anaheim Ducks,New York Rangers,6,4
17/10/2022,Toronto Maple Leafs,Arizona Coyotes,Arizona Coyotes,2,4
17/10/2022,Boston Bruins,Florida Panthers,Boston Bruins,5,3
17/10/2022,Montréal Canadiens,Pittsburgh Penguins,Montréal Canadiens,3,2
17/10/2022,Washington Capitals,Vancouver Canucks,Washington Capitals,6,4
17/10/2022,Detroit Red Wings,Los Angeles Kings,Los Angeles Kings,4,5
18/10/2022,Minnesota Wild,Colorado Avalanche,Colorado Avalanche,3,6
18/10/2022,Dallas Stars,Winnipeg Jets,Dallas Stars,4,1
18/10/2022,Seattle Kraken,Carolina Hurricanes,Carolina Hurricanes,1,5
18/10/2022,New Jersey Devils,Anaheim Ducks,New Jersey Devils,4,2
18/10/2022,Ottawa Senators,Boston Bruins,Ottawa Senators,7,5
18/10/2022,Columbus Blue Jackets,Vancouver Canucks,Columbus Blue Jackets,4,3
18/10/2022,Tampa Bay Lightning,Philadelphia Flyers,Philadelphia Flyers,2,3
18/10/2022,New York Islanders,San Jose Sharks,New York Islanders,5,2
19/10/2022,Edmonton Oilers,Buffalo Sabres,Buffalo Sabres,2,4
19/10/2022,Calgary Flames,Vegas Golden Knights,Calgary Flames,3,2
19/10/2022,Nashville Predators,Los Angeles Kings,Los Angeles Kings,3,4
19/10/2022,Florida Panthers,Philadelphia Flyers,Florida Panthers,4,3
20/10/2022,Colorado Avalanche,Winnipeg Jets,Winnipeg Jets,3,4
20/10/2022,Seattle Kraken,St. Louis Blues,St. Louis Blues,3,4
20/10/2022,Boston Bruins,Anaheim Ducks,Boston Bruins,2,1
