Date,Home Team,Away Team,Result,Home SCORE,Away SCORE
04/10/2024,Buffalo Sabres,New Jersey Devils,New Jersey Devils,1,4
05/10/2024,New Jersey Devils,Buffalo Sabres,New Jersey Devils,3,1
08/10/2024,Seattle Kraken,St. Louis Blues,St. Louis Blues,2,3
08/10/2024,Florida Panthers,Boston Bruins,Florida Panthers,6,4
09/10/2024,Utah Hockey Club,Chicago Blackhawks,Utah Hockey Club,5,2
09/10/2024,Montréal Canadiens,Toronto Maple Leafs,Montréal Canadiens,1,0
09/10/2024,Pittsburgh Penguins,New York Rangers,New York Rangers,0,6
10/10/2024,Edmonton Oilers,Winnipeg Jets,Winnipeg Jets,0,6
10/10/2024,Vancouver Canucks,Calgary Flames,Calgary Flames,5,6
10/10/2024,Vegas Golden Knights,Colorado Avalanche,Vegas Golden Knights,8,4
10/10/2024,Boston Bruins,Montréal Canadiens,Boston Bruins,6,4
10/10/2024,Buffalo Sabres,Los Angeles Kings,Los Angeles Kings,1,3
10/10/2024,Ottawa Senators,Florida Panthers,Ottawa Senators,3,1
10/10/2024,New Jersey Devils,Toronto Maple Leafs,Toronto Maple Leafs,2,4
10/10/2024,New York Islanders,Utah Hockey Club,Utah Hockey Club,4,5
11/10/2024,Detroit Red Wings,Pittsburgh Penguins,Pittsburgh Penguins,3,6
11/10/2024,Nashville Predators,Dallas Stars,Dallas Stars,3,4
11/10/2024,Minnesota Wild,Columbus Blue Jackets,Minnesota Wild,3,2
11/10/2024,San Jose Sharks,St. Louis Blues,St. Louis Blues,4,5
11/10/2024,Carolina Hurricanes,Tampa Bay Lightning,Tampa Bay Lightning,1,4
12/10/2024,Winnipeg Jets,Chicago Blackhawks,Winnipeg Jets,2,1
12/10/2024,Vancouver Canucks,Philadelphia Flyers,Philadelphia Flyers,2,3
12/10/2024,Vegas Golden Knights,St. Louis Blues,Vegas Golden Knights,4,3
12/10/2024,Boston Bruins,Los Angeles Kings,Boston Bruins,2,1
12/10/2024,Buffalo Sabres,Florida Panthers,Buffalo Sabres,5,2
12/10/2024,Toronto Maple Leafs,Pittsburgh Penguins,Toronto Maple Leafs,4,2
12/10/2024,Montréal Canadiens,Ottawa Senators,Montréal Canadiens,4,1
12/10/2024,Detroit Red Wings,Nashville Predators,Detroit Red Wings,3,0
12/10/2024,New York Rangers,Utah Hockey Club,Utah Hockey Club,5,6
12/10/2024,Washington Capitals,New Jersey Devils,New Jersey Devils,3,5
13/10/2024,Dallas Stars,New York Islanders,Dallas Stars,3,0
13/10/2024,Minnesota Wild,Seattle Kraken,Seattle Kraken,4,5
13/10/2024,Colorado Avalanche,Columbus Blue Jackets,Columbus Blue Jackets,4,6
13/10/2024,Calgary Flames,Philadelphia Flyers,Calgary Flames,6,3
13/10/2024,Edmonton Oilers,Chicago Blackhawks,Chicago Blackhawks,2,5
13/10/2024,San Jose Sharks,Anaheim Ducks,Anaheim Ducks,0,2
13/10/2024,Winnipeg Jets,Minnesota Wild,Winnipeg Jets,2,1
14/10/2024,Dallas Stars,Seattle Kraken,Dallas Stars,2,0
14/10/2024,Edmonton Oilers,Calgary Flames,Calgary Flames,1,4
14/10/2024,Vegas Golden Knights,Anaheim Ducks,Vegas Golden Knights,3,1
14/10/2024,Boston Bruins,Florida Panthers,Florida Panthers,3,4
14/10/2024,Ottawa Senators,Los Angeles Kings,Ottawa Senators,8,7
14/10/2024,New Jersey Devils,Utah Hockey Club,New Jersey Devils,3,0
14/10/2024,New York Rangers,Detroit Red Wings,New York Rangers,4,1
14/10/2024,Montréal Canadiens,Pittsburgh Penguins,Pittsburgh Penguins,3,6
15/10/2024,Colorado Avalanche,New York Islanders,New York Islanders,2,6
15/10/2024,Tampa Bay Lightning,Vancouver Canucks,Tampa Bay Lightning,4,1
15/10/2024,Washington Capitals,Vegas Golden Knights,Washington Capitals,4,2
15/10/2024,Carolina Hurricanes,New Jersey Devils,Carolina Hurricanes,4,2
15/10/2024,Columbus Blue Jackets,Florida Panthers,Florida Panthers,3,4
15/10/2024,St. Louis Blues,Minnesota Wild,Minnesota Wild,1,4
16/10/2024,Nashville Predators,Seattle Kraken,Seattle Kraken,3,7
16/10/2024,Dallas Stars,San Jose Sharks,Dallas Stars,3,2
16/10/2024,Calgary Flames,Chicago Blackhawks,Calgary Flames,3,1
16/10/2024,Edmonton Oilers,Philadelphia Flyers,Edmonton Oilers,4,3
16/10/2024,Pittsburgh Penguins,Buffalo Sabres,Pittsburgh Penguins,6,5
16/10/2024,Toronto Maple Leafs,Los Angeles Kings,Toronto Maple Leafs,6,2
17/10/2024,Colorado Avalanche,Boston Bruins,Boston Bruins,3,5
17/10/2024,Anaheim Ducks,Utah Hockey Club,Anaheim Ducks,5,4
17/10/2024,Montréal Canadiens,Los Angeles Kings,Los Angeles Kings,1,4
17/10/2024,Ottawa Senators,New Jersey Devils,New Jersey Devils,1,3
17/10/2024,Tampa Bay Lightning,Vegas Golden Knights,Tampa Bay Lightning,4,3
